 Mortalidade - Brasil,,,,,,,,,,,,,,,,,,,,,
�bitos p/Ocorr�nc por Munic�pio e Ano do �bito,,,,,,,,,,,,,,,,,,,,,
Categoria CID-10: X93   Agressao disparo de arma de fogo de mao, X94   Agressao disparo arma fogo de maior calibre, X95   Agressao disparo outr arma de fogo ou NE,,,,,,,,,,,,,,,,,,,
Per�odo:1996-2015,,,,,,,,,,,,,,,,,,,,,
Munic�pio,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
110001 Alta Floresta D'Oeste,2,6,3,6,1,1,5,4,4,4,3,-,7,-,5,2,3,3,10,9,78
110037 Alto Alegre dos Parecis,-,-,-,-,-,2,5,2,2,3,2,2,-,-,4,1,2,1,-,2,28
110040 Alto Para�so,2,3,1,2,-,5,4,11,2,5,6,4,6,5,8,5,3,7,2,1,82
110034 Alvorada D'Oeste,2,1,1,6,3,1,3,2,2,-,1,2,3,3,-,-,-,-,2,1,33
110002 Ariquemes,39,38,24,26,31,37,26,36,25,34,42,44,56,67,34,41,51,55,43,40,789
110045 Buritis,-,4,8,6,8,18,26,27,9,23,19,11,17,19,27,18,34,11,7,16,308
110003 Cabixi,1,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,5
110060 Cacaul�ndia,2,-,-,1,1,1,2,3,3,2,2,-,1,-,1,2,2,1,-,-,24
110004 Cacoal,8,10,14,12,4,9,15,16,15,11,19,10,7,13,15,6,6,16,8,21,235
110070 Campo Novo de Rond�nia,6,1,4,6,12,12,9,6,5,5,5,4,1,5,12,5,7,4,8,6,123
110080 Candeias do Jamari,2,-,1,4,-,-,-,-,2,4,2,-,-,-,-,2,7,3,6,5,38
110090 Castanheiras,-,-,2,-,-,-,-,1,-,1,-,-,2,-,-,-,-,1,-,1,8
110005 Cerejeiras,-,3,3,-,1,5,2,1,4,3,2,2,1,-,6,1,2,2,1,1,40
110092 Chupinguaia,-,1,2,1,2,3,3,1,1,5,1,1,2,1,1,-,-,1,4,3,33
110006 Colorado do Oeste,-,-,1,-,-,1,1,1,-,-,-,1,-,-,-,1,-,-,1,-,7
110007 Corumbiara,1,-,-,-,-,1,-,-,2,1,-,1,-,-,-,1,1,-,-,2,10
110008 Costa Marques,4,1,2,1,4,2,2,6,3,8,3,-,1,-,4,1,-,-,2,3,47
110094 Cujubim,-,1,4,2,5,3,2,1,9,5,-,6,4,7,9,2,4,-,3,1,68
110009 Espig�o D'Oeste,1,1,6,3,5,4,7,11,3,2,2,1,1,4,1,1,-,1,3,2,59
110100 Governador Jorge Teixeira,-,1,-,1,2,-,3,5,-,2,1,-,-,-,-,1,1,1,-,-,18
110010 Guajar�-Mirim,4,4,4,7,3,2,1,3,1,1,1,2,2,1,3,4,4,4,7,3,61
110110 Itapu� do Oeste,1,1,1,2,-,-,1,1,1,-,1,1,-,-,-,2,1,1,4,3,21
110011 Jaru,3,5,9,21,12,20,16,14,4,7,3,3,3,6,6,7,6,10,28,11,194
110012 Ji-Paran�,8,19,23,21,16,18,18,22,29,27,24,25,24,31,-,-,-,2,14,15,336
110013 Machadinho D'Oeste,9,3,3,1,4,4,11,10,12,13,13,4,6,15,9,13,10,6,12,9,167
110120 Ministro Andreazza,1,1,-,1,2,2,4,4,-,1,1,-,-,1,-,1,-,3,4,4,30
110130 Mirante da Serra,-,-,-,2,2,3,2,2,2,2,-,2,1,2,1,1,1,2,-,1,26
110140 Monte Negro,4,4,3,4,6,2,6,2,2,4,2,-,1,4,4,8,7,1,4,4,72
110014 Nova Brasil�ndia D'Oeste,-,-,-,-,-,2,6,2,3,2,-,1,-,1,3,1,4,1,8,6,40
110033 Nova Mamor�,2,3,-,2,2,1,6,5,8,8,7,9,6,11,5,7,5,3,8,3,101
110143 Nova Uni�o,-,-,-,-,-,-,1,-,-,-,1,-,-,1,1,-,1,1,-,1,7
110050 Novo Horizonte do Oeste,1,-,-,1,-,1,-,-,-,2,-,-,-,-,1,-,-,-,-,2,8
110015 Ouro Preto do Oeste,5,6,15,12,3,6,11,6,4,4,6,11,-,6,11,2,11,1,10,2,132
110145 Parecis,-,1,2,-,-,-,2,-,1,2,1,-,-,-,1,-,2,-,1,-,13
110018 Pimenta Bueno,-,-,2,5,5,6,5,2,2,5,5,2,-,5,1,3,1,1,4,2,56
110146 Pimenteiras do Oeste,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3
110020 Porto Velho,60,61,132,112,109,145,123,122,136,149,178,156,115,122,136,126,125,128,150,152,2537
110025 Presidente M�dici,2,4,-,2,1,3,4,2,3,1,3,2,2,1,-,-,-,-,1,1,32
110147 Primavera de Rond�nia,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,3
110026 Rio Crespo,2,-,-,2,-,1,1,2,2,-,1,-,-,2,2,1,2,2,-,-,20
110028 Rolim de Moura,5,5,8,7,6,7,7,5,3,2,3,3,-,3,6,6,5,7,14,6,108
110029 Santa Luzia D'Oeste,2,2,1,2,-,1,2,1,1,1,-,-,-,-,-,-,1,-,-,-,14
110148 S�o Felipe D'Oeste,-,2,-,-,-,1,1,1,-,-,-,-,-,-,2,-,-,-,-,-,7
110149 S�o Francisco do Guapor�,-,1,2,6,4,4,11,5,3,4,5,1,5,-,1,-,-,2,2,2,58
110032 S�o Miguel do Guapor�,-,-,2,3,5,5,4,6,2,2,4,2,-,1,2,1,3,1,5,3,51
110150 Seringueiras,2,3,4,3,2,6,3,3,3,1,-,2,1,1,2,2,3,1,2,-,44
110155 Teixeir�polis,-,-,4,-,-,1,-,1,1,-,-,-,-,2,-,1,2,-,1,-,13
110160 Theobroma,-,-,5,6,6,3,3,2,1,-,1,2,2,-,-,2,-,2,-,-,35
110170 Urup�,-,1,4,1,1,3,5,-,3,3,3,-,1,-,2,-,-,1,-,-,28
110175 Vale do Anari,-,2,1,3,-,3,3,3,3,2,4,1,-,1,5,-,5,1,1,-,38
110180 Vale do Para�so,3,-,-,-,-,3,3,3,1,-,3,-,-,-,-,-,-,1,-,-,17
110030 Vilhena,12,7,5,19,8,14,9,11,9,8,8,5,5,8,16,7,16,11,18,36,232
110000 Munic�pio ignorado - RO,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
120001 Acrel�ndia,3,-,-,-,1,1,-,1,-,2,1,-,-,-,2,-,-,1,3,2,17
120005 Assis Brasil,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,2
120010 Brasil�ia,-,-,-,-,-,-,2,1,-,2,3,5,2,4,6,4,4,3,3,1,40
120013 Bujari,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,1,-,1,1,-,6
120017 Capixaba,1,1,-,-,-,1,1,-,-,1,-,-,-,-,2,-,1,-,-,1,9
120020 Cruzeiro do Sul,1,1,1,1,-,-,1,2,-,1,-,2,3,3,5,8,9,5,2,3,48
120025 Epitaciol�ndia,-,2,-,-,-,-,-,3,1,1,1,-,-,-,-,1,1,1,-,1,12
120030 Feij�,3,-,-,-,-,-,-,-,-,-,-,1,-,2,1,3,2,-,-,6,18
120032 Jord�o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2
120033 M�ncio Lima,-,-,-,-,-,-,-,1,-,1,1,-,-,2,-,-,-,-,2,2,9
120034 Manoel Urbano,-,-,-,-,-,1,-,1,-,-,-,-,-,1,-,1,1,1,1,1,8
120035 Marechal Thaumaturgo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,2
120038 Pl�cido de Castro,2,1,1,-,2,-,3,2,7,2,-,-,2,-,1,2,2,-,-,3,30
120080 Porto Acre,-,-,-,-,-,1,1,-,1,2,2,-,-,-,1,1,-,1,3,-,13
120039 Porto Walter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
120040 Rio Branco,45,48,52,12,37,49,55,36,37,21,35,40,30,47,37,21,51,66,88,83,890
120042 Rodrigues Alves,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,2,5
120043 Santa Rosa do Purus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
120050 Sena Madureira,1,-,-,-,-,-,1,1,-,-,-,-,-,1,3,3,8,12,8,4,42
120045 Senador Guiomard,1,1,1,-,-,2,1,-,-,-,-,-,1,-,-,-,1,3,1,3,15
120060 Tarauac�,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,4,2,2,2,1,13
120070 Xapuri,2,1,1,1,-,-,1,-,2,1,1,1,1,-,-,1,-,1,1,1,16
130002 Alvar�es,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
130006 Amatur�,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2
130008 Anam�,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
130010 Anori,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,3
130014 Apu�,-,3,1,3,1,2,-,-,3,3,6,2,4,4,2,2,3,4,4,6,53
130020 Atalaia do Norte,-,-,-,1,-,-,-,-,1,1,2,-,-,-,1,-,-,-,-,-,6
130030 Autazes,-,-,1,-,-,-,2,-,-,-,-,-,-,-,2,1,2,-,1,6,15
130040 Barcelos,-,1,-,-,-,-,1,1,-,3,2,1,-,1,1,2,1,-,-,2,16
130050 Barreirinha,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,1,2,-,1,7
130060 Benjamin Constant,-,-,-,-,2,1,1,1,3,1,3,9,3,-,-,4,3,2,3,3,39
130063 Beruri,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,-,-,-,4
130068 Boa Vista do Ramos,-,-,-,-,-,1,-,-,-,1,2,-,-,-,-,-,-,-,-,-,4
130070 Boca do Acre,1,1,-,-,1,1,-,1,2,-,-,-,-,2,1,4,1,2,2,-,19
130080 Borba,-,-,-,1,-,-,-,-,1,1,-,2,-,-,-,2,1,-,4,2,14
130083 Caapiranga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
130090 Canutama,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,1,1,5
130100 Carauari,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,1,4
130110 Careiro,-,-,-,-,-,2,1,1,-,-,1,1,-,-,1,6,2,1,5,3,24
130115 Careiro da V�rzea,-,-,-,1,1,-,1,-,-,2,-,-,-,-,-,-,-,1,-,-,6
130120 Coari,-,2,-,2,3,4,-,3,4,2,4,1,7,4,7,15,13,12,26,14,123
130130 Codaj�s,-,1,-,-,-,-,-,-,-,-,-,1,-,-,2,-,1,2,1,1,9
130140 Eirunep�,-,-,-,-,-,-,1,-,1,-,-,1,-,2,-,-,1,1,2,2,11
130150 Envira,-,-,-,-,-,-,-,-,-,1,2,1,-,1,-,1,1,-,-,-,7
130160 Fonte Boa,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2
130165 Guajar�,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
130170 Humait�,1,4,-,3,1,3,1,4,3,2,1,3,2,2,-,2,7,7,1,-,47
130180 Ipixuna,-,-,1,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,4
130185 Iranduba,1,-,1,-,2,1,1,2,-,1,3,2,1,3,4,2,4,8,18,19,73
130190 Itacoatiara,1,-,-,2,-,3,1,1,1,1,2,-,3,3,5,8,8,5,4,11,59
130195 Itamarati,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,2
130200 Itapiranga,-,-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,1,1,5
130230 Juta�,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2
130240 L�brea,1,-,-,-,-,1,1,1,-,-,1,-,-,-,-,2,2,4,3,-,16
130250 Manacapuru,2,1,1,3,1,3,2,-,2,1,3,3,3,-,6,12,3,11,17,12,86
130255 Manaquiri,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1,1,1,-,-,-,6
130260 Manaus,200,180,220,188,216,153,156,143,189,230,314,355,392,517,562,767,758,582,628,784,7534
130270 Manicor�,-,-,-,-,1,1,-,1,2,-,3,-,3,4,3,6,6,5,4,4,43
130280 Mara�,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,2
130290 Mau�s,-,-,-,2,2,1,1,-,2,2,2,-,1,2,5,4,-,2,1,4,31
130310 Nova Olinda do Norte,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2,1,-,1,3,9
130320 Novo Air�o,1,-,-,-,-,2,-,-,-,-,-,-,2,1,1,-,-,2,-,4,13
130330 Novo Aripuan�,-,-,-,-,1,-,1,-,1,1,-,-,1,1,-,2,-,4,1,2,15
130340 Parintins,1,-,-,2,-,-,-,-,-,-,2,2,1,-,-,2,1,-,2,2,15
130350 Pauini,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
130353 Presidente Figueiredo,1,4,-,3,4,3,-,1,1,2,5,3,3,3,3,6,1,2,5,13,63
130356 Rio Preto da Eva,-,-,-,1,1,1,2,1,2,4,1,1,3,-,6,-,5,3,8,2,41
130360 Santa Isabel do Rio Negro,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1
130370 Santo Ant�nio do I��,-,-,-,-,-,-,-,2,-,-,1,1,-,-,-,1,1,1,1,-,8
130380 S�o Gabriel da Cachoeira,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,3,-,-,7
130390 S�o Paulo de Oliven�a,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,5
130395 S�o Sebasti�o do Uatum�,-,-,-,-,-,1,-,-,1,-,-,-,2,-,-,1,-,-,-,-,5
130400 Silves,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,2,6
130406 Tabatinga,5,2,2,4,7,6,21,5,4,3,11,17,10,17,13,14,18,17,12,16,204
130410 Tapau�,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,3
130420 Tef�,-,-,-,3,4,1,2,2,2,1,1,-,-,1,2,4,-,4,1,2,30
130423 Tonantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
130426 Uarini,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,3
130430 Urucar�,1,-,-,-,-,2,-,-,1,-,-,-,-,-,1,-,2,-,1,1,9
130440 Urucurituba,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2
130000 Munic�pio ignorado - AM,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
140005 Alto Alegre,-,-,-,11,7,5,7,1,2,1,7,1,-,1,-,4,3,4,2,3,59
140002 Amajari,-,1,2,-,1,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,7
140010 Boa Vista,36,27,31,39,27,24,20,27,18,15,20,15,19,18,21,14,21,56,29,40,517
140015 Bonfim,5,1,3,-,1,1,2,-,1,-,1,3,1,1,1,-,-,-,-,-,21
