municipio,alfabetizados,taxa_alfabetizacao,pop_10_a_14_anos,pop_10_a_14_anos_alfabetizadas,pop_10_a_14_anos_taxa_alfabetizacao,pop_10_a_19_anos,pop_10_a_19_anos_alfabetizadas,pop_10_a_19_anos_taxa_alfabetizacao,pop_20_anos_ou_mais,pop_20_anos_ou_mais_alfabetizadas,pop_20_anos_ou_mais_taxa_alfabetizacao,codigo_unidade_geografica
Abreu e Lima,  63 709,88,0,  8 979,  8 513,94,8,  9 853,  9 478,96,2,  53 594
Afogados da Ingazeira,  19 629,74,9,  3 807,  3 424,89,9,  3 758,  3 553,94,5,  18 643
Afrânio,  8 158,68,9,  1 824,  1 683,92,3,  1 762,  1 596,90,6,  8 262
Agrestina,  9 599,61,0,  2 263,  1 811,80,0,  2 243,  1 832,81,7,  11 222
Água Preta,  14 347,65,7,  3 784,  3 114,82,3,  3 633,  3 090,85,1,  14 407
Águas Belas,  14 636,52,6,  4 777,  2 895,60,6,  4 035,  2 856,70,8,  19 004
Alagoinha,  6 953,69,1,  1 485,  1 230,82,8,  1 322,  1 127,85,2,  7 248
Aliança,  19 535,66,7,  4 337,  3 528,81,3,  4 871,  4 173,85,7,  20 071
Altinho,  10 856,61,3,  2 423,  2 047,84,5,  2 402,  2 037,84,8,  12 899
Amaraji,  11 363,69,0,  2 732,  2 408,88,1,  2 670,  2 238,83,8,  11 061
Angelim,  4 822,67,4,  1 032,881,85,4,  1 064,947,89,0,  5 054
Araçoiaba,  7 478,64,4,  1 882,  1 426,75,8,  1 774,  1 503,84,7,  7 955
Araripina,  37 686,70,2,  8 996,  7 152,79,5,  7 851,  6 636,84,5,  36 865
Arcoverde,  38 543,78,6,  6 804,  5 663,83,2,  6 712,  6 074,90,5,  35 521
Barra de Guabiraba,  4 852,58,7,  1 307,  1 001,76,6,  1 285,  1 021,79,5,  5 680
Barreiros,  22 336,72,8,  4 614,  3 889,84,3,  5 035,  4 482,89,0,  21 045
Belém de Maria,  5 429,65,6,  1 285,  1 148,89,3,  1 197,  1 091,91,1,  5 797
Belém de São Francisco,  10 965,71,7,  2 357,  1 902,80,7,  2 409,  2 111,87,6,  10 527
Belo Jardim,  36 283,67,3,  7 546,  6 037,80,0,  7 363,  6 284,85,3,  38 985
Betânia,  5 861,65,7,  1 430,  1 212,84,8,  1 445,  1 242,86,0,  6 040
Bezerros,  31 595,67,5,  5 723,  5 088,88,9,  6 235,  5 559,89,2,  34 845
Bodocó,  15 155,63,5,  4 286,  3 223,75,2,  3 839,  3 210,83,6,  15 750
Bom Conselho,  20 238,61,9,  5 022,  3 622,72,1,  5 038,  3 944,78,3,  22 656
Bom Jardim,  20 375,68,8,  4 225,  3 774,89,3,  4 635,  4 201,90,6,  20 775
Bonito,  18 874,64,5,  4 513,  3 785,83,9,  4 257,  3 609,84,8,  20 504
Brejão,  4 132,61,1,  1 028,812,79,0,988,845,85,5,  4 745
