municipio	alunos_total	alunos_creche	aluno_pre_escolar	alunos_alfabetizacao_de_adultos	alunos_fundamental	alunos_medio	alunos_pre_vestibular	alunos_graduacao	alunos_mestrado_ou_doutorado	codigo_unidade_geografica
Abreu e Lima	  28 965	367	  4 301	175	  18 706	  4 876	168	357	14	2600054
Afogados da Ingazeira	  9 594	32	674	68	  7 422	  1 151	9	240	-	2600104
Afrânio	  5 124	-	500	223	  4 033	346	-	22	-	2600203
Agrestina	  6 347	111	  1 039	154	  4 636	371	-	35	-	2600302
Água Preta	  9 562	40	  1 240	150	  7 155	812	65	99	-	2600401
Águas Belas	  11 766	25	  1 101	372	  9 189	959	14	106	-	2600500
Alagoinha	  3 903	110	608	55	  2 701	380	-	48	-	2600609
Aliança	  11 820	141	  1 505	85	  8 937	948	50	155	-	2600708
Altinho	  6 805	53	  1 039	115	  4 984	530	20	64	-	2600807
Amaraji	  6 794	121	509	231	  5 332	556	-	45	-	2600906
Angelim	  3 065	-	450	104	  2 171	298	5	36	-	2601003
Araçoiaba	  5 132	38	572	57	  3 961	467	-	37	-	2601052
Araripina	  21 918	107	  2 817	417	  15 913	  1 987	10	648	18	2601102
Arcoverde	  19 950	356	  3 007	100	  12 995	  2 833	75	584	-	2601201
Barra de Guabiraba	  3 300	20	430	108	  2 514	188	-	40	-	2601300
Barreiros	  13 988	137	  2 079	131	  9 584	  1 826	-	231	-	2601409
Belém de Maria	  3 441	9	336	12	  2 664	373	-	47	-	2601508
Belém de São Francisco	  7 326	164	  1 128	161	  4 898	790	14	171	-	2601607
Belo Jardim	  21 148	202	  3 499	223	  14 471	  2 119	39	576	21	2601706
Betânia	  4 099	162	443	273	  2 878	304	-	40	-	2601805
Bezerros	  16 190	505	  2 058	219	  11 470	  1 564	81	295	-	2601904
Bodocó	  10 625	392	773	161	  8 414	757	-	128	-	2602001
Bom Conselho	  12 681	89	  1 444	211	  9 776	  1 049	-	112	-	2602100
Bom Jardim	  11 320	100	  1 161	228	  8 325	  1 429	-	77	-	2602209
Bonito	  12 102	42	  2 076	308	  8 573	990	10	103	-	2602308
Brejão	  2 810	188	319	5	  2 084	177	4	33	-	2602407
Brejinho	  2 399	15	239	75	  1 802	224	12	32	-	2602506
Brejo da Madre de Deus	  10 342	129	  1 713	186	  7 534	691	7	82	-	2602605
Buenos Aires	  3 722	10	261	67	  3 032	319	11	22	-	2602704
Buíque	  16 090	153	  2 308	380	  12 293	827	-	129	-	2602803
Cabo de Santo Agostinho	  51 350	638	  7 071	341	  34 566	  7 702	188	815	30	2602902
Cabrobó	  9 104	144	879	34	  6 742	  1 060	-	244	-	2603009
Cachoeirinha	  4 865	-	682	60	  3 487	498	34	105	-	2603108
Caetés	  7 276	90	362	350	  6 038	316	-	119	-	2603207
Calçado	  3 583	31	265	25	  2 891	331	5	34	-	2603306
Calumbi	  2 579	12	327	78	  1 980	143	-	40	-	2603405
Camaragibe	  43 666	467	  6 962	525	  27 044	  7 041	569	  1 020	38	2603454
Camocim de São Félix	  4 653	55	649	107	  3 410	360	8	58	6	2603504
Camutanga	  2 401	76	292	4	  1 708	283	-	39	-	2603603
Canhotinho	  7 492	7	511	171	  6 053	641	8	101	-	2603702
Capoeiras	  6 663	22	512	26	  5 296	705	-	102	-	2603801
Carnaíba	  5 498	-	573	61	  4 173	601	8	82	-	2603900
Carnaubeira da Penha	  3 191	47	248	66	  2 594	218	-	17	-	2603926
Carpina	  20 362	172	  2 819	286	  13 389	  3 123	98	446	29	2604007
Caruaru	  74 862	  1 333	  10 402	581	  50 818	  9 048	418	  2 241	21	2604106
Casinhas	  4 810	-	695	22	  3 795	279	-	19	-	2604155
Catende	  10 303	105	  1 367	207	  7 287	  1 071	46	208	11	2604205
Cedro	  3 893	72	263	24	  2 980	495	16	38	5	2604304
Chã de Alegria	  4 205	31	646	59	  3 111	339	6	14	-	2604403
Chã Grande	  6 457	79	834	172	  4 739	558	8	67	-	2604502
Condado	  6 502	121	979	61	  4 364	811	-	166	-	2604601
Correntes	  5 867	238	546	52	  4 587	353	28	64	-	2604700
Cortês	  4 873	57	636	211	  3 485	381	10	94	-	2604809
Cumaru	  8 390	33	  1 122	112	  6 388	665	-	70	-	2604908
Cupira	  6 533	51	  1 010	119	  4 630	632	28	63	-	2605004
Custódia	  9 910	138	  1 218	108	  7 438	758	27	223	-	2605103
Dormentes	  4 828	36	303	94	  3 853	468	3	72	-	2605152
Escada	  18 427	121	  2 710	156	  13 013	  2 276	50	102	-	2605202
Exu	  10 932	324	943	80	  8 214	  1 192	9	170	-	2605301
Feira Nova	  6 002	85	943	90	  4 142	662	7	65	8	2605400
Fernando de Noronha	762	68	168	-	428	89	7	3	-	2605459
Ferreiros	  3 427	51	458	88	  2 405	386	8	31	-	2605509
Flores	  6 389	53	438	174	  4 951	706	16	51	-	2605608
Floresta	  9 114	662	967	157	  5 834	  1 125	46	323	-	2605707
Frei Miguelinho	  3 653	-	513	71	  2 726	332	-	11	-	2605806
Gameleira	  8 269	223	  1 372	255	  5 686	664	-	69	-	2605905
Garanhuns	  37 987	538	  4 615	283	  25 229	  5 727	305	  1 247	42	2606002
Glória do Goitá	  8 946	77	947	70	  7 074	731	11	37	-	2606101
Goiana	  24 197	153	  3 163	189	  16 882	  3 260	67	463	20	2606200
Granito	  2 007	101	118	-	  1 543	206	5	35	-	2606309
Gravatá	  19 706	149	  3 051	208	  13 742	  2 275	72	210	-	2606408
Iati	  5 689	8	481	101	  4 734	333	-	31	-	2606507
Ibimirim	  7 893	16	  1 217	161	  5 918	504	9	68	-	2606606
Ibirajuba	  2 501	62	303	61	  1 862	202	-	11	-	2606705
Igarassu	  27 312	278	  4 044	211	  18 716	  3 526	44	482	12	2606804
Iguaraci	  3 629	13	394	9	  2 872	278	7	58	-	2606903
Ilha de Itamaracá	  5 182	6	879	38	  3 418	758	17	59	7	2607604
Inajá	  4 604	27	482	125	  3 698	247	-	24	-	2607000
Ingazeira	  1 602	-	195	56	  1 189	154	-	8	-	2607109
Ipojuca	  18 258	102	  2 604	90	  13 302	  1 964	9	164	22	2607208
Ipubi	  7 339	38	681	219	  5 764	570	-	68	-	2607307
Itacuruba	  1 443	149	186	8	893	154	1	51	-	2607406
Itaíba	  8 328	-	619	119	  7 132	409	19	30	-	2607505
Itambé	  11 253	139	  1 232	317	  8 288	  1 069	49	160	-	2607653
Itapetim	  4 446	30	259	109	  3 630	345	11	63	-	2607703
Itapissuma	  6 883	194	934	62	  4 721	804	16	152	-	2607752
Itaquitinga	  4 997	173	832	44	  3 341	538	3	65	-	2607802
Jaboatão dos Guararapes	  192 132	  3 162	  33 752	  1 000	  115 852	  28 260	  1 647	  8 102	358	2607901
Jaqueira	  4 416	10	415	70	  3 557	328	-	35	-	2607950
Jataúba	  5 165	35	717	345	  3 862	197	-	9	-	2608008
Jatobá	  4 922	37	550	192	  3 274	698	29	143	-	2608057
João Alfredo	  8 686	78	  1 055	208	  6 762	532	-	51	-	2608107
Joaquim Nabuco	  5 228	68	558	91	  4 126	375	-	10	-	2608206
Jucati	  3 181	23	300	25	  2 554	264	-	15	-	2608255
Jupi	  4 033	101	496	25	  2 920	384	4	102	-	2608305
Jurema	  4 428	71	354	96	  3 611	257	12	27	-	2608404
Lagoa do Carro	  4 332	19	590	54	  3 051	555	21	42	-	2608453
Lagoa do Itaenga	  6 903	112	765	98	  5 280	617	-	31	-	2608503
Lagoa do Ouro	  3 693	40	351	81	  2 846	356	-	19	-	2608602
Lagoa dos Gatos	  5 108	4	739	214	  3 818	253	5	74	-	2608701
Lagoa Grande	  6 204	50	673	180	  4 738	507	-	55	-	2608750
Lajedo	  9 686	129	  1 236	44	  6 937	  1 117	13	209	-	2608800
Limoeiro	  16 760	146	  1 795	271	  11 831	  2 311	61	345	-	2608909
Macaparana	  7 032	24	843	120	  5 247	710	-	89	-	2609006
Machados	  3 020	65	222	64	  2 363	264	9	34	-	2609105
Manari	  4 493	-	358	80	  3 929	116	-	10	-	2609154
Maraial	  5 013	15	499	158	  3 996	304	-	42	-	2609204
Mirandiba	  4 654	94	447	60	  3 317	645	25	65	-	2609303
Moreilândia	  4 282	191	372	44	  3 092	473	7	104	-	2614303
Moreno	  16 229	133	  2 525	398	  10 701	  2 198	101	172	-	2609402
Nazaré da Mata	  10 466	326	  1 552	81	  6 557	  1 603	-	347	-	2609501
Olinda	  121 238	  1 973	  17 338	530	  71 319	  20 212	  1 748	  7 692	426	2609600
