municipio;moradores_por_domicilio_particular_permanente_total;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_ate_1/4_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_1/4_a_1/2_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_1/2_a_1_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_1_a_2_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_2_a_3_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_mais_de_3_salarios_minimos
Abreu e Lima;3,9;4,5;4,1;3,8;3,5;3,5;2,8
Afogados da Ingazeira;3,7;4,8;3,8;3,1;3,2;2,8;3,1
Afrânio;4,4;5,2;4,5;3,5;3,3;2,6;2,4
Agrestina;3,7;4,6;4,5;2,8;2,8;2,8;3,2
Água Preta;4,6;5,4;4,7;3,5;3,3;3,6;2,8
Águas Belas;4,1;5,0;4,0;2,9;3,3;3,2;2,8
Alagoinha;3,7;4,8;4,1;2,8;2,8;3,3;2,1
Aliança;4,5;5,4;4,5;3,6;3,4;3,0;3,1
Altinho;3,6;4,5;3,9;2,6;2,8;3,2;2,5
Amaraji;4,2;4,9;4,4;3,5;3,4;3,1;3,2
Angelim;3,9;4,9;4,0;2,9;2,7;3,0;3,0
Araçoiaba;4,3;5,1;4,8;3,7;3,0;2,1;2,2
Araripina;4,3;5,3;4,4;3,4;3,4;3,5;3,4
Arcoverde;3,8;4,8;4,3;3,4;3,3;3,0;2,9
Barra de Guabiraba;4,0;5,3;4,0;2,9;3,0;3,1;2,3
Barreiros;4,4;5,3;4,8;3,4;3,7;3,0;3,0
Belém de Maria;3,8;4,7;3,7;2,9;2,5;3,2;3,1
Belém de São Francisco;4,6;5,4;5,3;4,0;3,1;3,6;3,0
Belo Jardim;3,7;4,7;4,0;3,2;3,1;3,1;3,1
Betânia;4,1;5,1;4,3;3,0;2,5;4,6;2,0
Bezerros;3,5;4,2;3,8;2,9;3,0;3,3;3,1
Bodocó;4,6;5,5;4,5;3,6;3,4;3,0;2,6
Bom Conselho;4,1;5,2;4,2;2,9;3,3;2,9;2,6
Bom Jardim;4,1;5,3;4,1;3,0;2,9;3,3;3,6
Bonito;4,1;5,5;4,3;2,9;3,0;2,9;3,4
Brejão;4,1;5,2;4,2;2,8;3,1;3,5;2,9
Brejinho;3,9;4,6;3,8;3,3;2,5;3,2;1,7
Brejo da Madre de Deus;3,9;5,1;4,3;3,3;3,1;2,8;2,6
Buenos Aires;4,3;5,1;4,4;3,7;3,2;2,1;2,9
Buíque;4,5;5,6;4,2;3,0;3,3;3,8;3,3
Cabo de Santo Agostinho;4,1;4,7;4,5;3,9;3,5;3,4;3,0
Cabrobó;4,3;5,4;4,5;3,5;3,8;3,2;3,1
Cachoeirinha;3,6;5,0;3,8;3,1;3,1;2,8;2,4
Caetés;4,3;5,4;4,3;2,6;3,2;2,9;2,8
Calçado;4,0;5,0;4,4;3,1;2,8;2,2;2,1
Calumbi;3,9;4,7;3,9;2,8;3,0;2,3;3,9
Camaragibe;3,9;4,5;4,3;3,8;3,4;3,3;3,1
Camocim de São Félix;3,7;4,8;3,9;3,1;2,9;3,0;3,2
Camutanga;4,1;4,8;4,4;3,2;3,6;3,1;3,3
