municipio,pessoas_de_60_anos_ou_mais_aposentados_total,pessoas_de_60_anos_ou_mais_aposentados_homens,pessoas_de_60_anos_ou_mais_aposentados_mulheres,pessoas_de_60_anos_ou_mais_pensionistas_total,pessoas_de_60_anos_ou_mais_pensionistas_homens,pessoas_de_60_anos_ou_mais_pensionistas_mulheres
Abreu e Lima,64,1,74,5,56,4
Afogados da Ingazeira,83,9,84,3,83,7
Afrânio,87,3,84,0,90,8
Agrestina,74,5,73,2,75,7
Água Preta,70,5,78,0,62,5
Águas Belas,83,6,82,6,84,4
Alagoinha,89,6,89,6,89,6
Aliança,67,3,81,9,52,6
Altinho,85,8,85,3,86,3
Amaraji,72,3,71,9,72,8
Angelim,85,3,83,9,86,5
Araçoiaba,69,4,70,7,68,1
Araripina,74,3,73,8,74,7
Arcoverde,73,5,77,6,70,6
Barra de Guabiraba,86,5,84,8,88,2
Barreiros,64,7,77,0,51,9
Belém de Maria,72,0,71,9,72,0
Belém de São Francisco,84,1,88,4,80,6
Belo Jardim,76,0,79,7,73,0
Betânia,87,4,86,0,88,8
Bezerros,75,8,75,8,75,8
Bodocó,82,2,80,7,83,5
Bom Conselho,86,1,86,2,86,0
Bom Jardim,86,1,83,1,88,8
Bonito,81,3,78,8,83,6
Brejão,83,1,82,2,83,9
Brejinho,87,7,86,7,88,7
Brejo da Madre de Deus,79,6,83,2,76,1
Buenos Aires,71,2,71,1,71,4
Buíque,74,6,73,5,75,6
Cabo de Santo Agostinho,61,1,72,3,51,2
Cabrobó,82,6,81,9,83,1
Cachoeirinha,85,6,84,9,86,2
Caetés,84,3,85,7,83,2
Calçado,88,1,85,7,90,0
Calumbi,89,9,94,3,86,3
Camaragibe,68,0,79,7,58,6
Camocim de São Félix,75,9,71,3,79,4
Camutanga,74,3,74,7,74,0
Canhotinho,81,7,80,7,82,5
Capoeiras,74,7,87,4,63,1
Carnaíba,81,8,82,3,81,4
Carnaubeira da Penha,92,9,90,6,95,0
Carpina,63,4,73,3,55,6
Caruaru,63,5,67,7,60,4
Casinhas,82,9,78,9,86,6
Catende,66,6,78,2,55,4
Cedro,90,1,88,5,91,5
Chã de Alegria,72,8,73,3,72,3
Chã Grande,66,5,63,8,69,7
Condado,62,2,67,6,56,3
Correntes,77,8,77,4,78,2
Cortês,64,7,65,2,64,3
Cumaru,77,4,71,9,84,3
Cupira,75,9,82,4,70,4
Custódia,85,1,87,0,83,3
Dormentes,85,5,86,0,85,0
Escada,65,9,76,1,56,5
Exu,79,9,74,2,84,9
Feira Nova,79,8,76,8,82,5
Fernando de Noronha,28,7,64,3,0,0
Ferreiros,68,2,77,1,60,0
Flores,90,0,90,3,89,7
Floresta,88,4,86,1,90,3
Frei Miguelinho,91,3,89,4,93,0
Gameleira,60,5,64,2,56,5
Garanhuns,71,8,73,1,70,9
Glória do Goitá,72,9,72,3,73,4
Goiana,63,7,73,8,55,1
Granito,83,8,81,0,86,4
Gravatá,69,5,71,0,68,2
Iati,89,2,85,7,92,5
Ibimirim,81,7,84,4,79,3
Ibirajuba,89,4,86,9,91,7
Igarassu,61,2,70,2,53,4
Iguaraci,88,6,88,8,88,3
Ilha de Itamaracá,73,2,77,0,69,7
Inajá,71,2,69,4,72,7
Ingazeira,95,9,94,9,96,7
Ipojuca,64,3,68,1,60,5
Ipubi,74,7,69,5,79,4
Itacuruba,83,5,79,9,86,6
Itaíba,84,8,84,1,85,4
Itambé,61,1,66,9,55,3
Itapetim,70,3,76,9,64,9
Itapissuma,57,9,64,0,53,1
Itaquitinga,70,1,73,8,66,1
Jaboatão dos Guararapes,56,0,69,6,46,2
Jaqueira,53,5,66,9,39,8
Jataúba,88,4,86,3,90,4
Jatobá,80,7,80,3,81,0
João Alfredo,81,7,85,3,78,7
Joaquim Nabuco,64,2,71,4,56,5
Jucati,80,8,78,0,83,1
Jupi,87,1,82,5,90,2
Jurema,85,0,86,4,83,9
Lagoa do Carro,76,8,78,9,75,0
Lagoa do Itaenga,77,2,75,1,79,0
Lagoa do Ouro,81,6,79,6,83,4
Lagoa dos Gatos,78,9,79,3,78,5
Lagoa Grande,80,4,74,0,86,7
Lajedo,80,7,80,2,81,2
Limoeiro,71,2,73,7,69,4
Macaparana,65,5,63,4,67,3
Machados,88,2,87,2,89,0
Manari,83,2,81,9,84,4
Maraial,51,1,55,9,45,5
Mirandiba,86,9,84,3,89,2
Moreilândia,90,6,83,9,96,3
Moreno,69,5,73,4,66,4
Nazaré da Mata,64,3,71,2,59,8
Olinda,60,8,76,1,51,3
Orobó,88,6,87,1,89,9
Orocó,79,3,77,2,80,9
Ouricuri,78,7,81,0,76,7
Palmares,63,3,67,3,60,1
Palmeirina,79,6,75,6,83,3
Panelas,70,4,69,0,71,7
Paranatama,27,5,27,1,27,7
Parnamirim,86,6,89,3,84,2
Passira,82,3,82,0,82,6
Paudalho,63,9,70,6,57,4
Paulista,61,0,75,6,51,3
Pedra,83,8,84,0,83,7
