municipio,domicilios_com_criancas_de_ate_14_anos_com_rendimento_domiciliar_per_capita_de_ate_1/2_salario_minimo_com_responsavel_com_menos_de_4_anos_de_estudo,domicilios_com_criancas_de_0_a_6_anos_com_rendimento_domiciliar_per_capita_de_ate_1/2_salario_minimo_com_responsavel_com_menos_de_4_anos_de_estudo,domicilios_com_criancas_de_7_a_14_anos_com_rendimento_domiciliar_per_capita_de_ate_1/2_salario_minimo_com_responsavel_com_menos_de_4_anos_de_estudo
Abreu e Lima,19,2,18
Afogados da Ingazeira,44,0,42
Afrânio,59,8,61
Agrestina,56,6,56
Água Preta,61,8,59
Águas Belas,66,6,66
Alagoinha,49,2,45
Aliança,55,6,55
Altinho,60,8,61
Amaraji,55,2,59
Angelim,54,6,54
Araçoiaba,59,1,57
Araripina,53,7,52
Arcoverde,32,9,32
Barra de Guabiraba,60,3,59
Barreiros,48,6,48
Belém de Maria,65,1,62
Belém de São Francisco,51,4,50
Belo Jardim,47,4,46
Betânia,65,7,66
Bezerros,46,1,44
Bodocó,64,9,65
Bom Conselho,59,4,58
Bom Jardim,59,3,61
Bonito,61,7,62
Brejão,60,4,56
Brejinho,61,4,63
Brejo da Madre de Deus,50,6,48
Buenos Aires,54,5,54
Buíque,67,5,68
Cabo de Santo Agostinho,30,3,29
Cabrobó,50,1,50
Cachoeirinha,42,9,42
Caetés,68,4,68
Calçado,53,5,50
Calumbi,61,3,59
Camaragibe,22,6,21
Camocim de São Félix,52,5,51
Camutanga,55,3,56
Canhotinho,63,4,63
Capoeiras,58,2,56
Carnaíba,59,7,57
Carnaubeira da Penha,74,5,72
Carpina,37,4,34
Caruaru,24,5,24
Casinhas,61,2,61
Catende,51,3,50
Cedro,58,2,56
Chã de Alegria,55,5,50
Chã Grande,51,1,54
Condado,49,5,50
Correntes,60,0,57
Cortês,59,6,58
Cumaru,64,2,64
Cupira,51,4,47
Custódia,48,7,46
Dormentes,63,1,60
Escada,47,4,46
Exu,62,1,59
Feira Nova,56,2,55
Fernando de Noronha,4,4,2
Ferreiros,55,0,56
Flores,63,0,61
Floresta,45,3,46
Frei Miguelinho,57,6,59
Gameleira,57,7,55
Garanhuns,35,0,34
Glória do Goitá,55,0,52
Goiana,41,2,41
Granito,67,2,65
Gravatá,39,3,39
Iati,72,9,71
Ibimirim,60,8,60
Ibirajuba,64,6,64
Igarassu,28,3,26
Iguaraci,57,8,57
Ilha de Itamaracá,20,6,18
Inajá,61,4,61
Ingazeira,48,8,47
Ipojuca,48,1,47
Ipubi,68,3,69
Itacuruba,39,1,35
Itaíba,68,7,71
Itambé,61,1,59
Itapetim,50,9,49
Itapissuma,35,1,35
Itaquitinga,52,2,50
Jaboatão dos Guararapes,17,7,17
Jaqueira,65,4,61
Jataúba,62,6,65
Jatobá,45,2,45
João Alfredo,58,5,58
Joaquim Nabuco,57,4,56
Jucati,68,1,68
Jupi,56,8,57
Jurema,67,1,67
Lagoa do Carro,42,0,40
Lagoa do Itaenga,52,9,54
Lagoa do Ouro,67,1,64
Lagoa dos Gatos,63,9,62
Lagoa Grande,49,0,45
Lajedo,44,6,42
Limoeiro,38,1,36
Macaparana,59,4,58
Machados,57,8,59
Manari,79,2,81
Maraial,69,9,68
Mirandiba,57,0,57
Moreilândia,61,3,60
Moreno,35,7,35
Nazaré da Mata,41,5,39
Olinda,15,2,15
Orobó,60,3,58
Orocó,48,3,46
Ouricuri,60,4,58
Palmares,40,4,41
Palmeirina,58,9,61
Panelas,67,1,65
Paranatama,64,7,67
Parnamirim,50,8,49
Passira,54,5,54
Paudalho,46,0,43
Paulista,10,6,10
Pedra,56,1,53
Pesqueira,46,1,46
Petrolândia,38,6,36
Petrolina,28,8,27
Poção,60,0,59
Pombos,50,6,50
Primavera,61,6,60
Quipapá,64,9,64
Quixaba,63,1,61
Recife,14,8,14
Riacho das Almas,57,4,58
Ribeirão,51,1,48
Rio Formoso,57,5,58
Sairé,59,7,57
Salgadinho,58,6,59
Salgueiro,39,6,36
Saloá,55,8,55
Sanharó,51,2,53
Santa Cruz,75,1,73
Santa Cruz da Baixa Verde,51,8,50
Santa Cruz do Capibaribe,21,1,20
Santa Filomena,77,8,76
Santa Maria da Boa Vista,47,2,45
Santa Maria do Cambucá,62,0,63
Santa Terezinha,55,1,51
São Benedito do Sul,72,3,67
São Bento do Una,56,6,56
São Caitano,51,8,51
São João,68,4,67
São Joaquim do Monte,64,2,66
São José da Coroa Grande,47,8,48
São José do Belmonte,61,7,61
São José do Egito,42,8,41
São Lourenço da Mata,31,6,28
São Vicente Ferrer,54,7,53
Serra Talhada,44,6,43
Serrita,63,2,62
Sertânia,49,8,43
Sirinhaém,55,7,53
Solidão,66,7,67
Surubim,43,6,43
Tabira,48,4,43
Tacaimbó,57,7,61
Tacaratu,50,3,50
Tamandaré,53,9,54
Taquaritinga do Norte,33,5,34
Terezinha,72,3,76
Terra Nova,40,3,34
Timbaúba,45,8,45
Toritama,17,5,17
Tracunhaém,56,6,51
Trindade,47,5,47
Triunfo,39,5,38
Tupanatinga,68,5,71
Tuparetama,49,9,49
Venturosa,50,6,52
Verdejante,55,9,56
Vertente do Lério,70,0,68
Vertentes,50,0,50
Vicência,58,3,58
Vitória de Santo Antão,38,2,37
Xexéu,64,3,67
