municipio,domicilios_particulares_permanentes_urbanos_com_lixo_coletado,domicilios_particulares_permanentes_urbanos_com_lixo_queimado_ou_enterrado,domicilios_particulares_permanentes_urbanos_com_lixo_destinado_de_outra_forma,domicilios_particulares_permanentes_rurais_com_lixo_coletado,domicilios_particulares_permanentes_rurais_com_lixo_queimado_ou_enterrado,domicilios_particulares_permanentes_rurais_com_lixo_destinado_de_outra_forma
Abreu e Lima,88,1,1,8,10,1
Afogados da Ingazeira,92,2,2,8,5,0
Afrânio,68,8,1,5,29,8
Agrestina,90,0,3,6,6,4
Água Preta,88,0,2,7,9,3
Águas Belas,68,6,3,7,27,7
Alagoinha,93,0,2,4,4,6
Aliança,40,5,0,5,59,1
Altinho,92,5,1,6,5,9
Amaraji,57,5,0,5,42,0
Angelim,94,1,1,2,4,6
Araçoiaba,65,8,6,4,27,8
Araripina,82,3,2,8,14,8
Arcoverde,84,7,1,9,13,4
Barra de Guabiraba,75,6,0,7,23,6
Barreiros,83,7,2,2,14,1
Belém de Maria,88,0,2,1,9,8
Belém de São Francisco,72,6,2,9,24,5
Belo Jardim,81,9,2,6,15,5
Betânia,76,2,2,8,21,0
Bezerros,92,5,2,7,4,8
Bodocó,74,7,5,4,19,9
Bom Conselho,84,3,2,3,13,4
Bom Jardim,60,0,22,8,17,2
Bonito,96,4,0,7,2,9
Brejão,91,9,0,4,7,7
Brejinho,91,1,0,1,8,8
Brejo da Madre de Deus,60,9,9,2,29,8
Buenos Aires,71,0,0,3,28,7
Buíque,65,1,6,1,28,9
Cabo de Santo Agostinho,93,7,1,7,4,6
Cabrobó,87,4,2,2,10,4
Cachoeirinha,92,0,0,7,7,3
Caetés,90,7,1,8,7,4
Calçado,86,8,0,8,12,4
Calumbi,43,8,4,4,51,8
Camaragibe,84,6,5,1,10,3
Camocim de São Félix,94,7,0,4,4,9
Camutanga,61,1,5,2,33,6
Canhotinho,81,1,1,9,17,0
Capoeiras,96,8,0,8,2,4
Carnaíba,79,9,8,3,11,7
Carnaubeira da Penha,94,3,0,0,5,7
Carpina,79,3,3,9,16,8
Caruaru,89,7,1,8,8,5
Casinhas,77,6,4,7,17,7
Catende,85,3,3,0,11,7
Cedro,66,4,4,9,28,7
Chã de Alegria,63,8,1,4,34,8
Chã Grande,71,7,7,1,21,1
Condado,70,5,1,6,28,0
Correntes,88,8,0,9,10,4
Cortês,61,6,0,3,38,1
Cumaru,87,6,7,3,5,1
Cupira,95,8,0,1,4,1
Custódia,57,5,3,7,38,9
Dormentes,62,4,5,4,32,2
Escada,81,4,2,7,15,9
Exu,67,4,4,1,28,5
Feira Nova,80,4,2,3,17,2
Fernando de Noronha,99,8,0,0,0,2
Ferreiros,95,1,0,3,4,6
Flores,76,5,2,6,21,0
Floresta,90,2,2,5,7,3
Frei Miguelinho,82,7,11,6,5,8
Gameleira,67,8,3,9,28,3
Garanhuns,96,4,0,8,2,7
Glória do Goitá,93,2,1,0,5,7
Goiana,89,1,3,5,7,4
Granito,78,7,1,8,19,5
Gravatá,80,3,5,5,14,2
Iati,79,2,2,3,18,5
Ibimirim,29,0,3,6,67,4
Ibirajuba,96,7,0,7,2,6
Igarassu,83,4,6,3,10,3
Iguaraci,78,9,5,0,16,1
Ilha de Itamaracá,40,1,17,6,42,3
Inajá,47,2,10,2,42,6
Ingazeira,60,9,8,3,30,7
Ipojuca,92,4,0,9,6,6
Ipubi,73,7,3,4,23,0
Itacuruba,83,1,0,7,16,2
Itaíba,69,1,1,9,29,0
Itambé,90,8,0,7,8,5
Itapetim,80,5,4,1,15,5
Itapissuma,95,8,2,0,2,2
Itaquitinga,46,4,2,5,51,1
