municipio,domicilios_particulares_permanentes_total,domicilios_particulares_permanentes_rendimento_com_rendimento_medio_mensal_domiciliar_de_ate_1/4_salarios_minimos,domicilios_particulares_permanentes_rendimento_com_rendimento_medio_mensal_domiciliar_de_1/4_a_1/2_salarios_minimos,domicilios_particulares_permanentes_rendimento_com_rendimento_medio_mensal_domiciliar_de_1/2_a_1_salarios_minimos,domicilios_particulares_permanentes_rendimento_com_rendimento_medio_mensal_domiciliar_de_1_a_2_salarios_minimos,domicilios_particulares_permanentes_rendimento_com_rendimento_medio_mensal_domiciliar_de_2_a_3_salarios_minimos,domicilios_particulares_permanentes_rendimento_com_rendimento_medio_mensal_domiciliar_de_mais_de_3_salarios_minimos
Abreu e Lima,   22 626,16,9,21,4,32,9
Afogados da Ingazeira,   8 666,26,5,21,9,30,11
Afrânio,   3 371,42,21,9,23,4,8
Agrestina,   5 254,28,3,22,2,31,1
Água Preta,   6 169,42,26,5,19,7,9
Águas Belas,   8 732,45,4,21,8,22,5
Alagoinha,   3 319,29,4,22,9,30,3
Aliança,   8 160,34,2,31,2,22,7
Altinho,   6 105,31,1,25,7,28,8
Amaraji,   5 007,32,5,28,6,25,5
Angelim,   2 287,34,2,27,3,25,8
Araçoiaba,   3 398,34,1,28,5,24,6
Araripina,   16 299,33,4,24,3,23,1
Arcoverde,   16 024,19,20,1,30,15,5
Barra de Guabiraba,   2 645,32,1,28,1,26,2
Barreiros,   8 734,32,6,25,4,24,6
Belém de Maria,   2 667,40,2,25,7,24,2
Belém de São Francisco,   4 325,29,8,25,1,22,6
Belo Jardim,   18 319,21,5,26,5,30,3
Betânia,   2 652,43,9,23,24,3,7
Bezerros,   16 292,21,6,25,6,33,3
Bodocó,   6 803,42,3,24,2,22,9
Bom Conselho,   10 293,36,2,23,5,26,5
Bom Jardim,   8 948,34,8,25,7,28,4
Bonito,   9 282,31,7,26,8,23,9
Brejão,   2 118,35,3,29,1,27,7
Brejinho,   1 799,44,5,22,3,23,2
Brejo da Madre de Deus,   9 643,20,9,26,5,33,3
Buenos Aires,   2 725,28,5,33,7,28,3
Buíque,   9 701,46,7,22,7,20,5
Cabo de Santo Agostinho,   37 019,22,23,5,26,8,17
Cabrobó,   6 161,26,5,27,2,27,9
Cachoeirinha,   4 674,18,2,21,4,37,8
Caetés,   5 439,43,8,26,3,21,3
Calçado,   2 853,35,2,21,28,2,11
Calumbi,   1 787,43,5,24,5,22,4
Camaragibe,   32 286,16,3,21,5,30,9
Camocim de São Félix,   3 965,23,26,7,32,4,11
Camutanga,   1 829,34,3,28,9,23,6
Canhotinho,   6 056,35,5,25,9,23,7
Capoeiras,   4 423,30,1,31,1,26,5
Carnaíba,   4 394,40,7,20,4,24,9
Carnaubeira da Penha,   2 038,57,23,3,16,2,2
Carpina,   15 544,20,7,25,6,28,1
Caruaru,   68 171,11,6,18,9,29,7
Casinhas,   3 081,35,1,26,28,4,8
Catende,   7 502,28,27,3,25,7,13
Cedro,   2 046,37,4,23,7,23,4
Chã de Alegria,   2 505,40,3,29,4,20,4
Chã Grande,   4 635,17,6,32,1,32,1
Condado,   5 191,34,7,27,6,23,6
Correntes,   4 019,39,3,24,22,2,9
Cortês,   2 883,34,7,32,3,22,8
Cumaru,   6 167,49,6,23,7,20,4
Cupira,   6 161,29,24,5,30,9,9
Custódia,   7 709,31,3,22,7,28,5
Dormentes,   3 267,42,7,23,5,23,2
Escada,   13 665,26,6,28,4,27,7
Exu,   7 039,44,6,26,7,18,9
Feira Nova,   4 760,23,7,32,6,29,8
Fernando de Noronha,484,0,3,6,3,5,32
Ferreiros,   2 433,32,2,28,6,25,9
Flores,   5 456,37,9,23,7,26,4
Floresta,   5 308,32,3,21,8,22,8
Frei Miguelinho,   3 621,31,6,21,1,35,6
Gameleira,   5 118,33,2,32,7,22,8
Garanhuns,   29 583,20,1,21,26,4,16
Glória do Goitá,   6 486,31,5,29,2,26,2
Goiana,   17 124,23,7,25,5,27,14
Granito,   1 310,48,4,21,21,9,5
Gravatá,   17 903,18,1,26,2,29,8
Iati,   3 895,48,1,24,19,2,5
Ibimirim,   5 480,45,4,22,19,7,7
Ibirajuba,   1 923,41,1,19,7,31,8
Igarassu,   19 877,24,2,22,8,26,8
Iguaraci,   2 927,35,7,24,9,27,8
Ilha de Itamaracá,   3 642,19,3,22,7,31,7
Inajá,   2 890,47,2,22,4,17,9
Ingazeira,   1 120,26,6,29,1,27,8
Ipojuca,   13 450,25,2,27,6,28,9
Ipubi,   5 081,40,6,25,9,23,2
Itacuruba,819,29,4,25,8,24,4
Itaíba,   6 065,41,5,23,7,22,5
Itambé,   7 866,35,1,28,9,22,7
Itapetim,   4 000,35,2,19,6,27,9
Itapissuma,   4 766,24,9,24,5,28,7
Itaquitinga,   3 361,36,7,27,6,23,3
Jaboatão dos Guararapes,   150 400,15,1,18,9,26,7
Jaqueira,   2 496,40,9,30,3,17,9
Jataúba,   3 802,36,2,21,7,27,5
Jatobá,   3 047,34,5,20,8,22,4
João Alfredo,   6 945,30,25,4,31,1,9
Joaquim Nabuco,   3 579,33,2,32,5,23,1
Jucati,   2 348,41,7,27,22,6,6
Jupi,   3 074,32,6,24,9,24,8
Jurema,   3 482,38,7,23,8,27,7
Lagoa do Carro,   3 141,20,4,30,9,32,2
Lagoa do Itaenga,   4 475,30,29,7,25,6,9
Lagoa do Ouro,   2 679,49,20,6,21,7,6
Lagoa dos Gatos,   4 155,39,8,24,2,24,7
Lagoa Grande,   4 108,30,1,26,3,27,3
Lajedo,   8 417,24,8,23,6,29,14
Limoeiro,   14 391,23,25,1,30,3,13
Macaparana,   5 239,35,7,27,1,21,5
Machados,   2 361,28,9,27,3,28,9
Manari,   2 795,65,2,17,3,15,7
Maraial,   3 012,40,4,32,6,17,1
Mirandiba,   2 808,43,25,7,22,7,5
Moreilândia,   2 551,45,22,7,24,9,5
Moreno,   12 133,22,2,28,4,30,1
Nazaré da Mata,   6 975,25,7,24,9,24,1
Olinda,   94 044,11,9,17,1,24,21
Orobó,   5 179,35,9,23,8,27,3
Orocó,   2 244,30,1,26,6,24,13
Ouricuri,   12 536,41,9,21,8,21,5
Palmares,   13 220,24,7,22,4,26,2
Palmeirina,   2 299,34,8,22,8,29,7
Panelas,   6 085,38,22,4,26,5,8
Paranatama,   2 537,32,24,2,30,2,12
Parnamirim,   4 183,35,6,24,5,26,2
Passira,   7 241,33,4,23,8,27,8
Paudalho,   10 664,26,3,31,7,24,8
Paulista,   67 782,11,16,26,1,24,4
Pedra,   4 813,38,5,23,9,24,4
Pesqueira,   14 975,28,7,22,2,28,4
Petrolândia,   6 081,26,2,24,7,23,2
Petrolina,   50 596,18,1,20,9,26,1
Poção,   3 062,37,21,2,27,4,9
Pombos,   5 844,25,1,27,9,26,6
Primavera,   2 729,29,3,29,6,25,8
Quipapá,   4 943,40,3,25,20,6,9
Quixaba,   1 568,55,8,13,1,24,5
Recife,   375 857,11,4,15,3,22,2
Riacho das Almas,   4 918,29,7,24,3,30,5
Ribeirão,   9 623,28,7,26,4,25,1
Rio Formoso,   4 343,35,2,26,5,21,7
Sairé,   3 577,26,2,28,32,9,9
Salgadinho,   1 609,27,7,27,7,32,8
Salgueiro,   11 824,26,8,23,6,25,1
Saloá,   3 855,38,1,24,3,25,6
Sanharó,   4 214,26,6,23,7,28,1
Santa Cruz,   2 520,49,6,21,3,20,7
Santa Cruz da Baixa Verde,   2 668,31,28,1,28,9,8
Santa Cruz do Capibaribe,   15 597,7,5,14,4,34,3
Santa Filomena,   2 618,54,1,19,4,18,6
Santa Maria da Boa Vista,   7 296,29,7,25,25,13,2
Santa Maria do Cambucá,   2 974,41,24,9,27,6,4
Santa Terezinha,   2 330,37,9,25,26,1,8
São Benedito do Sul,   2 440,44,3,29,9,17,6
São Bento do Una,   10 907,31,3,26,2,27,2
São Caitano,   8 784,29,8,26,8,26,9
São João,   4 692,38,7,24,8,25,2
São Joaquim do Monte,   5 149,33,7,23,3,28,8
São José da Coroa Grande,   3 061,35,25,20,8,10,8
São José do Belmonte,   7 102,36,3,25,9,23,3
São José do Egito,   8 096,29,3,24,2,29,4
São Lourenço da Mata,   22 295,21,5,25,9,27,1
São Vicente Ferrer,   3 701,36,23,3,25,9,9
Serra Talhada,   17 726,23,5,24,2,30,2
Serrita,   3 612,36,7,24,3,24,4
Sertânia,   8 065,30,1,24,5,27,8
Sirinhaém,   6 749,30,1,36,6,21,7
Solidão,   1 244,50,8,21,9,19,3
Surubim,   12 942,21,7,25,1,31,6
Tabira,   6 187,37,21,7,26,1,9
Tacaimbó,   3 316,30,7,27,6,30,1
Tacaratu,   3 813,40,4,20,8,25,4
Tamandaré,   3 879,38,1,23,8,21,6
Taquaritinga do Norte,   5 288,13,8,22,8,35,6
Terezinha,   1 505,48,7,24,2,19,9
Terra Nova,   1 664,26,3,24,9,25,5
Timbaúba,   13 379,25,2,29,5,24,9
Toritama,   5 491,4,1,13,36,2,28
