"municipios	domicilios_particulares_permanentes_rurais_com_agua_canalizada_pela_rede_geral_total	domicilios_particulares_permanentes_rurais_com_agua_canalizada_pela_rede_geral_em_pelo_menos_um_comodo	domicilios_particulares_permanentes_rurais_com_agua_canalizada_pela_rede_geral_so_na_propriedade_ou_terreno	domicilios_particulares_permanentes_rurais_com_agua_canalizada_por_poco_ou_nascente_total	domicilios_particulares_permanentes_rurais_com_agua_canalizada_por_poco_ou_nascente_em_pelo_menos_um_comodo	domicilios_particulares_permanentes_rurais_com_agua_canalizada_por_poco_ou_nascente_so_na_propriedade_ou_terreno	domicilios_particulares_permanentes_rurais_com_agua_nao_canalizada_por_poco_ou_nascente_	domicilios_particulares_permanentes_rurais_com_outra_forma_de_abastecimento_de_agua"
"Abreu e Lima	48,4	35,6	12,7	35,3	8,5	6,7	20,1	16,3"
"Afogados da Ingazeira	10,7	7,4	3,3	30,6	5,2	1,5	23,9	58,7"
"Afrânio	7,4	6,5	0,9	29,9	2,9	0,6	26,4	62,7"
"Agrestina	15,1	11,7	3,5	24,8	3,9	2,6	18,3	60"
"Água Preta	3,1	1,4	1,7	78,1	12,6	3,8	61,7	18,8"
"Águas Belas	10,8	5,4	5,4	32,3	1	2,8	28,5	56,9"
"Alagoinha	0,8	0,5	0,4	4,7	0,1	0	4,6	94,5"
"Aliança	41,3	22,3	19	36,3	5	3,2	28	22,5"
"Altinho	7,4	6,1	1,3	36,9	1,5	2	33,5	55,6"
"Amaraji	9,3	3,9	5,3	80,8	12,5	14,2	54	9,9"
"Angelim	10,6	3,8	6,8	44	12,7	4,8	26,6	45,3"
"Araçoiaba	22,2	21,7	0,6	45	3,7	13	28,3	32,8"
"Araripina	6,3	6,1	0,2	8,2	0,6	0,1	7,4	85,5"
"Arcoverde	8,2	7,3	0,9	19,4	5	1,3	13,2	72,4"
"Barra de Guabiraba	0,5	0,5	0	93	24,9	4,6	63,5	6,4"
"Barreiros	1,2	1	0,2	85	10,7	4,4	69,9	13,8"
"Belém de Maria	1,3	1,1	0,2	78,9	15,3	4,9	58,7	19,8"
"Belém de São Francisco	7,8	6	1,9	13,5	0,3	0,3	12,9	78,7"
"Belo Jardim	19,9	16,6	3,3	29,6	1,5	0,9	27,2	50,5"
"Betânia	3,9	3,2	0,7	53,6	2,1	0,7	50,7	42,6"
"Bezerros	7,5	5,1	2,4	49,9	2,4	1,1	46,3	42,6"
"Bodocó	14,7	11,2	3,5	14,4	1,1	0,5	12,7	70,9"
"Bom Conselho	7	3,1	3,8	47,9	6,9	3,5	37,5	45,1"
"Bom Jardim	15,1	11,1	4	39	7	1,6	30,4	46"
"Bonito	10,7	8,7	2	69	10,2	11,5	47,4	20,3"
"Brejão	16,6	9,5	7,1	53,1	17,5	7,3	28,3	30,3"
"Brejinho	3,8	3,5	0,3	20,1	0,8	0,4	18,9	76,2"
"Brejo da Madre de Deus	25,6	22,1	3,5	19,4	2,3	0,6	16,5	55,1"
"Buenos Aires	19,6	11,7	7,9	51,7	6,3	4,6	40,8	28,7"
"Buíque	1,8	1,4	0,3	34	5,7	1,2	27,1	64,2"
"Cabo de Santo Agostinho	13,8	11,8	2,1	49,4	13,3	6,2	29,9	36,7"
"Cabrobó	25,6	13,5	12,2	26,6	2,6	5,1	19	47,7"
"Cachoeirinha	8,6	5,3	3,3	50,3	2,5	0,7	47,1	41,1"
"Caetés	0,3	0,2	0,1	6,1	0,4	0,1	5,6	93,6"
"Calçado	9,4	7,1	2,2	27,8	2,1	3	22,7	62,8"
