municipios;domicilios_particulares_permanentes_urbanos_com_agua_canalizada_pela_rede_geral_total;domicilios_particulares_permanentes_urbanos_com_agua_canalizada_pela_rede_geral_em_pelo_menos_um_comodo;domicilios_particulares_permanentes_urbanos_com_agua_canalizada_pela_rede_geral_so_na_propriedade_ou_terreno;domicilios_particulares_permanentes_urbanos_com_agua_canalizada_por_poco_ou_nascente_total;domicilios_particulares_permanentes_urbanos_com_agua_canalizada_por_poco_ou_nascente_em_pelo_menos_um_comodo;domicilios_particulares_permanentes_urbanos_com_agua_canalizada_por_poco_ou_nascente_so_na_propriedade_ou_terreno;domicilios_particulares_permanentes_urbanos_com_agua_nao_canalizada_por_poco_ou_nascente_;domicilios_particulares_permanentes_urbanos_com_outra_forma_de_abastecimento_de_agua;
Abreu e Lima;94,9;86,2;8,7;3,6;2,6;0,2;0,8;1,6;
Afogados da Ingazeira;95,5;88,7;6,9;0,1;0,0;0,0;0,0;4,4;
Afrânio;98,6;93,1;5,5;0,2;0,1;0,0;0,1;1,2;
Agrestina;93,1;89,9;3,2;0,1;0,0;0,0;0,1;6,8;
Água Preta;88,4;83,4;5,0;6,8;2,2;0,5;4,0;4,8;
Águas Belas;85,4;74,6;10,8;0,2;0,0;0,0;0,1;14,4;
Alagoinha;57,0;44,9;12,1;5,8;0,4;0,0;5,4;37,1;
Aliança;89,5;68,0;21,5;2,0;0,2;0,1;1,7;8,5;
Altinho;95,8;93,8;2,1;0,0;0,0;0,0;0,0;4,2;
Amaraji;75,3;62,3;12,9;1,5;0,6;0,0;0,9;23,2;
Angelim;93,7;76,0;17,7;0,3;0,1;0,1;0,2;6,0;
Araçoiaba;63,5;39,9;23,6;18,7;3,3;2,4;13,0;17,9;
Araripina;77,5;66,7;10,9;4,4;1,1;0,4;3,0;18,0;
Arcoverde;90,5;85,8;4,7;0,5;0,4;0,0;0,1;9,0;
Barra de Guabiraba;92,5;85,1;7,4;1,9;0,3;0,0;1,6;5,5;
Barreiros;91,2;85,3;5,9;4,9;1,0;0,1;3,8;3,9;
Belém de Maria;68,9;67,6;1,3;17,4;6,5;1,5;9,4;13,7;
Belém de São Francisco;94,2;84,2;10,0;0,2;0,0;0,0;0,2;5,6;
Belo Jardim;93,5;90,6;2,9;0,3;0,1;0,0;0,2;6,3;
Betânia;82,0;63,6;18,4;4,5;0,0;0,0;4,5;13,4;
Bezerros;89,0;72,5;16,5;0,9;0,0;0,0;0,8;10,1;
Bodocó;88,5;68,3;20,2;0,7;0,3;0,1;0,3;10,8;
Bom Conselho;76,2;64,3;11,9;1,9;1,1;0,1;0,7;21,9;
Bom Jardim;76,9;69,2;7,8;5,6;0,7;0,0;4,9;17,5;
Bonito;94,2;84,7;9,4;0,6;0,1;0,1;0,4;5,2;
Brejão;92,4;88,5;3,9;1,1;0,8;0,0;0,4;6,4;
Brejinho;86,0;85,5;0,4;0,1;0,0;0,0;0,1;13,9;
Brejo da Madre de Deus;83,4;79,7;3,6;1,2;0,1;0,1;1,0;15,4;
Buenos Aires;89,8;73,5;16,3;1,5;0,0;0,0;1,5;8,7;
Buíque;72,2;68,4;3,7;8,0;4,0;0,9;3,0;19,9;
Cabo de Santo Agostinho;91,1;82,0;9,1;6,2;3,5;0,6;2,0;2,7;
Cabrobó;96,0;88,2;7,9;0,2;0,1;0,0;0,1;3,8;
Cachoeirinha;85,0;52,4;32,6;1,1;0,0;0,1;1,0;13,9;
Caetés;61,2;56,1;5,1;0,6;0,0;0,0;0,6;38,2;
Calçado;77,1;67,7;9,3;0,4;0,1;0,0;0,3;22,5;
Calumbi;82,2;65,8;16,3;1,1;0,2;0,0;0,9;16,7;
Camaragibe;69,9;61,7;8,2;21,7;13,3;1,2;7,2;8,4;
Camocim de São Félix;64,1;62,6;1,5;1,5;1,3;0,0;0,1;34,4;
Camutanga;71,4;32,3;39,1;6,6;3,9;0,2;2,4;22,1;
Canhotinho;85,0;71,3;13,7;4,5;1,0;0,5;3,1;10,5;
Capoeiras;89,9;87,9;2,0;1,3;0,2;0,0;1,1;8,8;
Carnaíba;88,5;85,6;2,9;0,6;0,2;0,1;0,4;10,8;
Carnaubeira da Penha;91,8;91,0;0,8;0,4;0,0;0,0;0,4;7,8;
Carpina;86,8;74,5;12,3;8,2;3,7;1,3;3,2;5,0;
Caruaru;92,0;88,8;3,2;0,2;0,0;0,0;0,2;7,8;
Casinhas;3,6;3,0;0,6;0,3;0,3;0,0;0,0;96,1;
Catende;95,1;86,5;8,7;2,3;0,3;0,4;1,5;2,6;
Cedro;95,0;93,1;1,9;1,3;0,8;0,0;0,5;3,7;
Chã de Alegria;52,5;24,2;28,3;1,7;0,0;0,1;1,7;45,7;
Chã Grande;69,6;61,9;7,7;12,3;2,3;0,3;9,6;18,1;
Condado;54,5;36,4;18,1;15,9;10,6;1,3;4,0;29,6;
Correntes;88,6;87,6;0,9;0,6;0,0;0,0;0,5;10,8;
Cortês;93,1;67,0;26,1;0,6;0,3;0,1;0,3;6,3;
Cumaru;13,8;13,6;0,2;0,6;0,1;0,0;0,6;85,6;
Cupira;96,9;94,7;2,3;0,1;0,0;0,0;0,1;3,0;
Custódia;92,0;90,0;2,0;0,6;0,1;0,0;0,5;7,4;
Dormentes;91,0;72,1;18,9;0,1;0,0;0,0;0,1;8,9;
Escada;77,4;66,9;10,5;5,1;1,1;0,3;3,7;17,5;
Exu;75,0;50,8;24,2;1,2;0,4;0,1;0,7;23,8;
Feira Nova;73,9;50,5;23,4;4,1;1,5;0,2;2,5;22,0;
Fernando de Noronha;85,2;81,6;3,6;13,7;12,0;0,0;1,7;1,1;
Ferreiros;78,3;45,7;32,6;1,9;0,1;0,1;1,7;19,8;
Flores;86,7;73,9;12,9;0,3;0,1;0,0;0,2;13,0;
Floresta;91,8;77,5;14,3;0,1;0,0;0,0;0,1;8,1;
Frei Miguelinho;0,4;0,4;0,0;0,0;0,0;0,0;0,0;99,6;
Gameleira;83,5;78,0;5,5;4,4;0,7;0,8;2,9;12,0;
Garanhuns;90,6;86,6;4,1;2,5;2,0;0,1;0,4;6,9;
Glória do Goitá;85,4;78,9;6,4;0,4;0,1;0,0;0,2;14,3;
Goiana;84,9;74,3;10,5;8,8;5,7;1,0;2,1;6,3;
Granito;90,6;56,6;34,0;0,0;0,0;0,0;0,0;9,4;
Gravatá;91,5;86,4;5,1;1,3;0,3;0,0;1,0;7,2;
Iati;80,5;31,5;49,0;0,6;0,0;0,1;0,6;18,8;
Ibimirim;89,5;65,2;24,3;1,3;1,0;0,2;0,0;9,2;
Ibirajuba;87,2;53,5;33,7;0,3;0,0;0,1;0,1;12,5;
Igarassu;79,3;69,9;9,3;15,4;8,0;1,4;6,0;5,4;
Iguaraci;94,1;93,8;0,3;1,2;0,2;0,0;1,0;4,7;
