municipio,domicilios_particulares_permanentes_urbanos_com_instalacao_sanitaria_pela_rede_geral,domicilios_particulares_permanentes_urbanos_com_instalacao_sanitaria_por_fossa_septica,domicilios_particulares_permanentes_urbanos_com_instalacao_sanitaria_por_outra_forma,domicilios_particulares_permanentes_urbanos_sem_instalacao_sanitaria,domicilios_particulares_permanentes_rurais_com_instalacao_sanitaria_pela_rede_geral,domicilios_particulares_permanentes_rurais_com_instalacao_sanitaria_por_fossa_septica,domicilios_particulares_permanentes_rurais_com_instalacao_sanitaria_por_outra_forma,domicilios_particulares_permanentes_rurais_sem_instalacao_sanitaria
Abreu e Lima,36,7,0,6,60,1,2,7
Afogados da Ingazeira,83,2,2,2,10,0,4,6
Afrânio,12,3,3,3,65,0,19,3
Agrestina,75,3,4,7,14,9,5,0
Água Preta,31,3,7,8,53,5,7,4
Águas Belas,25,6,3,2,51,9,19,4
Alagoinha,58,0,0,7,32,1,9,3
Aliança,18,2,2,9,69,2,9,7
Altinho,73,8,3,8,19,4,3,0
Amaraji,44,6,3,6,36,2,15,7
Angelim,69,4,6,9,18,7,5,0
Araçoiaba,3,5,1,6,87,7,7,2
Araripina,54,7,3,6,18,6,23,1
Arcoverde,84,5,3,6,6,7,5,2
Barra de Guabiraba,44,0,0,3,46,3,9,5
Barreiros,16,4,11,3,60,8,11,5
Belém de Maria,30,2,8,3,50,4,11,1
Belém de São Francisco,33,3,1,5,51,6,13,7
Belo Jardim,74,2,2,8,19,5,3,5
Betânia,43,9,1,2,39,3,15,6
Bezerros,72,0,1,9,22,4,3,8
Bodocó,36,4,1,0,42,4,20,2
Bom Conselho,70,9,2,0,18,6,8,5
Bom Jardim,23,6,2,0,68,4,6,0
Bonito,70,3,2,6,22,9,4,1
Brejão,16,0,0,1,80,7,3,2
Brejinho,82,6,0,7,7,3,9,4
Brejo da Madre de Deus,54,8,8,5,30,7,6,0
Buenos Aires,11,6,1,8,81,1,5,4
Buíque,34,1,16,1,38,8,11,0
Cabo de Santo Agostinho,28,3,15,1,51,4,5,3
Cabrobó,79,6,1,5,6,2,12,7
Cachoeirinha,74,6,5,0,11,1,9,3
Caetés,31,7,3,7,51,0,13,6
Calçado,79,9,1,7,12,3,6,2
Calumbi,88,8,0,0,3,0,8,2
Camaragibe,16,0,4,2,76,7,3,1
Camocim de São Félix,46,2,0,6,50,7,2,5
Camutanga,7,7,22,9,57,3,12,1
Canhotinho,68,6,3,8,22,5,5,2
Capoeiras,81,5,0,1,13,9,4,5
Carnaíba,40,7,34,0,10,9,14,3
Carnaubeira da Penha,0,0,0,0,87,8,12,2
Carpina,1,4,2,3,94,6,1,8
Caruaru,80,8,3,4,13,4,2,4
Casinhas,44,0,0,3,42,4,13,3
Catende,66,8,8,8,16,9,7,5
Cedro,76,8,0,8,15,5,6,8
Chã de Alegria,6,9,19,4,65,1,8,5
Chã Grande,39,8,0,5,48,4,11,3
Condado,2,4,0,7,88,1,8,7
Correntes,32,1,17,1,39,3,11,5
Cortês,55,2,8,8,29,7,6,3
Cumaru,30,1,26,6,39,3,4,1
Cupira,78,5,6,9,11,0,3,5
Custódia,76,7,3,0,12,4,7,9
Dormentes,3,4,1,3,81,3,14,0
Escada,30,1,21,5,40,5,7,9
Exu,7,8,18,9,55,4,18,0
Feira Nova,8,6,0,9,87,2,3,2
Fernando de Noronha,58,7,34,7,3,6,3,0
Ferreiros,53,0,9,2,30,9,6,9
Flores,35,7,0,5,52,9,11,0
Floresta,29,4,41,6,16,3,12,7
Frei Miguelinho,9,7,0,3,85,8,4,2
Gameleira,39,9,6,7,40,9,12,5
Garanhuns,26,1,1,8,68,8,3,3
Glória do Goitá,64,5,0,4,31,8,3,3
Goiana,17,7,10,4,64,6,7,3
Granito,40,0,3,6,29,9,26,5
Gravatá,68,7,8,1,18,5,4,8
Iati,36,1,0,4,43,4,20,1
Ibimirim,27,1,3,6,54,1,15,2
Ibirajuba,86,8,0,0,8,3,4,9
Igarassu,5,1,4,3,84,6,6,0
Iguaraci,19,1,3,2,65,7,12,0
Ilha de Itamaracá,0,5,2,3,90,2,7,0
Inajá,18,7,0,6,71,0,9,8
Ingazeira,57,9,13,0,12,3,16,8
Ipojuca,31,9,3,4,57,8,6,9
Ipubi,4,5,0,4,73,0,22,1
Itacuruba,8,0,79,5,1,5,10,9
Itaíba,44,1,3,2,38,0,14,8
Itambé,0,7,0,1,93,7,5,5
Itapetim,47,7,0,3,43,6,8,3
Itapissuma,21,4,74,2,2,3,2,1
Itaquitinga,0,9,0,9,90,5,7,6
Jaboatão dos Guararapes,21,5,20,8,53,5,4,2
Jaqueira,9,9,20,9,60,2,9,1
Jataúba,69,5,10,3,10,2,10,0
Jatobá,54,0,3,9,31,3,10,8
João Alfredo,40,3,10,5,46,5,2,7
Joaquim Nabuco,34,4,8,1,49,0,8,5
Jucati,77,8,0,0,16,3,5,8
Jupi,65,9,0,1,30,7,3,2
Jurema,86,8,1,8,8,5,3,0
Lagoa do Carro,3,3,0,6,92,0,4,1
Lagoa do Itaenga,5,1,0,8,92,4,1,8
Lagoa do Ouro,42,5,26,3,24,8,6,4
Lagoa dos Gatos,52,3,1,4,40,6,5,7
Lagoa Grande,7,7,2,6,73,7,16,1
Lajedo,74,7,0,5,18,7,6,1
Limoeiro,18,8,11,4,66,2,3,6
Macaparana,69,8,4,8,24,0,1,4
Machados,0,8,2,0,92,9,4,4
Manari,0,0,0,5,76,4,23,0
Maraial,9,4,12,3,59,3,19,0
Mirandiba,40,1,22,8,18,9,18,2
Moreilândia,7,7,0,0,73,3,19,0
Moreno,17,1,5,4,69,9,7,6
Nazaré da Mata,73,3,4,1,20,0,2,6
Olinda,38,1,16,0,42,7,3,1
Orobó,34,5,0,8,62,9,1,9
Orocó,76,0,0,4,12,0,11,7
Ouricuri,61,3,3,3,17,7,17,7
Palmares,47,7,25,6,22,6,4,1
Palmeirina,31,7,2,6,60,0,5,7
Panelas,64,2,5,8,25,2,4,9
Paranatama,0,4,0,0,93,0,6,6
Parnamirim,79,0,4,3,6,8,9,9
Passira,3,3,1,0,93,0,2,7
Paudalho,9,2,1,7,79,9,9,1
Paulista,47,6,20,3,29,7,2,3
Pedra,50,2,11,1,20,7,18,0
Pesqueira,59,2,3,4,28,5,8,9
Petrolândia,53,1,28,9,14,9,3,1
Petrolina,80,6,6,5,10,1,2,7
Poção,31,3,5,4,46,0,17,3
Pombos,66,4,3,1,24,8,5,7
Primavera,54,2,1,9,37,4,6,5
Quipapá,59,8,3,0,32,0,5,2
Quixaba,15,6,0,0,58,5,25,9
Recife,42,9,15,2,39,2,2,7
Riacho das Almas,65,9,1,1,28,5,4,5
Ribeirão,56,3,10,5,29,0,4,2
Rio Formoso,1,0,46,4,40,9,11,7
Sairé,0,2,0,7,96,3,2,8
Salgadinho,5,1,3,0,86,3,5,6
Salgueiro,67,1,4,1,18,2,10,6
Saloá,55,9,0,6,35,8,7,8
Sanharó,34,2,4,4,55,1,6,3
Santa Cruz,27,5,3,5,44,8,24,2
Santa Cruz da Baixa Verde,48,7,0,4,45,3,5,7
Santa Cruz do Capibaribe,80,8,0,7,14,4,4,2
Santa Filomena,0,2,0,0,94,9,4,9
Santa Maria da Boa Vista,46,3,4,4,34,6,14,7
Santa Maria do Cambucá,30,9,0,2,60,1,8,8
Santa Terezinha,66,8,0,1,24,9,8,2
