municipio,moradores_por_domicilio_particular_permanente_total,moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_ate_1/4_salarios_minimos,moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_1/4_a_1/2_salarios_minimos,moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_1/2_a_1_salarios_minimos,moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_1_a_2_salarios_minimos,moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_2_a_3_salarios_minimos,moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_mais_de_3_salarios_minimos
Abreu e Lima,3,9,4,5,4,1,3
Afogados da Ingazeira,3,7,4,8,3,8,3
Afrânio,4,4,5,2,4,5,3
Agrestina,3,7,4,6,4,5,2
Água Preta,4,6,5,4,4,7,3
Águas Belas,4,1,5,0,4,0,2
Alagoinha,3,7,4,8,4,1,2
Aliança,4,5,5,4,4,5,3
Altinho,3,6,4,5,3,9,2
Amaraji,4,2,4,9,4,4,3
Angelim,3,9,4,9,4,0,2
Araçoiaba,4,3,5,1,4,8,3
Araripina,4,3,5,3,4,4,3
Arcoverde,3,8,4,8,4,3,3
Barra de Guabiraba,4,0,5,3,4,0,2
Barreiros,4,4,5,3,4,8,3
Belém de Maria,3,8,4,7,3,7,2
Belém de São Francisco,4,6,5,4,5,3,4
Belo Jardim,3,7,4,7,4,0,3
Betânia,4,1,5,1,4,3,3
Bezerros,3,5,4,2,3,8,2
Bodocó,4,6,5,5,4,5,3
Bom Conselho,4,1,5,2,4,2,2
Bom Jardim,4,1,5,3,4,1,3
Bonito,4,1,5,5,4,3,2
Brejão,4,1,5,2,4,2,2
Brejinho,3,9,4,6,3,8,3
Brejo da Madre de Deus,3,9,5,1,4,3,3
Buenos Aires,4,3,5,1,4,4,3
Buíque,4,5,5,6,4,2,3
Cabo de Santo Agostinho,4,1,4,7,4,5,3
Cabrobó,4,3,5,4,4,5,3
Cachoeirinha,3,6,5,0,3,8,3
Caetés,4,3,5,4,4,3,2
Calçado,4,0,5,0,4,4,3
Calumbi,3,9,4,7,3,9,2
Camaragibe,3,9,4,5,4,3,3
Camocim de São Félix,3,7,4,8,3,9,3
Camutanga,4,1,4,8,4,4,3
Canhotinho,4,0,5,0,4,0,3
Capoeiras,4,4,5,9,4,3,3
Carnaíba,4,0,4,9,4,2,2
Carnaubeira da Penha,4,9,5,7,4,5,2
Carpina,4,0,4,7,4,4,3
Caruaru,3,6,4,4,4,1,3
Casinhas,4,2,5,2,4,4,3
Catende,4,1,5,3,4,1,3
Cedro,4,5,5,4,4,5,3
Chã de Alegria,4,3,5,2,4,2,3
Chã Grande,3,9,5,1,4,3,3
Condado,4,1,4,8,4,2,3
Correntes,4,1,5,2,3,9,3
Cortês,4,3,5,0,4,3,3
Cumaru,4,5,5,3,4,4,3
Cupira,3,6,4,4,3,8,2
Custódia,3,9,4,6,4,1,3
Dormentes,4,3,5,2,4,4,3
Escada,4,1,5,0,4,5,3
Exu,4,5,5,4,4,6,3
Feira Nova,3,9,4,7,4,4,2
Fernando de Noronha,3,9,-,4,8,5,4
Ferreiros,4,3,5,1,4,7,3
Flores,3,7,4,6,3,9,2
Floresta,4,6,5,5,4,9,4
Frei Miguelinho,3,5,4,6,3,7,2
Gameleira,4,6,5,7,4,5,4
Garanhuns,3,9,5,0,4,2,3
Glória do Goitá,4,2,5,1,4,5,3
Goiana,4,1,4,7,4,5,3
Granito,4,5,5,6,4,1,3
Gravatá,3,7,4,6,4,1,3
Iati,4,5,5,5,4,2,2
Ibimirim,4,4,5,2,4,5,3
Ibirajuba,3,7,4,8,4,0,2
Igarassu,4,0,4,7,4,2,3
Iguaraci,3,8,4,8,4,1,2
Ilha de Itamaracá,3,8,4,7,3,9,3
Inajá,4,4,5,5,4,4,2
Ingazeira,3,9,4,5,4,5,2
Ipojuca,4,3,5,2,4,7,4
Ipubi,4,4,5,4,4,4,3
Itacuruba,4,3,4,8,5,0,3
Itaíba,4,2,5,2,4,3,2
Itambé,4,4,5,3,4,6,3
Itapetim,3,6,4,4,4,0,2
Itapissuma,4,1,4,9,4,7,3
Itaquitinga,4,3,5,1,4,8,3
Jaboatão dos Guararapes,3,8,4,4,4,3,3
Jaqueira,4,5,5,5,4,6,3
Jataúba,3,8,5,0,4,0,2
Jatobá,4,2,5,0,4,4,3
João Alfredo,3,9,4,8,4,1,3
Joaquim Nabuco,4,3,5,2,4,4,3
Jucati,4,0,5,1,4,0,2
Jupi,3,9,5,2,4,0,2
Jurema,3,8,5,0,3,8,2
Lagoa do Carro,4,0,4,9,4,4,3
Lagoa do Itaenga,4,5,5,4,4,7,3
Lagoa do Ouro,4,1,5,0,3,8,2
Lagoa dos Gatos,3,7,4,8,3,6,2
Lagoa Grande,4,3,5,1,4,7,3
Lajedo,3,8,4,7,4,2,3
Limoeiro,3,8,4,5,4,2,3
Macaparana,4,2,5,2,4,1,3
Machados,4,0,5,3,4,1,3
Manari,4,5,5,3,3,8,2
Maraial,4,7,5,9,4,4,3
Mirandiba,4,6,5,6,4,3,3
Moreilândia,4,2,5,4,4,0,2
Moreno,4,0,4,9,4,3,3
Nazaré da Mata,4,1,4,9,4,5,3
Olinda,3,8,4,5,4,3,4
Orobó,4,3,5,6,4,4,3
Orocó,4,6,5,4,4,9,3
Ouricuri,4,4,5,3,4,5,3
Palmares,4,1,5,3,4,2,3
Palmeirina,4,0,5,2,4,0,3
Panelas,4,2,5,5,4,1,2
Paranatama,4,1,5,6,4,6,2
Parnamirim,4,5,5,7,4,5,3
Passira,3,9,4,9,4,2,3
Paudalho,4,2,5,1,4,2,3
Paulista,3,8,4,3,4,2,4
Pedra,4,1,5,0,4,4,2
Pesqueira,3,8,4,6,4,0,3
Petrolândia,4,4,5,4,4,7,4
Petrolina,4,2,5,0,4,6,4
