municipio,pessoas_com_10_anos_ou_mais_ocupadas_na_semana_de_referencia_total,pessoas_com_10_anos_ou_mais_ocupadas_na_semana_de_referencia_com_10_a_17_anos,pessoas_com_10_anos_ou_mais_ocupadas_na_semana_de_referencia_com_18_a_24_anos,pessoas_com_10_anos_ou_mais_ocupadas_na_semana_de_referencia_com_25_a_59_anos,pessoas_com_10_anos_ou_mais_ocupadas_na_semana_de_referencia_com_60_anos_ou_mais
Abreu e Lima,36,0,5,4,36
Afogados da Ingazeira,47,2,22,6,52
Afrânio,39,9,15,8,42
Agrestina,48,2,21,4,52
Água Preta,23,1,4,7,25
Águas Belas,46,1,26,8,51
Alagoinha,51,8,28,6,57
Aliança,30,4,6,5,33
Altinho,45,0,20,9,52
Amaraji,38,5,15,8,42
Angelim,49,5,26,6,52
Araçoiaba,31,9,9,7,36
Araripina,44,8,20,9,48
Arcoverde,42,3,14,5,45
Barra de Guabiraba,36,8,15,0,41
Barreiros,29,9,5,7,33
Belém de Maria,30,3,7,1,31
Belém de São Francisco,47,3,22,0,52
Belo Jardim,45,0,19,3,51
Betânia,48,9,23,2,53
Bezerros,37,0,12,4,46
Bodocó,40,8,21,7,45
Bom Conselho,47,8,22,0,53
Bom Jardim,40,0,14,9,38
Bonito,38,9,15,4,43
Brejão,51,7,22,9,56
Brejinho,50,9,29,5,49
Brejo da Madre de Deus,49,3,20,8,65
Buenos Aires,35,8,8,6,43
Buíque,42,8,22,9,46
Cabo de Santo Agostinho,35,1,6,2,38
Cabrobó,49,6,26,0,57
Cachoeirinha,47,1,23,1,55
Caetés,57,0,43,0,61
Calçado,68,5,59,1,75
Calumbi,50,9,29,8,55
Camaragibe,38,9,5,9,42
Camocim de São Félix,37,4,13,4,44
Camutanga,30,9,6,6,30
Canhotinho,48,0,28,0,50
Capoeiras,49,6,21,3,57
Carnaíba,47,9,25,7,51
Carnaubeira da Penha,43,4,18,0,53
Carpina,35,1,6,5,38
Caruaru,48,5,15,6,57
Casinhas,46,8,22,1,51
Catende,29,7,4,8,33
Cedro,44,5,23,8,47
Chã de Alegria,31,5,5,9,32
Chã Grande,43,3,14,4,51
Condado,33,5,8,5,40
Correntes,51,6,30,6,54
Cortês,32,7,9,3,37
Cumaru,32,6,15,1,31
Cupira,44,7,27,8,53
Custódia,39,1,17,1,40
Dormentes,64,3,42,5,69
Escada,30,7,5,7,34
Exu,43,5,23,4,46
Feira Nova,49,2,23,7,55
Fernando de Noronha,70,0,23,4,77
Ferreiros,35,5,11,2,37
Flores,47,5,22,9,54
Floresta,42,6,16,3,44
Frei Miguelinho,38,5,18,5,44
Gameleira,29,6,6,3,32
Garanhuns,44,1,15,2,48
Glória do Goitá,50,6,24,9,57
Goiana,37,0,9,9,40
Granito,25,4,7,1,23
Gravatá,41,9,15,1,49
Iati,56,9,36,4,65
Ibimirim,36,6,18,8,40
Ibirajuba,44,7,18,8,52
Igarassu,32,2,5,3,34
Iguaraci,46,0,22,8,52
Ilha de Itamaracá,35,3,4,3,38
Inajá,42,5,12,4,50
Ingazeira,58,6,28,8,69
Ipojuca,33,9,5,9,39
Ipubi,39,8,15,5,48
Itacuruba,36,9,7,8,38
Itaíba,50,8,33,8,55
Itambé,32,1,11,0,37
Itapetim,50,1,27,1,51
Itapissuma,40,0,11,7,38
Itaquitinga,33,1,7,2,36
Jaboatão dos Guararapes,39,4,6,4,42
Jaqueira,25,3,3,1,30
Jataúba,62,0,45,0,70
Jatobá,31,6,6,4,30
João Alfredo,42,7,22,3,48
Joaquim Nabuco,28,3,3,9,28
Jucati,54,4,30,5,58
Jupi,60,4,41,1,71
Jurema,53,4,32,9,62
Lagoa do Carro,41,9,10,0,44
Lagoa do Itaenga,37,8,12,8,42
Lagoa do Ouro,62,7,47,5,63
Lagoa dos Gatos,48,9,24,8,57
Lagoa Grande,46,4,18,9,50
Lajedo,50,6,25,6,61
Limoeiro,40,3,11,2,45
Macaparana,36,1,13,3,47
Machados,45,6,21,2,56
Manari,71,1,59,0,75
