municipio,pessoas_de_10_anos_ou_mais_contribuintes_para_previdencia_total,pessoas_de_10_anos_ou_mais_contribuintes_para_previdencia_homens,pessoas_de_10_anos_ou_mais_contribuintes_para_previdencia_mulheres,pessoas_de_10_anos_ou_mais_nao_contribuintes_para_previdencia_total,pessoas_de_10_anos_ou_mais_nao_contribuintes_para_previdencia_homens,pessoas_de_10_anos_ou_mais_nao_contribuintes_para_previdencia_mulheres
Abreu e Lima,54,3,56,8,49,9
Afogados da Ingazeira,27,4,21,3,37,4
Afrânio,12,2,8,9,19,8
Agrestina,18,1,15,8,21,5
Água Preta,49,5,46,6,55,9
Águas Belas,11,6,9,6,15,2
Alagoinha,14,6,10,6,20,9
Aliança,51,6,54,9,45,3
Altinho,15,7,11,9,22,5
Amaraji,31,5,28,0,39,4
Angelim,16,8,15,9,18,5
Araçoiaba,42,0,42,2,41,4
Araripina,20,8,18,6,25,5
Arcoverde,36,8,33,4,41,8
Barra de Guabiraba,26,1,19,4,42,0
Barreiros,48,9,46,3,53,5
Belém de Maria,24,7,17,7,41,7
Belém de São Francisco,20,7,14,1,29,9
Belo Jardim,29,1,29,7,28,1
Betânia,13,7,8,7,24,1
Bezerros,24,4,21,3,30,1
Bodocó,14,2,8,3,28,3
Bom Conselho,13,0,10,9,16,6
Bom Jardim,19,9,19,3,21,0
Bonito,23,1,19,3,31,5
Brejão,12,7,8,5,20,5
Brejinho,9,0,9,8,7,8
Brejo da Madre de Deus,10,1,7,5,14,2
Buenos Aires,42,1,44,5,36,5
Buíque,11,2,7,7,17,8
Cabo de Santo Agostinho,56,7,61,7,46,6
Cabrobó,13,8,9,0,22,3
Cachoeirinha,16,1,11,9,24,9
Caetés,6,6,3,8,11,5
Calçado,7,4,6,1,9,1
Calumbi,15,7,11,2,22,3
Camaragibe,55,8,58,5,51,4
Camocim de São Félix,20,0,15,7,29,4
Camutanga,53,1,50,5,59,0
Canhotinho,13,7,11,3,17,7
Capoeiras,11,7,7,3,20,7
Carnaíba,17,8,11,5,30,2
Carnaubeira da Penha,9,7,3,8,22,7
Carpina,49,7,50,6,48,1
Caruaru,33,6,33,3,34,1
Casinhas,17,3,16,0,19,2
Catende,54,2,55,0,52,6
Cedro,16,7,10,9,29,8
Chã de Alegria,43,6,41,4,48,5
Chã Grande,19,2,13,9,31,1
Condado,41,2,42,0,39,7
Correntes,14,0,11,7,18,0
Cortês,45,2,44,5,46,9
Cumaru,16,4,14,5,20,5
Cupira,12,9,11,2,15,3
Custódia,23,0,18,6,31,6
Dormentes,10,3,8,5,13,1
Escada,55,0,58,6,47,4
Exu,13,8,8,1,27,0
Feira Nova,13,9,13,2,15,1
Fernando de Noronha,53,6,51,2,56,4
Ferreiros,42,0,43,5,38,7
Flores,11,4,8,9,16,6
Floresta,24,4,15,2,40,1
Frei Miguelinho,16,1,11,8,24,1
Gameleira,47,1,47,0,47,4
Garanhuns,35,7,34,9,36,9
Glória do Goitá,14,4,14,2,14,8
Goiana,42,9,44,3,40,2
Granito,20,7,11,1,39,5
Gravatá,28,4,26,3,32,4
Iati,8,4,8,0,9,2
Ibimirim,18,7,15,7,24,2
Ibirajuba,10,9,5,0,20,9
Igarassu,54,8,57,9,48,4
Iguaraci,16,0,10,2,30,7
Ilha de Itamaracá,34,5,32,8,37,8
Inajá,17,8,12,3,27,5
Ingazeira,14,5,7,7,27,9
Ipojuca,55,8,58,0,50,7
Ipubi,15,8,12,3,23,5
Itacuruba,41,9,32,1,54,7
Itaíba,7,2,5,3,11,5
Itambé,43,3,44,6,40,3
Itapetim,14,1,10,8,20,0
Itapissuma,40,0,43,0,34,6
Itaquitinga,50,4,53,3,43,8
Jaboatão dos Guararapes,57,0,59,3,53,1
Jaqueira,73,4,72,8,74,7
Jataúba,9,2,7,7,11,1
Jatobá,41,8,42,0,41,6
João Alfredo,15,3,15,5,15,0
Joaquim Nabuco,56,3,57,4,52,7
Jucati,6,8,4,5,10,7
Jupi,11,4,8,6,15,3
Jurema,10,2,7,3,14,5
Lagoa do Carro,33,6,33,5,33,7
Lagoa do Itaenga,38,8,38,0,40,4
Lagoa do Ouro,8,9,5,5,14,5
Lagoa dos Gatos,11,2,8,6,16,2
Lagoa Grande,26,6,24,0,31,8
Lajedo,14,5,13,1,16,7
Limoeiro,35,9,34,3,38,3
Macaparana,34,5,34,8,34,0
Machados,19,5,16,8,24,4
Manari,3,7,1,9,6,1
Maraial,45,7,42,7,56,2
Mirandiba,18,3,11,2,31,7
Moreilândia,17,4,9,0,34,5
Moreno,54,7,57,1,49,1
Nazaré da Mata,63,0,65,6,58,4
Olinda,58,2,59,3,56,8
Orobó,15,6,12,8,19,5
Orocó,13,6,8,0,24,2
Ouricuri,18,5,14,8,26,0
Palmares,46,3,45,6,47,4
Palmeirina,21,9,15,6,32,7
Panelas,11,9,8,2,17,4
Paranatama,7,9,5,0,12,6
Parnamirim,16,7,12,8,25,6
Passira,21,9,23,1,20,1
Paudalho,49,5,51,3,45,4
Paulista,60,2,61,7,57,9
Pedra,11,0,6,8,19,8
Pesqueira,22,8,20,2,26,3
Petrolândia,26,2,21,2,36,2
Petrolina,43,3,42,4,44,7
Poção,10,0,10,0,10,1
Pombos,21,5,20,3,23,6
Primavera,38,4,36,3,44,3
Quipapá,26,8,22,1,38,8
Quixaba,14,6,11,3,21,5
Recife,60,4,61,1,59,5
Riacho das Almas,13,3,10,0,19,9
Ribeirão,48,4,49,9,45,1
Rio Formoso,52,9,51,4,57,0
Sairé,13,1,9,5,20,9
Salgadinho,12,8,10,7,16,0
Salgueiro,35,1,30,7,42,4
Saloá,9,6,5,6,16,6
Sanharó,17,7,15,8,20,9
Santa Cruz,16,7,12,0,25,7
Santa Cruz da Baixa Verde,12,8,7,1,23,9
Santa Cruz do Capibaribe,11,5,11,6,11,4
Santa Filomena,9,9,6,6,17,1
Santa Maria da Boa Vista,13,3,11,6,16,0
Santa Maria do Cambucá,7,9,4,3,13,2
Santa Terezinha,16,7,14,6,20,7
São Benedito do Sul,32,6,26,1,51,9
São Bento do Una,17,6,14,1,24,5
São Caitano,23,4,22,1,25,9
São João,9,3,7,3,13,0
São Joaquim do Monte,11,0,9,1,14,4
São José da Coroa Grande,42,6,39,1,50,2
São José do Belmonte,18,5,12,2,32,2
São José do Egito,18,2,15,9,22,1
São Lourenço da Mata,51,7,56,2,43,9
São Vicente Ferrer,24,3,23,6,25,9
Serra Talhada,26,9,23,1,34,0
Serrita,14,9,9,7,27,5
Sertânia,26,3,23,0,33,6
Sirinhaém,59,3,61,2,53,9
Solidão,15,1,5,9,32,6
Surubim,24,4,21,5,29,0
Tabira,13,4,9,2,20,9
Tacaimbó,13,4,11,7,16,1
Tacaratu,12,2,8,8,17,2
Tamandaré,31,9,30,8,34,5
Taquaritinga do Norte,21,3,19,7,23,6
Terezinha,10,5,6,1,19,8
Terra Nova,12,6,5,9,24,6
Timbaúba,37,3,38,9,34,3
Toritama,10,8,9,7,12,4
Tracunhaém,47,4,50,3,41,3
Trindade,27,2,24,3,33,5
Triunfo,21,9,17,8,28,5
Tupanatinga,10,2,7,4,14,8
Tuparetama,28,0,24,6,33,3
Venturosa,17,4,9,1,34,5
Verdejante,19,0,12,7,32,7
Vertente do Lério,13,3,12,8,14,0
Vertentes,14,2,11,8,18,2
Vicência,44,4,44,0,45,2
Vitória de Santo Antão,34,1,32,9,36,7
Xexéu,44,1,44,8,42,5
