municipio,pop_branca,pop_preta,pop_parda,pop_amarela,pop_indigena
Abreu e Lima,33,4,4,9,60
Afogados da Ingazeira,42,9,2,5,54
Afrânio,52,5,14,6,31
Agrestina,54,9,6,2,38
Água Preta,26,5,15,8,51
Águas Belas,36,3,7,2,49
Alagoinha,48,7,3,3,47
Aliança,24,2,7,0,68
Altinho,40,5,6,0,52
Amaraji,37,3,4,7,57
Angelim,37,3,3,3,58
Araçoiaba,28,8,16,7,54
Araripina,31,2,8,4,59
Arcoverde,41,2,4,8,53
Barra de Guabiraba,39,5,3,0,55
Barreiros,30,5,6,6,62
Belém de Maria,49,8,6,4,41
Belém de São Francisco,23,3,7,1,68
Belo Jardim,43,7,3,1,52
Betânia,28,9,11,9,58
Bezerros,64,7,3,7,30
Bodocó,29,7,5,5,64
Bom Conselho,33,5,5,1,60
Bom Jardim,42,6,2,3,53
Bonito,43,2,5,1,50
Brejão,38,8,1,3,59
Brejinho,40,5,3,0,56
Brejo da Madre de Deus,38,9,4,0,56
Buenos Aires,34,1,3,6,61
Buíque,28,1,6,1,64
Cabo de Santo Agostinho,33,4,4,6,60
Cabrobó,34,6,7,4,51
Cachoeirinha,53,8,3,4,41
Caetés,48,1,1,6,49
Calçado,33,1,4,0,60
Calumbi,30,6,2,6,66
Camaragibe,38,8,5,5,54
Camocim de São Félix,55,3,3,9,39
Camutanga,37,1,2,8,59
Canhotinho,45,6,4,3,49
Capoeiras,44,0,4,7,50
Carnaíba,42,5,3,9,52
Carnaubeira da Penha,25,6,6,7,49
Carpina,40,3,6,0,52
Caruaru,56,4,3,0,39
Casinhas,48,4,1,7,49
Catende,36,0,5,9,55
Cedro,40,4,8,9,50
Chã de Alegria,32,6,3,4,63
Chã Grande,49,7,4,2,44
Condado,32,4,2,5,62
Correntes,49,6,4,1,45
Cortês,49,5,3,8,46
Cumaru,60,0,4,1,31
Cupira,58,6,9,1,31
Custódia,38,0,3,3,57
Dormentes,58,0,7,0,33
Escada,34,1,6,0,59
Exu,28,9,4,9,65
Feira Nova,34,7,1,5,62
Fernando de Noronha,39,0,5,5,52
Ferreiros,36,6,2,0,60
Flores,33,4,4,4,61
Floresta,32,4,6,6,57
Frei Miguelinho,62,3,0,7,36
Gameleira,32,6,11,5,55
Garanhuns,42,7,3,1,53
Glória do Goitá,32,4,6,7,60
Goiana,31,6,5,2,62
Granito,26,9,11,0,61
Gravatá,54,8,2,0,41
Iati,33,9,2,9,61
Ibimirim,42,6,4,3,52
Ibirajuba,80,7,2,3,17
Igarassu,33,9,4,2,60
Iguaraci,45,1,3,3,50
Ilha de Itamaracá,33,4,6,4,59
Inajá,30,0,3,6,58
Ingazeira,35,7,5,6,58
Ipojuca,24,3,6,0,69
Ipubi,7,5,1,9,89
Itacuruba,5,7,2,9,90
Itaíba,31,9,2,0,64
Itambé,34,9,3,8,59
Itapetim,53,9,3,2,42
Itapissuma,28,8,4,8,65
Itaquitinga,24,3,3,0,72
Jaboatão dos Guararapes,41,7,4,9,51
Jaqueira,32,1,4,1,62
Jataúba,47,5,6,0,45
Jatobá,27,8,7,2,54
João Alfredo,43,5,3,7,52
Joaquim Nabuco,30,7,3,0,65
Jucati,69,9,3,8,25
Jupi,31,3,1,7,66
Jurema,41,5,1,8,56
Lagoa do Carro,42,6,5,4,50
Lagoa do Itaenga,30,8,11,9,56
Lagoa do Ouro,60,9,2,5,36
Lagoa dos Gatos,42,4,3,7,53
Lagoa Grande,27,2,4,4,67
Lajedo,42,7,1,5,55
Limoeiro,44,6,3,5,50
Macaparana,41,5,4,5,53
Machados,33,8,1,6,63
Manari,33,7,13,2,52
Maraial,31,3,6,6,59
Mirandiba,20,9,11,5,65
Moreilândia,24,5,3,4,71
Moreno,38,5,4,5,56
Nazaré da Mata,31,7,3,4,63
Olinda,41,1,5,4,51
Orobó,39,8,1,8,58
Orocó,15,4,9,2,73
Ouricuri,30,9,3,8,63
Palmares,37,9,5,4,54
Palmeirina,36,5,3,0,59
Panelas,38,8,3,6,57
Paranatama,47,9,6,6,45
Parnamirim,43,9,5,9,49
Passira,47,0,4,3,47
Paudalho,31,7,7,6,59
Paulista,42,4,4,4,51
Pedra,35,1,3,4,61
Pesqueira,38,7,4,4,51
Petrolândia,38,1,3,9,53
Petrolina,37,0,4,4,57
Poção,50,9,3,1,45
Pombos,44,8,6,3,48
Primavera,42,4,4,8,52
Quipapá,31,2,8,3,58
Quixaba,28,4,0,2,71
Recife,45,8,5,4,47
Riacho das Almas,59,9,2,0,37
Ribeirão,34,8,5,3,58
Rio Formoso,23,8,14,1,61
Sairé,47,6,4,0,44
Salgadinho,54,8,7,6,35
Salgueiro,32,1,9,9,56
Saloá,34,9,1,3,62
Sanharó,50,7,5,1,43
Santa Cruz,53,3,5,6,38
Santa Cruz da Baixa Verde,30,5,2,1,67
Santa Cruz do Capibaribe,51,5,1,4,46
Santa Filomena,36,2,13,3,49
Santa Maria da Boa Vista,23,1,11,5,63
Santa Maria do Cambucá,51,6,3,7,44
Santa Terezinha,36,8,2,1,59
São Benedito do Sul,31,1,8,7,59
São Bento do Una,37,8,5,0,56
São Caitano,44,9,4,5,47
São João,34,8,6,4,58
São Joaquim do Monte,60,7,3,6,35
São José da Coroa Grande,19,4,3,1,76
São José do Belmonte,32,7,3,8,63
São José do Egito,53,3,6,8,39
São Lourenço da Mata,34,7,5,4,58
São Vicente Ferrer,41,4,2,6,55
Serra Talhada,38,4,5,6,54
Serrita,32,7,6,1,60
Sertânia,41,6,4,2,53
Sirinhaém,21,4,10,9,66
Solidão,58,3,0,5,40
Surubim,49,8,3,7,46
Tabira,56,2,1,8,41
Tacaimbó,44,1,1,4,53
Tacaratu,27,1,4,9,55
Tamandaré,20,7,4,9,73
Taquaritinga do Norte,48,8,1,8,47
Terezinha,34,1,1,3,64
Terra Nova,23,2,4,3,71
Timbaúba,37,2,2,8,59
Toritama,42,5,0,9,55
Tracunhaém,25,1,1,3,73
Trindade,33,4,3,8,61
Triunfo,33,9,1,9,63
Tupanatinga,35,5,3,9,59
Tuparetama,41,4,5,3,51
Venturosa,56,5,3,3,39
Verdejante,23,9,1,7,73
Vertente do Lério,39,4,1,0,58
Vertentes,54,0,6,3,39
Vicência,36,7,6,3,56
Vitória de Santo Antão,47,7,4,1,47
Xexéu,31,2,3,2,65
