municipio,media_anos_de_estudo_total,media_anos_de_estudo_pessoas_com_10_anos,media_anos_de_estudo_pessoas_com_11_anos,media_anos_de_estudo_pessoas_com_12_anos,media_anos_de_estudo_pessoas_com_13_anos,media_anos_de_estudo_pessoas_com_14_anos,media_anos_de_estudo_pessoas_com_15_anos,media_anos_de_estudo_pessoas_com_16_anos,media_anos_de_estudo_pessoas_com_17_anos,media_anos_de_estudo_pessoas_com_18_anos,media_anos_de_estudo_pessoas_com_19_anos,media_anos_de_estudo_pessoas_com_20_a_24_anos,media_anos_de_estudo_pessoas_com_25_a_29_anos,media_anos_de_estudo_pessoas_com_60_anos_ou_mais
Abreu e Lima,5,7,2,1,3,1,3,7,4,6,5,0,5,6
Afogados da Ingazeira,4,5,2,1,2,8,3,1,4,0,4,6,4,8
Afrânio,2,7,1,5,2,2,2,4,3,3,3,6,4,0
Agrestina,3,2,1,5,2,0,2,7,3,6,3,3,4,1
Água Preta,3,2,1,2,1,7,2,2,2,5,3,2,4,2
Águas Belas,2,7,1,2,1,5,2,0,2,4,2,6,3,0
Alagoinha,3,5,1,5,2,2,2,5,3,3,3,5,3,5
Aliança,3,5,1,7,2,1,2,8,3,6,4,0,3,9
Altinho,3,1,1,5,2,6,3,0,3,2,3,4,3,5
Amaraji,3,3,1,5,2,3,2,8,3,0,3,7,4,1
Angelim,3,3,1,7,2,0,2,9,3,3,3,2,3,9
Araçoiaba,3,4,1,6,2,2,2,9,3,3,3,8,4,3
Araripina,3,5,1,2,1,8,2,2,2,9,3,3,3,7
Arcoverde,5,2,2,0,2,3,3,0,3,8,4,6,4,8
Barra de Guabiraba,2,8,1,4,1,9,2,2,2,7,3,6,4,0
Barreiros,4,2,1,9,2,1,2,8,3,3,4,1,3,8
Belém de Maria,3,2,1,8,2,5,2,7,3,0,4,2,4,9
Belém de São Francisco,4,1,1,3,2,2,2,3,3,4,4,0,4,0
Belo Jardim,3,9,1,5,2,2,2,7,3,3,3,9,4,3
Betânia,3,1,1,6,2,4,2,9,3,2,3,3,4,4
Bezerros,3,6,1,7,2,4,3,0,3,6,3,9,4,6
Bodocó,3,1,1,2,2,0,2,4,3,1,3,1,3,6
Bom Conselho,3,4,1,5,1,9,2,3,2,8,3,2,3,6
Bom Jardim,3,5,1,9,2,3,3,1,3,5,4,0,5,1
Bonito,3,2,1,2,1,6,2,0,3,0,3,4,3,4
Brejão,3,0,1,3,1,9,2,7,2,3,3,0,4,1
Brejinho,3,1,1,4,2,1,2,7,3,3,3,6,4,8
Brejo da Madre de Deus,3,0,1,7,1,7,2,6,2,6,3,4,3,2
Buenos Aires,3,6,1,8,2,2,2,7,3,9,4,0,4,5
Buíque,2,5,1,2,1,5,1,9,2,4,2,8,3,2
