municipio;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_total;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_trabalhadores_domesticos_total;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_trabalhadores_domesticos_com_carteira_assinada;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_trabalhadores_domesticos_sem_carteira_assinada;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_demais_empregados_total;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_demais_empregados_com_carteira_assinada;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_demais_empregados_militares_e_funcionarios_publicos;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_demais_empregados_outros_sem_carteira_assinada;codigo_unidade_geografica
Abreu e Lima;  18 923;  1 797;   464;  1 333;  17 126;  11 436;  1 072;  4 617;2600054
Afogados da Ingazeira;  5 557;   637;   66;   571;  4 920;  1 560;  1 012;  2 347;2600104
Afrânio;  1 505;   162;   2;   160;  1 343;   193;   46;  1 104;2600203
Agrestina;  3 087;   322;   50;   272;  2 765;   744;   199;  1 822;2600302
Água Preta;  3 793;   284;   58;   226;  3 510;  1 898;   393;  1 219;2600401
Águas Belas;  4 291;   533;   7;   527;  3 757;   779;   416;  2 562;2600500
Alagoinha;  2 415;   171;   4;   167;  2 244;   345;   287;  1 611;2600609
Aliança;  6 605;  1 186;   343;   843;  5 419;  3 478;   446;  1 495;2600708
Altinho;  2 561;   268;   45;   222;  2 293;   530;   272;  1 492;2600807
Amaraji;  4 067;   277;   40;   236;  3 790;  1 176;   499;  2 116;2600906
Angelim;  1 320;   122;   6;   115;  1 198;   340;   197;   660;2601003
Araçoiaba;  2 731;   386;   138;   248;  2 345;  1 165;   153;  1 027;2601052
Araripina;  11 031;  1 097;   28;  1 070;  9 934;  2 998;  1 041;  5 896;2601102
Arcoverde;  12 392;  1 359;   186;  1 172;  11 033;  4 185;  1 839;  5 010;2601201
Barra de Guabiraba;  1 975;   191;   25;   166;  1 785;   282;   325;  1 177;2601300
Barreiros;  6 740;   585;   110;   475;  6 154;  3 015;   586;  2 553;2601409
Belém de Maria;  1 079;   44;-;   44;  1 035;   312;   160;   563;2601508
Belém de São Francisco;  3 157;   295;   20;   275;  2 862;   493;   601;  1 767;2601607
Belo Jardim;  12 680;  1 297;   63;  1 234;  11 383;  5 083;   819;  5 481;2601706
Betânia;  1 255;   112;   4;   108;  1 143;   146;   389;   608;2601805
Bezerros;  9 384;   893;   128;   765;  8 491;  2 288;   822;  5 381;2601904
Bodocó;  3 703;   320;-;   320;  3 383;   598;   532;  2 254;2602001
Bom Conselho;  6 000;   662;   12;   650;  5 337;  1 393;   257;  3 687;2602100
Bom Jardim;  4 159;   380;   52;   328;  3 779;  1 461;   596;  1 722;2602209
Bonito;  5 680;   447;   54;   393;  5 233;  1 257;   899;  3 077;2602308
Brejão;  2 006;   106;   5;   101;  1 900;   160;   212;  1 528;2602407
Brejinho;   687;   103;-;   103;   584;   170;   38;   376;2602506
Brejo da Madre de Deus;  7 356;   518;   44;   474;  6 839;   750;   374;  5 715;2602605
Buenos Aires;  2 377;   406;   151;   255;  1 971;   944;   224;   803;2602704
Buíque;  4 069;   303;   17;   286;  3 767;   697;   603;  2 467;2602803
Cabo de Santo Agostinho;  33 060;  3 313;  1 031;  2 282;  29 747;  19 492;  1 423;  8 833;2602902
Cabrobó;  5 000;   367;   12;   356;  4 633;   574;   441;  3 619;2603009
Cachoeirinha;  2 868;   252;   9;   243;  2 616;   440;   346;  1 830;2603108
Caetés;  1 443;   133;   7;   126;  1 309;   134;   303;   873;2603207
Calçado;   923;   81;   4;   77;   842;   65;   247;   530;2603306
Calumbi;   745;   65;-;   65;   680;   140;   279;   261;2603405
Camaragibe;  31 652;  5 165;  1 913;  3 252;  26 486;  15 739;  2 468;  8 279;2603454
Camocim de São Félix;  2 557;   231;   42;   189;  2 326;   442;   230;  1 654;2603504
Camutanga;  1 382;   130;   16;   114;  1 253;   492;   422;   338;2603603
Canhotinho;  3 223;   368;   14;   355;  2 854;   745;   255;  1 854;2603702
Capoeiras;  2 157;   115;-;   115;  2 041;   138;   424;  1 479;2603801
Carnaíba;  1 877;   180;   17;   163;  1 697;   491;   422;   784;2603900
Carnaubeira da Penha;   598;   25;-;   25;   574;   20;   287;   267;2603926
Carpina;  13 237;  1 707;   375;  1 333;  11 530;  6 347;  1 160;  4 023;2604007
Caruaru;  55 607;  5 079;   907;  4 172;  50 528;  22 277;  3 196;  25 056;2604106
Casinhas;  1 566;   106;   17;   89;  1 459;   648;   80;   732;2604155
Catende;  5 512;   437;   119;   318;  5 075;  2 830;   512;  1 733;2604205
Cedro;  1 325;   213;   13;   200;  1 111;   155;   234;   722;2604304
Chã de Alegria;  1 786;   208;   61;   147;  1 578;   817;   169;   592;2604403
Chã Grande;  3 061;   416;   68;   347;  2 645;   654;   271;  1 719;2604502
Condado;  3 940;   525;   142;   383;  3 415;  1 893;   90;  1 432;2604601
Correntes;  2 421;   178;   17;   161;  2 243;   431;   266;  1 545;2604700
Cortês;  2 291;   233;   35;   199;  2 057;  1 053;   187;   817;2604809
Cumaru;  2 102;   306;   61;   246;  1 796;   766;   173;   857;2604908
Cupira;  2 971;   470;   25;   444;  2 501;   457;   230;  1 814;2605004
Custódia;  4 683;   423;   31;   392;  4 260;   964;   858;  2 438;2605103
Dormentes;  1 358;   121;   4;   117;  1 237;   222;   266;   749;2605152
Escada;  10 520;  1 145;   246;   899;  9 375;  5 940;   655;  2 780;2605202
Exu;  3 744;   292;   8;   284;  3 452;   378;   696;  2 379;2605301
Feira Nova;  3 759;   315;   55;   260;  3 445;   510;   313;  2 621;2605400
Fernando de Noronha;   732;   46;   20;   25;   686;   285;   110;   290;2605459
Ferreiros;  1 882;   185;   14;   170;  1 697;  1 034;   155;   509;2605509
Flores;  1 926;   242;   7;   235;  1 683;   229;   416;  1 039;2605608
Floresta;  4 230;   469;-;   469;  3 760;   722;   945;  2 094;2605707
Frei Miguelinho;  1 499;   137;   12;   125;  1 362;   308;   235;   818;2605806
Gameleira;  4 012;   369;   160;   209;  3 643;  1 817;   309;  1 517;2605905
Garanhuns;  23 492;  2 824;   382;  2 443;  20 668;  9 986;  2 338;  8 344;2606002
Glória do Goitá;  4 702;   415;   72;   343;  4 288;  1 123;   210;  2 955;2606101
Goiana;  14 230;  2 295;   510;  1 785;  11 935;  6 515;   830;  4 590;2606200
Granito;   550;   40;-;   40;   510;   87;   102;   321;2606309
Gravatá;  12 801;  2 393;   419;  1 974;  10 407;  3 679;   903;  5 825;2606408
Iati;  1 801;   263;-;   263;  1 539;   405;   141;   992;2606507
Ibimirim;  2 771;   276;   10;   266;  2 496;   558;   407;  1 530;2606606
Ibirajuba;   582;   66;-;   66;   516;   48;   197;   271;2606705
Igarassu;  15 707;  1 681;   461;  1 220;  14 027;  9 356;   673;  3 997;2606804
Iguaraci;  1 469;   84;-;   84;  1 384;   171;   327;   887;2606903
Ilha de Itamaracá;  3 258;   855;   229;   626;  2 403;   906;   237;  1 260;2607604
Inajá;  1 413;   158;   10;   148;  1 255;   276;   345;   633;2607000
Ingazeira;   945;   74;-;   74;   870;   47;   8;   816;2607109
Ipojuca;  11 746;  1 510;   540;   971;  10 236;  7 036;   475;  2 725;2607208
Ipubi;  3 243;   263;-;   263;  2 980;   467;   336;  2 177;2607307
Itacuruba;   634;   54;-;   54;   580;   66;   327;   188;2607406
Itaíba;  2 622;   230;   16;   214;  2 392;   219;   350;  1 823;2607505
Itambé;  6 515;   838;   96;   743;  5 677;  2 989;   386;  2 302;2607653
Itapetim;  2 137;   314;   19;   295;  1 824;   441;   319;  1 064;2607703
