municipio;pessoas_de_10_anos_ou_mais_ocupadas_com_trabalho_de_ate_14_horas_semanais;pessoas_de_10_anos_ou_mais_ocupadas_com_trabalho_de_15_a_29_horas_semanais;pessoas_de_10_anos_ou_mais_ocupadas_com_trabalho_de_30_a_39_horas_semanais;pessoas_de_10_anos_ou_mais_ocupadas_com_trabalho_de_40_a_44_horas_semanais;pessoas_de_10_anos_ou_mais_ocupadas_com_trabalho_de_45_a_48_horas_semanais;pessoas_de_10_anos_ou_mais_ocupadas_com_trabalho_de_49_ou_mais_horas_semanais;codigo_unidade_geografica
Abreu e Lima;   728;  2 256;  2 465;  6 039;  6 240;  8 343;2600054
Afogados da Ingazeira;   657;  1 724;  1 710;  3 201;  2 225;  2 856;2600104
Afrânio;   224;   997;   762;  2 140;   398;   205;2600203
Agrestina;   464;  1 207;   839;  2 004;  1 256;  1 806;2600302
Água Preta;   128;   660;  1 138;  1 202;   419;  1 495;2600401
Águas Belas;   507;  2 403;  1 701;  3 507;  1 099;  3 598;2600500
Alagoinha;   399;  1 257;   831;   784;   710;  1 225;2600609
Aliança;   620;  1 061;   969;  1 714;  1 640;  2 890;2600708
Altinho;   657;  1 698;   904;  2 383;  1 011;  1 327;2600807
Amaraji;   329;   977;  1 101;  1 537;   640;  1 755;2600906
Angelim;   192;   796;   463;   988;   459;   639;2601003
Araçoiaba;   295;   346;   396;   538;   693;  1 432;2601052
Araripina;   841;  2 996;  3 187;  8 359;  4 531;  4 176;2601102
Arcoverde;   659;  2 716;  2 456;  5 607;  3 241;  6 051;2601201
Barra de Guabiraba;   124;   501;   272;   491;   785;   868;2601300
Barreiros;   310;  1 334;  1 136;  1 671;  2 020;  2 704;2601409
Belém de Maria;   162;   446;   364;   754;   325;   456;2601508
Belém de São Francisco;   408;  1 277;  1 095;  2 336;  1 012;  1 108;2601607
Belo Jardim;  1 130;  3 810;  2 829;  6 503;  3 613;  6 366;2601706
Betânia;   383;  2 051;   646;   708;   339;   227;2601805
Bezerros;   779;  1 986;  2 023;  3 792;  3 069;  5 654;2601904
Bodocó;   398;  2 106;  1 471;  2 657;  1 178;  1 930;2602001
Bom Conselho;   722;  2 985;  1 413;  5 499;  2 232;  2 787;2602100
Bom Jardim;   543;  2 468;  1 652;  3 331;  1 174;  2 674;2602209
Bonito;   454;  1 641;  1 389;  3 182;  1 327;  3 405;2602308
Brejão;   88;   799;   424;  1 596;   240;   348;2602407
Brejinho;   202;   765;   321;   706;   561;   381;2602506
Brejo da Madre de Deus;   553;  1 602;  1 745;  3 444;  3 002;  3 950;2602605
Buenos Aires;   89;   487;   644;   658;   376;  1 198;2602704
