municipio,pessoas_10_anos_ou_mais_total,pessoas_10_anos_ou_mais_homens,pessoas_10_anos_ou_mais_mulheres,pessoas_10_anos_ou_mais_economicamente_ativas_total,pessoas_10_anos_ou_mais_economicamente_ativas_homens,pessoas_10_anos_ou_mais_economicamente_ativas_mulheres,pessoas_10_anos_ou_mais_ocupadas_total,pessoas_10_anos_ou_mais_ocupadas_homens,pessoas_10_anos_ou_mais_ocupadas_mulheres,codigo_unidade_geografica
Abreu e Lima,  72 426,  34 745,  37 681,  35 610,  21 714,  13 896,  26 071,  16 766,  9 306,2600054
Afogados da Ingazeira,  26 208,  12 474,  13 734,  14 494,  8 814,  5 681,  12 373,  7 747,  4 626,2600104
Afrânio,  11 848,  5 947,  5 900,  5 008,  3 444,  1 565,  4 726,  3 295,  1 430,2600203
Agrestina,  15 728,  7 600,  8 128,  8 418,  5 053,  3 365,  7 576,  4 532,  3 044,2600302
Água Preta,  21 824,  11 000,  10 824,  7 643,  5 325,  2 318,  5 043,  3 487,  1 557,2600401
Águas Belas,  27 816,  13 469,  14 347,  14 942,  9 336,  5 606,  12 815,  8 253,  4 562,2600500
Alagoinha,  10 055,  4 963,  5 092,  5 897,  3 525,  2 371,  5 205,  3 175,  2 030,2600609
Aliança,  29 279,  14 583,  14 696,  11 595,  7 702,  3 894,  8 893,  5 880,  3 013,2600708
Altinho,  17 724,  8 737,  8 987,  8 808,  5 517,  3 291,  7 979,  5 093,  2 885,2600807
Amaraji,  16 463,  8 440,  8 023,  7 515,  5 093,  2 422,  6 338,  4 390,  1 949,2600906
Angelim,  7 150,  3 482,  3 668,  3 928,  2 470,  1 459,  3 537,  2 245,  1 293,2601003
Araçoiaba,  11 611,  5 805,  5 806,  5 083,  3 502,  1 581,  3 700,  2 633,  1 066,2601052
Araripina,  53 712,  26 148,  27 564,  26 752,  17 623,  9 130,  24 090,  16 368,  7 721,2601102
Arcoverde,  49 037,  22 752,  26 285,  25 243,  14 674,  10 569,  20 730,  12 490,  8 240,2601201
Barra de Guabiraba,  8 272,  4 166,  4 106,  3 657,  2 545,  1 113,  3 042,  2 131,911,2601300
Barreiros,  30 694,  15 101,  15 593,  13 446,  8 548,  4 899,  9 175,  5 897,  3 278,2601409
Belém de Maria,  8 279,  4 150,  4 129,  3 194,  2 141,  1 054,  2 506,  1 770,737,2601508
Belém de São Francisco,  15 293,  7 332,  7 961,  8 509,  4 775,  3 733,  7 236,  4 231,  3 005,2601607
Belo Jardim,  53 894,  25 744,  28 150,  28 512,  17 181,  11 331,  24 250,  15 126,  9 124,2601706
Betânia,  8 915,  4 434,  4 481,  4 643,  3 060,  1 583,  4 355,  2 939,  1 417,2601805
Bezerros,  46 803,  22 258,  24 545,  21 220,  13 522,  7 697,  17 302,  11 303,  6 000,2601904
Bodocó,  23 875,  11 946,  11 929,  10 681,  7 366,  3 315,  9 740,  6 846,  2 894,2602001
Bom Conselho,  32 715,  15 460,  17 255,  16 970,  10 559,  6 411,  15 638,  9 878,  5 760,2602100
Bom Jardim,  29 635,  14 167,  15 469,  12 880,  8 128,  4 751,  11 843,  7 518,  4 325,2602209
Bonito,  29 274,  14 592,  14 682,  13 456,  9 052,  4 404,  11 398,  7 793,  3 605,2602308
Brejão,  6 761,  3 328,  3 433,  3 693,  2 340,  1 353,  3 496,  2 257,  1 239,2602407
Brejinho,  5 773,  2 836,  2 937,  3 168,  1 990,  1 179,  2 936,  1 866,  1 070,2602506
Brejo da Madre de Deus,  29 010,  14 322,  14 688,  15 639,  9 461,  6 178,  14 295,  8 765,  5 530,2602605
Buenos Aires,  9 641,  4 696,  4 945,  4 227,  2 825,  1 401,  3 453,  2 396,  1 057,2602704
Buíque,  33 719,  16 513,  17 206,  15 950,  10 326,  5 623,  14 425,  9 476,  4 949,2602803
Cabo de Santo Agostinho,  121 971,  59 446,  62 525,  59 876,  37 836,  22 040,  42 782,  28 393,  14 389,2602902
Cabrobó,  20 443,  9 887,  10 556,  11 638,  7 189,  4 448,  10 130,  6 460,  3 669,2603009
Cachoeirinha,  13 688,  6 491,  7 197,  7 078,  4 621,  2 457,  6 441,  4 364,  2 077,2603108
Caetés,  18 276,  8 827,  9 449,  10 742,  6 708,  4 034,  10 424,  6 591,  3 834,2603207
Calçado,  9 045,  4 400,  4 645,  6 420,  3 624,  2 796,  6 195,  3 538,  2 657,2603306
Calumbi,  5 555,  2 687,  2 868,  2 939,  1 740,  1 199,  2 826,  1 676,  1 150,2603405
Camaragibe,  104 542,  50 397,  54 145,  52 319,  31 358,  20 961,  40 704,  25 349,  15 355,2603454
Camocim de São Félix,  11 937,  5 764,  6 173,  5 522,  3 664,  1 858,  4 460,  3 046,  1 414,2603504
Camutanga,  6 191,  3 068,  3 123,  2 358,  1 716,642,  1 911,  1 318,593,2603603
Canhotinho,  19 510,  9 730,  9 780,  10 498,  6 464,  4 034,  9 358,  5 863,  3 496,2603702
Capoeiras,  15 035,  7 499,  7 536,  7 787,  5 167,  2 620,  7 454,  5 005,  2 448,2603801
Carnaíba,  13 877,  6 836,  7 041,  7 173,  4 666,  2 507,  6 645,  4 403,  2 242,2603900
Carnaubeira da Penha,  7 571,  3 885,  3 686,  3 691,  2 468,  1 223,  3 286,  2 256,  1 030,2603926
Carpina,  51 710,  24 539,  27 171,  24 831,  15 419,  9 413,  18 133,  11 823,  6 310,2604007
Caruaru,  204 112,  95 284,  108 828,  113 350,  66 150,  47 200,  99 033,  58 888,  40 145,2604106
Casinhas,  10 284,  4 995,  5 289,  5 141,  3 081,  2 060,  4 813,  2 901,  1 912,2604155
Catende,  24 369,  11 720,  12 649,  9 786,  6 168,  3 618,  7 241,  4 887,  2 354,2604205
Cedro,  7 234,  3 569,  3 665,  3 536,  2 409,  1 127,  3 222,  2 236,985,2604304
Chã de Alegria,  8 558,  4 215,  4 343,  3 450,  2 289,  1 161,  2 696,  1 831,865,2604403
Chã Grande,  14 861,  7 605,  7 256,  7 441,  4 914,  2 527,  6 432,  4 426,  2 006,2604502
Condado,  17 014,  8 472,  8 542,  7 357,  5 045,  2 312,  5 700,  3 864,  1 837,2604601
Correntes,  13 223,  6 412,  6 811,  7 490,  4 539,  2 951,  6 828,  4 319,  2 509,2604700
Cortês,  9 691,  4 789,  4 902,  4 083,  2 763,  1 320,  3 167,  2 238,928,2604809
Cumaru,  22 183,  11 299,  10 884,  8 984,  5 944,  3 040,  7 237,  4 869,  2 368,2604908
Cupira,  17 665,  8 296,  9 369,  8 900,  5 229,  3 671,  7 899,  4 691,  3 208,2605004
Custódia,  24 388,  11 996,  12 392,  11 931,  7 720,  4 211,  9 538,  6 285,  3 252,2605103
Dormentes,  11 117,  5 689,  5 428,  7 326,  4 463,  2 864,  7 149,  4 378,  2 771,2605152
Escada,  44 990,  21 989,  23 001,  18 967,  12 316,  6 651,  13 834,  9 388,  4 446,2605202
Exu,  24 689,  12 147,  12 542,  11 886,  8 115,  3 771,  10 752,  7 514,  3 238,2605301
Feira Nova,  14 912,  7 242,  7 670,  8 218,  4 995,  3 223,  7 341,  4 498,  2 843,2605400
Fernando de Noronha,  1 655,878,777,  1 175,639,536,  1 158,633,525,2605459
Ferreiros,  8 567,  4 278,  4 289,  3 810,  2 606,  1 204,  3 037,  2 063,975,2605509
Flores,  16 683,  8 172,  8 511,  8 537,  5 621,  2 916,  7 923,  5 339,  2 585,2605608
Floresta,  18 830,  9 084,  9 746,  10 011,  5 990,  4 020,  8 016,  5 037,  2 979,2605707
Frei Miguelinho,  10 678,  5 150,  5 528,  4 423,  2 864,  1 559,  4 115,  2 676,  1 439,2605806
Gameleira,  18 341,  9 212,  9 129,  7 086,  4 826,  2 260,  5 433,  3 868,  1 565,2605905
Garanhuns,  93 618,  43 462,  50 156,  49 757,  29 241,  20 516,  41 270,  24 641,  16 628,2606002
Glória do Goitá,  21 438,  10 509,  10 929,  12 174,  7 558,  4 616,  10 838,  6 922,  3 916,2606101
Goiana,  56 717,  27 711,  29 006,  26 741,  17 212,  9 529,  20 977,  13 652,  7 326,2606200
Granito,  4 716,  2 330,  2 386,  1 395,890,504,  1 198,791,407,2606309
Gravatá,  54 078,  25 917,  28 161,  27 773,  17 695,  10 078,  22 674,  14 996,  7 678,2606408
Iati,  13 298,  6 619,  6 679,  8 169,  5 031,  3 137,  7 565,  4 857,  2 708,2606507
Ibimirim,  18 236,  8 928,  9 308,  8 143,  5 032,  3 111,  6 666,  4 305,  2 361,2606606
Ibirajuba,  5 889,  2 973,  2 916,  3 070,  1 865,  1 205,  2 630,  1 656,974,2606705
Igarassu,  65 479,  31 700,  33 779,  30 167,  19 354,  10 813,  21 064,  14 241,  6 823,2606804
Iguaraci,  9 349,  4 601,  4 748,  4 768,  3 276,  1 492,  4 305,  3 072,  1 233,2606903
Ilha de Itamaracá,  12 852,  7 108,  5 744,  5 570,  3 642,  1 928,  4 532,  3 030,  1 503,2607604
Inajá,  9 811,  4 848,  4 963,  4 493,  2 888,  1 605,  4 166,  2 672,  1 494,2607000
Ingazeira,  3 589,  1 800,  1 789,  2 234,  1 441,793,  2 105,  1 397,708,2607109
Ipojuca,  45 450,  22 479,  22 971,  20 695,  13 773,  6 921,  15 426,  10 758,  4 668,2607208
Ipubi,  17 359,  8 482,  8 877,  8 121,  5 358,  2 764,  6 912,  4 712,  2 200,2607307
Itacuruba,  2 851,  1 354,  1 497,  1 468,814,654,  1 051,595,456,2607406
Itaíba,  20 085,  10 033,  10 052,  10 746,  7 404,  3 342,  10 210,  7 147,  3 063,2607505
Itambé,  27 087,  13 466,  13 621,  10 796,  7 551,  3 245,  8 708,  6 143,  2 565,2607653
Itapetim,  12 219,  6 030,  6 189,  6 493,  4 171,  2 321,  6 123,  3 919,  2 205,2607703
Itapissuma,  15 597,  7 530,  8 067,  7 767,  4 693,  3 074,  6 238,  3 998,  2 240,2607752
Itaquitinga,  11 659,  5 844,  5 815,  4 818,  3 418,  1 401,  3 858,  2 678,  1 180,2607802
Jaboatão dos Guararapes,  470 423,  221 775,  248 648,  247 319,  145 115,  102 205,  185 262,  115 112,  70 150,2607901
Jaqueira,  8 745,  4 364,  4 381,  3 452,  2 284,  1 167,  2 212,  1 503,709,2607950
Jataúba,  11 102,  5 479,  5 623,  7 154,  3 950,  3 204,  6 879,  3 770,  3 109,2608008
Jatobá,  10 435,  5 119,  5 316,  4 438,  2 832,  1 606,  3 298,  2 158,  1 140,2608057
João Alfredo,  21 752,  10 410,  11 342,  10 131,  6 138,  3 993,  9 292,  5 658,  3 634,2608107
Joaquim Nabuco,  12 086,  6 058,  6 028,  4 082,  3 039,  1 043,  3 415,  2 573,842,2608206
Jucati,  7 491,  3 667,  3 824,  4 204,  2 607,  1 597,  4 078,  2 554,  1 524,2608255
Jupi,  9 484,  4 538,  4 946,  6 017,  3 468,  2 549,  5 729,  3 346,  2 383,2608305
Jurema,  10 487,  5 174,  5 313,  5 850,  3 490,  2 359,  5 595,  3 345,  2 250,2608404
Lagoa do Carro,  10 435,  5 185,  5 250,  5 076,  3 339,  1 737,  4 375,  2 908,  1 467,2608453
Lagoa do Itaenga,  15 601,  7 631,  7 970,  6 939,  4 506,  2 432,  5 897,  3 899,  1 999,2608503
Lagoa do Ouro,  8 712,  4 477,  4 235,  5 798,  3 448,  2 350,  5 461,  3 376,  2 084,2608602
Lagoa dos Gatos,  12 281,  6 104,  6 177,  6 488,  4 201,  2 286,  6 000,  3 972,  2 029,2608701
Lagoa Grande,  14 253,  7 220,  7 033,  7 485,  4 728,  2 756,  6 616,  4 384,  2 232,2608750
Lajedo,  25 783,  12 203,  13 580,  14 845,  8 706,  6 139,  13 034,  7 854,  5 180,2608800
Limoeiro,  45 664,  21 414,  24 250,  22 474,  13 439,  9 034,  18 425,  11 119,  7 306,2608909
Macaparana,  17 524,  8 466,  9 058,  7 858,  4 982,  2 876,  6 326,  3 983,  2 343,2609006
Machados,  7 680,  3 662,  4 018,  3 944,  2 457,  1 487,  3 501,  2 252,  1 249,2609105
Manari,  9 201,  4 532,  4 669,  6 657,  3 821,  2 836,  6 540,  3 769,  2 771,2609154
Maraial,  10 662,  5 579,  5 084,  4 016,  3 024,992,  3 240,  2 532,707,2609204
Mirandiba,  10 011,  4 933,  5 078,  4 801,  3 030,  1 770,  4 355,  2 837,  1 518,2609303
