municipio,valor_do_rendimento_nominal_mediano_mensal_de_pessoas_de_10_anos_ou_mais_total,valor_do_rendimento_nominal_mediano_mensal_de_pessoas_de_10_anos_ou_mais_empregadas_total,valor_do_rendimento_nominal_mediano_mensal_de_pessoas_de_10_anos_ou_mais_empregadas_com_carteira_assinada,valor_do_rendimento_nominal_mediano_mensal_de_pessoas_de_10_anos_ou_mais_empregadas_militares_e_funcionarios_publicos_estatuarios,valor_do_rendimento_nominal_mediano_mensal_de_pessoas_de_10_anos_ou_mais_empregadas_outros_sem_carteira_assinada,valor_do_rendimento_nominal_mediano_mensal_de_pessoas_de_10_anos_ou_mais_empregadores,valor_do_rendimento_nominal_mediano_mensal_de_pessoas_de_10_anos_ou_mais_conta_propria,codigo_unidade_geografica
Abreu e Lima,224,0,226,0,260,0,500,0
Afogados da Ingazeira,151,0,151,0,151,0,236,0
Afrânio,150,0,150,0,186,0,200,0
Agrestina,150,0,150,0,180,0,170,0
Água Preta,151,0,151,0,151,0,160,0
Águas Belas,100,0,120,0,200,0,170,0
Alagoinha,100,0,80,0,202,0,193,0
Aliança,151,0,151,0,170,0,158,0
Altinho,120,0,131,0,200,0,200,0
Amaraji,150,0,150,0,177,0,166,0
Angelim,140,0,140,0,189,0,151,0
Araçoiaba,151,0,151,0,180,0,210,0
Araripina,151,0,151,0,220,0,260,0
Arcoverde,190,0,168,0,230,0,400,0
Barra de Guabiraba,150,0,140,0,200,0,100,0
Barreiros,151,0,151,0,176,0,225,0
Belém de Maria,150,0,151,0,170,0,151,0
Belém de São Francisco,151,0,151,0,210,0,200,0
Belo Jardim,151,0,151,0,240,0,227,0
Betânia,100,0,136,0,225,0,200,0
Bezerros,151,0,151,0,200,0,209,0
Bodocó,120,0,120,0,200,0,160,0
Bom Conselho,120,0,120,0,208,0,220,0
Bom Jardim,151,0,160,0,230,0,194,0
Bonito,150,0,150,0,170,0,151,0
Brejão,100,0,100,0,200,0,180,0
Brejinho,100,0,150,0,310,0,100,0
Brejo da Madre de Deus,151,0,151,0,226,0,184,0
Buenos Aires,151,0,151,0,151,0,151,0
Buíque,120,0,136,0,151,0,178,0
Cabo de Santo Agostinho,200,0,210,0,250,0,283,0
Cabrobó,150,0,130,0,200,0,200,0
Cachoeirinha,150,0,140,0,230,0,150,0
Caetés,100,0,150,0,180,0,182,0
Calçado,120,0,150,0,250,0,180,0
Calumbi,120,0,150,0,300,0,151,0
Camaragibe,220,0,220,0,251,0,500,0
Camocim de São Félix,150,0,150,0,200,0,255,0
Camutanga,151,0,151,0,200,0,151,0
Canhotinho,140,0,150,0,200,0,150,0
Capoeiras,120,0,120,0,164,0,255,0
Carnaíba,144,0,151,0,218,0,151,0
Carnaubeira da Penha,100,0,100,0,100,0,151,0
Carpina,200,0,180,0,220,0,304,0
Caruaru,222,0,210,0,250,0,360,0
Casinhas,150,0,151,0,220,0,168,0
Catende,151,0,151,0,168,0,230,0
Cedro,120,0,100,0,295,0,151,0
Chã de Alegria,151,0,151,0,170,0,151,0
Chã Grande,151,0,151,0,155,0,170,0
Condado,151,0,151,0,180,0,151,0
Correntes,141,0,125,0,151,0,151,0
Cortês,151,0,151,0,155,0,180,0
Cumaru,150,0,151,0,200,0,172,0
Cupira,151,0,150,0,220,0,151,0
Custódia,151,0,151,0,250,0,220,0
Dormentes,120,0,151,0,151,0,151,0
Escada,165,0,160,0,180,0,260,0
Exu,110,0,150,0,280,0,170,0
Feira Nova,130,0,120,0,205,0,180,0
Fernando de Noronha,400,0,360,0,350,0, 1 300,0
Ferreiros,151,0,151,0,160,0,200,0
Flores,80,0,130,0,250,0,151,0
Floresta,180,0,168,0,302,0,350,0
Frei Miguelinho,150,0,150,0,180,0,150,0
Gameleira,151,0,151,0,151,0,198,0
Garanhuns,200,0,200,0,243,0,529,0
Glória do Goitá,150,0,150,0,200,0,200,0
Goiana,160,0,160,0,224,0,200,0
Granito,100,0,110,0,280,0,160,0
Gravatá,180,0,160,0,220,0,237,0
Iati,100,0,114,0,250,0,80,0
Ibimirim,122,0,130,0,250,0,151,0
Ibirajuba,130,0,130,0,250,0,151,0
Igarassu,220,0,220,0,271,0,250,0
Iguaraci,120,0,130,0,151,0,150,0
Ilha de Itamaracá,151,0,151,0,200,0,300,0
Inajá,120,0,130,0,200,0,158,0
Ingazeira,134,0,115,0,180,0, 1 200,0
Ipojuca,190,0,180,0,186,0,270,0
Ipubi,130,0,140,0,220,0,225,0
Itacuruba,151,0,151,0,350,0,151,0
Itaíba,120,0,120,0,300,0,250,0
Itambé,151,0,151,0,165,0,151,0
Itapetim,151,0,151,0,253,0,219,0
Itapissuma,180,0,200,0,280,0,250,0
Itaquitinga,151,0,151,0,177,0,176,0
Jaboatão dos Guararapes,251,0,250,0,300,0,600,0
Jaqueira,151,0,151,0,151,0,151,0
Jataúba,80,0,100,0,240,0,151,0
Jatobá,200,0,210,0,400,0,230,0
João Alfredo,151,0,151,0,200,0,225,0
Joaquim Nabuco,151,0,151,0,180,0,151,0
Jucati,100,0,100,0,200,0,151,0
Jupi,130,0,136,0,223,0,151,0
Jurema,100,0,135,0,240,0,151,0
Lagoa do Carro,160,0,160,0,200,0,156,0
Lagoa do Itaenga,151,0,151,0,200,0,181,0
Lagoa do Ouro,100,0,100,0,300,0,151,0
Lagoa dos Gatos,120,0,120,0,186,0,246,0
Lagoa Grande,151,0,151,0,160,0,200,0
Lajedo,151,0,150,0,200,0,300,0
Limoeiro,151,0,160,0,200,0,420,0
Macaparana,150,0,140,0,151,0,220,0
Machados,129,0,120,0,151,0,166,0
Manari,100,0,130,0,120,0,150,0
Maraial,151,0,151,0,156,0,151,0
Mirandiba,100,0,120,0,190,0,165,0
Moreilândia,100,0,100,0,145,0,192,0
Moreno,175,0,175,0,220,0,200,0
Nazaré da Mata,180,0,170,0,195,0,500,0
Olinda,270,0,251,0,300,0,600,0
Orobó,151,0,150,0,200,0,151,0
Orocó,151,0,150,0,170,0,151,0
Ouricuri,150,0,151,0,200,0,210,0
Palmares,196,0,166,0,210,0,420,0
Palmeirina,100,0,85,0,180,0,126,0
Panelas,120,0,150,0,210,0,151,0
Paranatama,100,0,150,0,245,0,151,0
Parnamirim,120,0,120,0,270,0,225,0
Passira,151,0,151,0,206,0,200,0
Paudalho,160,0,160,0,180,0,430,0
Paulista,300,0,284,0,302,0,600,0
Pedra,120,0,100,0,260,0,151,0
Pesqueira,151,0,151,0,215,0,200,0
Petrolândia,160,0,151,0,255,0,195,0
Petrolina,200,0,200,0,240,0,450,0
Poção,60,0,100,0,213,0,166,0
Pombos,151,0,151,0,225,0,151,0
Primavera,151,0,151,0,155,0,380,0
Quipapá,151,0,151,0,160,0,167,0
Quixaba,161,0,175,0,250,0,180,0
Recife,300,0,280,0,300,0,800,0
Riacho das Almas,151,0,151,0,180,0,215,0
Ribeirão,163,0,151,0,180,0,300,0
Rio Formoso,151,0,151,0,151,0,170,0
Sairé,140,0,140,0,200,0,140,0
Salgadinho,151,0,151,0,203,0,151,0
Salgueiro,151,0,151,0,250,0,277,0
Saloá,120,0,120,0,400,0,151,0
Sanharó,140,0,140,0,170,0,200,0
Santa Cruz,122,0,122,0,200,0,150,0
Santa Cruz da Baixa Verde,120,0,146,0,171,0,151,0
Santa Cruz do Capibaribe,200,0,200,0,250,0,250,0
Santa Filomena,100,0,144,0,239,0,151,0
Santa Maria da Boa Vista,151,0,151,0,180,0,151,0
Santa Maria do Cambucá,151,0,150,0,200,0,151,0
Santa Terezinha,140,0,130,0,300,0,170,0
São Benedito do Sul,130,0,125,0,151,0,151,0
São Bento do Una,151,0,151,0,185,0,151,0
São Caitano,151,0,160,0,210,0,170,0
São João,100,0,100,0,200,0,200,0
São Joaquim do Monte,145,0,140,0,200,0,151,0
São José da Coroa Grande,151,0,151,0,160,0,180,0
São José do Belmonte,120,0,150,0,300,0,200,0
São José do Egito,151,0,151,0,200,0,152,0
São Lourenço da Mata,200,0,200,0,245,0,215,0
São Vicente Ferrer,140,0,132,0,160,0,151,0
Serra Talhada,151,0,151,0,200,0,300,0
Serrita,120,0,114,0,151,0,190,0
Sertânia,151,0,151,0,200,0,240,0
Sirinhaém,151,0,151,0,151,0,154,0
Solidão,140,0,133,0,200,0,150,0
Surubim,160,0,151,0,210,0,200,0
Tabira,150,0,140,0,151,0,185,0
Tacaimbó,151,0,160,0,220,0,200,0
Tacaratu,120,0,120,0,250,0,151,0
Tamandaré,160,0,151,0,175,0,490,0
Taquaritinga do Norte,200,0,200,0,240,0,280,0
Terezinha,100,0,100,0,240,0,151,0
Terra Nova,120,0,130,0,210,0,160,0
Timbaúba,151,0,151,0,168,0,264,0
Toritama,250,0,240,0,250,0,200,0
Tracunhaém,151,0,151,0,151,0,160,0
Trindade,150,0,151,0,220,0,185,0
Triunfo,150,0,150,0,250,0,230,0
Tupanatinga,120,0,150,0,160,0,197,0
Tuparetama,151,0,151,0,280,0,230,0
Venturosa,140,0,120,0,245,0,155,0
Verdejante,115,0,120,0,400,0,151,0
Vertente do Lério,151,0,151,0,186,0,194,0
Vertentes,160,0,156,0,225,0,210,0
Vicência,151,0,148,0,151,0,200,0
Vitória de Santo Antão,180,0,167,0,225,0,348,0
Xexéu,151,0,151,0,160,0,151,0
