municipio,pessoas_de_10_anos_ou_mais_de_idade_total,pessoas_de_10_anos_ou_mais_de_idade_alfabetizadas,pessoas_de_10_anos_ou_mais_de_idade_taxa_de_alfabetizacao_(%),pessoas_de_10_anos_ou_mais_de_idade_10_a_14_anos_total,pessoas_de_10_anos_ou_mais_de_idade_10_a_14_anos_alfabetizadas,pessoas_de_10_anos_ou_mais_de_idade_10_a_14_anos_taxa_de_alfabetizacao_(%),pessoas_de_10_anos_ou_mais_de_idade_15_a_19_anos_total,pessoas_de_10_anos_ou_mais_de_idade_15_a_19_anos_alfabetizadas,pessoas_de_10_anos_ou_mais_de_idade_15_a_19_anos_taxa_de_alfabetizacao_(%),pessoas_de_10_anos_ou_mais_de_idade_20_anos_ou_mais_total,pessoas_de_10_anos_ou_mais_de_idade_20_anos_ou_mais_alfabetizadas,pessoas_de_10_anos_ou_mais_de_idade_20_anos_ou_mais_taxa_de_alfabetizacao_(%),codigo
Abreu e Lima,72426.0,63709.0,87.96426697594787,8979.0,8513.0,94.8101124846865,9853.0,9478.0,96.19405257282047,53594.0,45718.0,85.30432511101989,2600054.0
Afogados da Ingazeira,26208.0,19629.0,74.89697802197803,3807.0,3424.0,89.93958497504597,3758.0,3553.0,94.54497072911123,18643.0,12652.0,67.86461406426004,2600104.0
Afranio,11848.0,8158.0,68.85550303848751,1824.0,1683.0,92.26973684210526,1762.0,1596.0,90.5788876276958,8262.0,4879.0,59.053497942386834,2600203.0
Agrestina,15728.0,9599.0,61.03128179043744,2263.0,1811.0,80.02651347768449,2243.0,1832.0,81.67632634864022,11222.0,5956.0,53.07431830333273,2600302.0
Agua Preta,21824.0,14347.0,65.73955278592375,3784.0,3114.0,82.2938689217759,3633.0,3090.0,85.05367464905036,14407.0,8143.0,56.52113555910321,2600401.0
Aguas Belas,27816.0,14636.0,52.61719873454127,4777.0,2895.0,60.60288884236969,4035.0,2856.0,70.78066914498142,19004.0,8885.0,46.75331509155967,2600500.0
Alagoinha,10055.0,6953.0,69.14967677772252,1485.0,1230.0,82.82828282828282,1322.0,1127.0,85.24962178517399,7248.0,4595.0,63.39679911699779,2600609.0
Alianca,29279.0,19535.0,66.72017486936029,4337.0,3528.0,81.34655291676273,4871.0,4173.0,85.67029357421474,20071.0,11835.0,58.965671864879674,2600708.0
Altinho,17724.0,10856.0,61.25028210336267,2423.0,2047.0,84.48204704911268,2402.0,2037.0,84.80432972522898,12899.0,6772.0,52.50019381347391,2600807.0
Amaraji,16463.0,11363.0,69.02144202150276,2732.0,2408.0,88.14055636896046,2670.0,2238.0,83.82022471910112,11061.0,6717.0,60.726878220775696,2600906.0
Angelim,7150.0,4822.0,67.44055944055944,1032.0,881.0,85.36821705426357,1064.0,947.0,89.00375939849624,5054.0,2995.0,59.25999208547685,2601003.0
Aracoiaba,11611.0,7478.0,64.40444406166567,1882.0,1426.0,75.77045696068014,1774.0,1503.0,84.7237880496054,7955.0,4549.0,57.18416090509114,2601052.0
Araripina,53712.0,37686.0,70.16309204647007,8996.0,7152.0,79.50200088928413,7851.0,6636.0,84.52426442491402,36865.0,23898.0,64.82571544825716,2601102.0
Arcoverde,49037.0,38543.0,78.59983277932989,6804.0,5663.0,83.23045267489711,6712.0,6074.0,90.49463647199046,35521.0,26807.0,75.46803299456658,2601201.0
