municipio,pessoas_de_10_anos_ou_mais_de_idade_total,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_sem_instrucao_e_menos_de_1_ano,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_1_a_3_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_4_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_5_a_7_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_8_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_9_e_10_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_11_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_12_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_13_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_14_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_15_anos_ou_mais,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_nao_determinados,codigo
Abreu e Lima,72426.0,6477.0,12648.0,10390.0,19120.0,6733.0,6120.0,9382.0,152.0,85.0,154.0,662.0,504.0,2600054.0
Afogados da Ingazeira,26208.0,5516.0,6055.0,3529.0,4674.0,1573.0,1247.0,2446.0,110.0,47.0,74.0,641.0,295.0,2600104.0
Afranio,11848.0,3478.0,3809.0,1902.0,1461.0,297.0,236.0,333.0,14.0,0.0,5.0,29.0,284.0,2600203.0
Agrestina,15728.0,3899.0,5186.0,2278.0,2272.0,503.0,354.0,769.0,0.0,24.0,8.0,127.0,309.0,2600302.0
Agua Preta,21824.0,6764.0,6517.0,2552.0,2675.0,776.0,759.0,1093.0,48.0,74.0,45.0,138.0,384.0,2600401.0
Aguas Belas,27816.0,9840.0,9051.0,2645.0,2795.0,814.0,886.0,1006.0,56.0,43.0,34.0,174.0,471.0,2600500.0
Alagoinha,10055.0,2405.0,3143.0,1414.0,1517.0,414.0,263.0,564.0,20.0,14.0,21.0,128.0,152.0,2600609.0
Alianca,29279.0,6275.0,9449.0,4141.0,5415.0,880.0,645.0,1506.0,58.0,40.0,70.0,245.0,554.0,2600708.0
Altinho,17724.0,5463.0,5310.0,2086.0,2230.0,558.0,534.0,1018.0,11.0,53.0,7.0,85.0,369.0,2600807.0
Amaraji,16463.0,3972.0,5588.0,2452.0,2078.0,720.0,497.0,860.0,23.0,45.0,16.0,67.0,144.0,2600906.0
Angelim,7150.0,1839.0,2197.0,968.0,1078.0,229.0,230.0,314.0,20.0,10.0,9.0,52.0,204.0,2601003.0
Aracoiaba,11611.0,2785.0,3642.0,1582.0,2092.0,458.0,374.0,505.0,0.0,15.0,28.0,46.0,84.0,2601052.0
Araripina,53712.0,13952.0,16673.0,7707.0,6545.0,2083.0,1828.0,1979.0,244.0,119.0,148.0,1356.0,1080.0,2601102.0
Arcoverde,49037.0,8269.0,10539.0,6532.0,8618.0,3397.0,2755.0,5317.0,315.0,223.0,294.0,2406.0,371.0,2601201.0
Barra de Guabiraba,8272.0,2519.0,2799.0,930.0,1160.0,189.0,168.0,316.0,22.0,5.0,11.0,36.0,117.0,2601300.0
Barreiros,30694.0,6475.0,8250.0,4332.0,4750.0,1316.0,1805.0,2813.0,50.0,97.0,43.0,488.0,277.0,2601409.0
Belem de Maria,8279.0,2339.0,2737.0,952.0,1155.0,351.0,292.0,327.0,5.0,31.0,18.0,35.0,37.0,2601508.0
Belem de Sao Francisco,15293.0,3496.0,4437.0,1980.0,2133.0,619.0,749.0,964.0,31.0,77.0,163.0,441.0,203.0,2601607.0
Belo Jardim,53894.0,12693.0,15945.0,6666.0,8278.0,2443.0,1855.0,3455.0,188.0,223.0,343.0,1219.0,586.0,2601706.0
Betania,8915.0,2226.0,2984.0,1369.0,1140.0,309.0,146.0,336.0,24.0,18.0,12.0,64.0,286.0,2601805.0
Bezerros,46803.0,12054.0,12965.0,6475.0,7967.0,1999.0,1542.0,2475.0,58.0,86.0,53.0,549.0,580.0,2601904.0
