municipio,pessoas_que_frequentavam_creche_ou_escola_total,pessoas_que_frequentavam_creche_ou_escola_nivel_de_ensino_educacao_infantil_creche,pessoas_que_frequentavam_creche_ou_escola_nivel_de_ensino_educacao_infantil_pre-escolar_(1),pessoas_que_frequentavam_creche_ou_escola_nivel_de_ensino_alfabetizacao_de_adultos,pessoas_que_frequentavam_creche_ou_escola_nivel_de_ensino_fundamental,pessoas_que_frequentavam_creche_ou_escola_nivel_de_ensino_medio,pessoas_que_frequentavam_creche_ou_escola_nivel_de_ensino_pre-vestibular,pessoas_que_frequentavam_creche_ou_escola_nivel_de_ensino_superior_graduacao,pessoas_que_frequentavam_creche_ou_escola_nivel_de_ensino_superior_mestrado_ou_doutorado,codigo
Abreu e Lima,28965,367,4301,175,18706,4876,168,357,14,2600054
Afogados da Ingazeira,9594,32,674,68,7422,1151,9,240,0,2600104
Afranio,5124,0,500,223,4033,346,0,22,0,2600203
Agrestina,6347,111,1039,154,4636,371,0,35,0,2600302
Agua Preta,9562,40,1240,150,7155,812,65,99,0,2600401
Aguas Belas,11766,25,1101,372,9189,959,14,106,0,2600500
Alagoinha,3903,110,608,55,2701,380,0,48,0,2600609
Alianca,11820,141,1505,85,8937,948,50,155,0,2600708
Altinho,6805,53,1039,115,4984,530,20,64,0,2600807
Amaraji,6794,121,509,231,5332,556,0,45,0,2600906
Angelim,3065,0,450,104,2171,298,5,36,0,2601003
Aracoiaba,5132,38,572,57,3961,467,0,37,0,2601052
Araripina,21918,107,2817,417,15913,1987,10,648,18,2601102
Arcoverde,19950,356,3007,100,12995,2833,75,584,0,2601201
Barra de Guabiraba,3300,20,430,108,2514,188,0,40,0,2601300
Barreiros,13988,137,2079,131,9584,1826,0,231,0,2601409
Belem de Maria,3441,9,336,12,2664,373,0,47,0,2601508
Belem de Sao Francisco,7326,164,1128,161,4898,790,14,171,0,2601607
Belo Jardim,21148,202,3499,223,14471,2119,39,576,21,2601706
Betania,4099,162,443,273,2878,304,0,40,0,2601805
Bezerros,16190,505,2058,219,11470,1564,81,295,0,2601904
Bodoco,10625,392,773,161,8414,757,0,128,0,2602001
Bom Conselho,12681,89,1444,211,9776,1049,0,112,0,2602100
Bom Jardim,11320,100,1161,228,8325,1429,0,77,0,2602209
Bonito,12102,42,2076,308,8573,990,10,103,0,2602308
Brejao,2810,188,319,5,2084,177,4,33,0,2602407
Brejinho,2399,15,239,75,1802,224,12,32,0,2602506
Brejo da Madre de Deus,10342,129,1713,186,7534,691,7,82,0,2602605
Buenos Aires,3722,10,261,67,3032,319,11,22,0,2602704
Buique,16090,153,2308,380,12293,827,0,129,0,2602803
