municipio,domicilios_particulares_permanentes_total,domicilios_particulares_permanentes_classes_de_salario_minimo_(%)_ate_1/4,domicilios_particulares_permanentes_classes_de_salario_minimo_(%)_de_1/4_a_1/2,domicilios_particulares_permanentes_classes_de_salario_minimo_(%)_de_1/2_a_1,domicilios_particulares_permanentes_classes_de_salario_minimo_(%)_de_1_a_2,domicilios_particulares_permanentes_classes_de_salario_minimo_(%)_de_2_a_3,domicilios_particulares_permanentes_classes_de_salario_minimo_(%)_mais_de_3
Abreu e Lima,22626.000000040014,16.932904496964657,21.362383337494258,32.933337854136084,19.901897217590523,4.9272538117123155,3.942223282102106
Afogados da Ingazeira,8665.999999989992,26.494172813900903,21.885721512256975,29.97283637471729,11.375981505898205,3.830113755139433,6.441174038087293
Afranio,3370.999999869994,41.98562373285627,21.92488772140326,23.40309948532854,8.71189810861246,2.0464412433301837,1.9280497084694914
Agrestina,5253.827224320002,28.27293073902435,22.24474303342291,31.149779642245832,11.883128421125514,2.674976038980608,3.774442125200762
Agua Preta,6169.00000001,41.96043847634628,26.469399155249697,19.65252068062952,9.070867678053055,1.0321647581438935,1.8146092515775414
Aguas Belas,8731.999999989997,45.42612522165079,21.796138713836214,22.453504469104978,5.885177159191349,2.1941393986511617,2.2449150375655584
Alagoinha,3318.999999949999,29.415975255037885,22.866083244695183,30.314805555744424,11.48991963861841,2.6884121630414053,3.224804142862683
Alianca,8159.999999990011,34.174887145507505,31.208494910209755,22.68222747980717,7.879200462387097,2.2076024452232903,1.8475875568650064
Altinho,6104.915053349996,31.143213854330437,25.675518779411544,28.781378725258822,10.275317873846209,1.5187618694075282,2.6058088977455216
Amaraji,5007.000000049997,32.50618824093765,28.634737533566668,25.47442712696752,9.581757555526451,2.6410285655817765,1.1618609774199942
Angelim,2287.0000000599975,34.1770412111716,27.340472952933816,25.75048673216223,8.489149222776856,1.7012068202439576,2.5416430607116345
Aracoiaba,3398.1586784900005,34.14873918529446,28.489405169866565,24.64210755902945,7.661852047053137,2.426518504034085,2.6313775347222386
Araripina,16298.666666479967,33.41756105707457,24.25097655705135,23.14402260773813,11.049682121752065,3.3944202797141125,4.743337376670008
Arcoverde,16023.999999969988,18.970070488615143,20.077213708162912,30.01130569726041,15.483405620410927,6.554921717061701,8.90308276848896
Barra de Guabiraba,2644.9999999600022,32.085136487441694,28.071102507040756,26.152658632531583,9.883785504119217,1.7095754351865329,2.097741433680115
Barreiros,8734.000000049997,32.61305913365804,25.448065443637258,24.6227175032939,10.155097731221927,3.101947326865688,4.059112861323228
Belem de Maria,2666.999999950002,40.20600886352088,25.73217837318581,24.16534351863826,5.302863758629597,3.0707976187302344,1.5228078672951397
Belem de Sao Francisco,4325.000000020003,29.833423766336008,25.0916037124851,22.61677052845031,11.237573818213917,3.7691207102715856,7.451507464242992
Belo Jardim,18318.999999949992,21.527486902837303,26.452350431755157,30.280308448415,13.600585137981339,3.7050257817121715,4.434243297299076
Betania,2651.723165410001,43.86196343954199,22.995013875655467,24.322711202029893,6.962423842288754,0.5681247679438921,1.289762872539976
Bezerros,16291.99999993999,21.601084484059427,25.64699601685116,33.31112434532279,13.15897226189477,2.978753988410186,3.3030689034617136
Bodoco,6802.999999979992,42.250807091554485,24.172859259221475,22.930545589366275,5.101128202866686,1.4900906866132313,4.054569170377939
Bom Conselho,10293.27401174001,36.17880680920962,23.54994663170566,26.52589316310689,8.107390444461027,2.5479185117473233,3.0900444397693914
Bom Jardim,8948.000000040007,34.828554450224246,25.673296113653656,28.392188340060798,7.971548263486934,1.5335549551786598,1.6008578773956141
Bonito,9282.387053999997,31.732192473817538,26.80560754022619,23.86170655904218,10.976759508007483,2.223490822881173,4.400243096025504
Brejao,2117.55309349,35.32834568823208,29.10583944954156,27.723111304022307,5.5224839041587055,1.4452411183495326,0.8749785356958039
Brejinho,1799.0000000099994,44.49183750114237,22.331374470137128,23.179995839226347,7.199468025529746,1.6596294385677626,1.1376947253966778
Brejo da Madre de Deus,9643.154356760006,20.86939875061969,26.542896706156093,33.28893966951449,15.068443492262173,2.044604450324749,2.185716931122703
Buenos Aires,2724.9999998899975,28.523316755279883,33.686086065946995,28.28265785655454,6.270811569427449,1.374494358220623,1.8626333945706035
Buique,9701.000000010008,46.73324854298856,22.66716850342987,20.463160845149503,6.704005331814546,1.5896131864739815,1.8428035901434447
Cabo de Santo Agostinho,37019.000000259926,22.016705925748333,23.4528766434238,26.80332445519956,17.328252252856522,4.975890098644118,5.422950624127894
Cabrobo,6160.814574209993,26.49790684666622,27.20729119436191,27.87294088103924,11.031659348182071,2.415990687710099,4.974211042040598
Cachoeirinha,4673.644728130005,18.172803550042843,21.441750394471246,37.8103427833089,16.794376103423968,3.3718056133259533,2.4089215554269723
Caetes,5439.000000090004,43.82822432010576,26.292875230673573,21.32265821181851,6.435756705537924,1.2877065285685056,0.8327790032956512
Calcado,2853.0000001200015,35.16958503953019,20.98680184279059,28.170973838632836,11.852691052428204,2.4673797065208234,1.3525685200973327
Calumbi,1787.25303203,43.464642720883646,24.485782902991563,22.374332363325237,7.090674668267832,1.3800384762523088,1.2045288682793875
Camaragibe,32286.000000109994,16.306804103890432,21.49826141075495,30.872151189853298,18.71663106340029,5.77362092552081,6.8325313065802025
Camocim de Sao Felix,3965.000000050001,22.98836328445159,26.65374678654915,32.38529600110482,11.89623859657129,1.8496694484003822,4.22668588292274
Camutanga,1829.0000000700002,34.271192637835426,28.919017749576632,23.640969442506904,9.649393149986082,1.7050574296777723,1.8143695904171646
Canhotinho,6056.000000020001,35.52458554875981,25.91611977947187,23.653883241995853,8.71607912331996,3.1406211669315036,3.0487111395209743
Capoeiras,4422.999999879998,30.11635444259871,31.144205207944236,26.530642184757784,9.465698861889196,1.8330687701153,0.9100305326948239
