municipio,"domicilios_particulares_permanentes,_por_situacao_do_domicilio_urbana_forma_de_abastecimento_de_agua_(%)_rede_geral_total","domicilios_particulares_permanentes,_por_situacao_do_domicilio_urbana_forma_de_abastecimento_de_agua_(%)_rede_geral_canalizada_em_pelo_menos_um_comodo","domicilios_particulares_permanentes,_por_situacao_do_domicilio_urbana_forma_de_abastecimento_de_agua_(%)_rede_geral_canalizada_so_na_propriedade_ou_terreno","domicilios_particulares_permanentes,_por_situacao_do_domicilio_urbana_forma_de_abastecimento_de_agua_(%)_poco_ou_nascente_total","domicilios_particulares_permanentes,_por_situacao_do_domicilio_urbana_forma_de_abastecimento_de_agua_(%)_poco_ou_nascente_canalizada_em_pelo_menos_um_comodo","domicilios_particulares_permanentes,_por_situacao_do_domicilio_urbana_forma_de_abastecimento_de_agua_(%)_poco_ou_nascente_canalizada_so_na_propriedade_ou_terreno","domicilios_particulares_permanentes,_por_situacao_do_domicilio_urbana_forma_de_abastecimento_de_agua_(%)_poco_ou_nascente_nao-_canalizada","domicilios_particulares_permanentes,_por_situacao_do_domicilio_urbana_forma_de_abastecimento_de_agua_(%)_outra_forma_(1)"
Abreu e Lima,94.8539778449144,86.1832829808661,8.67069486404834,3.57502517623364,2.55790533736153,0.201409869083585,0.81570996978852,1.57099697885196
Afogados da Ingazeira,95.542911332385,88.6834202623676,6.85949107001739,0.094831673779042,0.031610557926347,0.031610557926347,0.031610557926347,4.36225699383594
Afranio,98.6184909670563,93.0924548352816,5.52603613177471,0.212539851222104,0.106269925611052,0,0.106269925611052,1.16896918172157
Agrestina,93.0619266055046,89.8795871559633,3.18233944954128,0.114678899082569,0,0,0.114678899082569,6.82339449541284
Agua Preta,88.404480775053,83.4392976082349,4.96518316681804,6.75143808658795,2.21011201937632,0.544959128065395,3.99636693914623,4.84408113835907
Aguas Belas,85.4203758654797,74.5994065281899,10.8209693372898,0.178041543026706,0,0.039564787339268,0.138476755687438,14.4015825914936
Alagoinha,57.0217276099629,44.9390567037626,12.0826709062003,5.82935877053524,0.423953365129836,0,5.40540540540541,37.1489136195019
Alianca,89.5101434933202,68.0356259277585,21.4745175655616,1.95447798119743,0.173181593270658,0.074220682830282,1.70707570509649,8.53537852548243
Altinho,95.8346581875994,93.7678855325914,2.06677265500795,0,0,0,0,4.16534181240064
Amaraji,75.254730713246,62.3289665211063,12.9257641921397,1.5429403202329,0.582241630276565,0.029112081513828,0.931586608442504,23.2023289665211
Angelim,93.7086092715232,75.9933774834437,17.7152317880795,0.33112582781457,0.082781456953642,0.082781456953642,0.165562913907285,5.96026490066225
Aracoiaba,63.4514205541915,39.8807435987373,23.5706769554542,18.6951946685374,3.26201332865661,2.42020343739039,13.0129779024904,17.8533847772711
Araripina,77.5490779298037,66.6745984533016,10.8744794765021,4.43783462224866,1.07079119571684,0.368828078524688,2.99821534800714,18.0130874479477
Arcoverde,90.4676630621944,85.8116950203182,4.65596804187616,0.52345202837661,0.385701494593292,0.027550106756664,0.110200427026655,9.00888490942902
Barra de Guabiraba,92.5176056338028,85.1232394366197,7.3943661971831,1.93661971830986,0.264084507042253,0.044014084507042,1.62852112676056,5.54577464788732
Barreiros,91.1610061105585,85.2778172516697,5.88318885888873,4.93107858462413,1.02316327980674,0.071053005542135,3.83686229927526,3.90791530481739
