municipio,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_total,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_por_grupos_de_idade_10_anos,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_por_grupos_de_idade_11_anos,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_por_grupos_de_idade_12_anos,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_por_grupos_de_idade_13_anos,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_por_grupos_de_idade_14_anos,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_por_grupos_de_idade_15_anos
Abreu e Lima,5.667718949121434,2.1272689496987227,3.0650750316361917,3.693190559800622,4.61665860113352,4.971674845247113,5.611185659157646
Afogados da Ingazeira,4.506746403266918,2.0987882964961893,2.8434418850215875,3.112051966459416,4.026766415316395,4.5710730155749335,4.826303741495452
Afranio,2.747761786915649,1.4829261225326846,2.156630007482374,2.3584638907646145,3.332175500123284,3.614526296958361,3.980617878545782
Agrestina,3.2045679990691958,1.477448807140559,2.0393864114036004,2.7365471823442458,3.642985320876476,3.3439568150684758,4.092922559442811
Agua Preta,3.1576338051419666,1.1930244171532898,1.681096989370106,2.2445542467907735,2.5471006239780336,3.199480265753381,4.204735455036717
Aguas Belas,2.66035176204166,1.1816581693445565,1.4619771736441693,1.957012159670397,2.429948923619008,2.5677811716866628,3.0094958513516374
Alagoinha,3.4854687326661065,1.461937182841136,2.218412441999871,2.541496331842777,3.2534239879279707,3.5490791341837964,3.538320189867721
Alianca,3.519178950710394,1.7345957632706626,2.103591926879522,2.76264474649635,3.553233925523418,3.963513100208456,3.9418787186301074
Altinho,3.1181312618950017,1.4607280484658518,2.556825099260704,2.9833833228796887,3.1548257515211695,3.4298004374464077,3.522439859731003
Amaraji,3.2929845095416987,1.4759204233119418,2.303095449858346,2.8086784403830003,2.9636019622409777,3.7152073914793244,4.1302396014102785
Angelim,3.256115726640864,1.6563784855205612,2.0283762077788396,2.8933923665900365,3.349113230450717,3.217431647879992,3.920075871028592
Aracoiaba,3.3776036301459897,1.574681605387022,2.1768027206282334,2.8553204535549104,3.3214009073329387,3.8057053247994905,4.33017158644723
Araripina,3.4720430429860825,1.23177705566667,1.8492657708851967,2.1502589894520616,2.8610481325431447,3.258803702573459,3.658811966429715
Arcoverde,5.24138241482964,2.015509085324398,2.344421430042401,3.0112905305941338,3.7740946974576812,4.558589635058184,4.847228067238228
Barra de Guabiraba,2.7581695660613708,1.3819029578253776,1.8902091993641013,2.1955965068532732,2.704722454136186,3.603495319548889,3.9619737754293958
Barreiros,4.246828850625552,1.86283699881827,2.1198597089457194,2.7519214720983274,3.333817879454127,4.148742835711419,3.7638623462257383
Belem de Maria,3.1574911075040104,1.7563152759999179,2.493147100052408,2.745317866676361,3.0053155284516375,4.172146866212094,4.930812194711029
Belem de Sao Francisco,4.082306085791863,1.3174353666580128,2.1719977081838606,2.325446465469577,3.3734177922128263,4.004392006838756,3.975521042995236
Belo Jardim,3.8581655382871,1.5183297513671037,2.2025700484928925,2.7442539527467797,3.301923556325358,3.8637163346527696,4.288386774886793
Betania,3.0752940589981983,1.5893199938317915,2.4026422586390077,2.8822968335643107,3.2487361164508117,3.322225062434323,4.360825692182199
Bezerros,3.5670844023215125,1.7211457699533022,2.410471822674581,2.955942392849973,3.640559513417106,3.9303128422861584,4.555535674260119
Bodoco,3.071177346156744,1.179848635836125,1.9795757818787463,2.4016958133623993,3.0995310409679973,3.1136135034301513,3.624877702870114
Bom Conselho,3.4123442223011415,1.5064354885895757,1.8593673142295974,2.2748037648714217,2.801003770426241,3.1580748949008184,3.6499313355538865
Bom Jardim,3.5170494765836864,1.9009072050077909,2.3411795091050758,3.056263433430807,3.5107500583897093,3.9905559136896294,5.135345049204261
Bonito,3.1792983102686216,1.248288310484257,1.6252235245364557,2.0260080283881843,2.9909199179620174,3.427164583585133,3.3732489538288544
Brejao,2.9979962445723864,1.2788742739503032,1.9426098880013862,2.715965445560225,2.344126817249173,3.0385950656252927,4.052605443798775
Brejinho,3.0866069989281604,1.3603055550144303,2.0813612563105885,2.720110612343446,3.2670843423708114,3.6452841878152555,4.794519502531234
Brejo da Madre de Deus,2.9535764516209815,1.7053988416611563,1.7377702919124285,2.643476612732255,2.639248863510132,3.4442911196470547,3.188145226752067
Buenos Aires,3.5987658117644536,1.7810750702316702,2.2294207959882946,2.7058977815903713,3.871114978027168,3.956842161842097,4.535403030719353
Buique,2.517955051291663,1.1610467554925676,1.5111963833575934,1.925359181405059,2.3746414758635153,2.8430172970320293,3.2017171265517423
Cabo de Santo Agostinho,5.183186639014516,2.0589094472296243,2.570198306616611,3.221397481385661,4.049277149403423,4.378223696366018,5.110763501827364
Cabrobo,3.881299367289074,1.9108298011437503,2.481063739538666,2.987144598286471,3.074300688789891,4.3374010267724,4.673549653981732
Cachoeirinha,3.4918164715924256,2.2922929183530076,2.376783505526602,3.492887337301499,3.97392319552436,3.9238930043311178,4.909465566353292
Caetes,2.5033657868733554,1.5090199946864118,1.7763418976782335,2.562337659019731,2.761033531523346,3.042679016542194,3.0776715791908256
Calcado,3.385961170373351,1.9864424924187003,2.578151180666469,3.2771179897220475,3.611856319449002,4.43076973353678,4.594003339681637
Calumbi,2.9730965972597514,1.6203521779643906,2.147717581587595,2.3363958372836318,3.039165140429663,3.595554892074453,3.7340914554887807
Camaragibe,5.580751761353842,2.2477093479961003,2.927183282416668,3.2959548662577123,4.051888123184961,4.6412211233382425,5.248396385529692
Camocim de Sao Felix,3.174971640952505,2.051765937818326,2.371093595618552,3.119168183428274,3.2668047412485373,3.6250471700675226,4.151239132627974
Camutanga,3.7890454015926145,1.7573248200733185,2.3974432835163912,2.9152614523520124,3.3881382944781113,4.004754436785717,4.586712821420915
Canhotinho,2.957263409229841,1.3582828954543886,2.1308288524387677,2.0945062884539287,3.073686854522096,3.35932111523806,3.2791200962532376
Capoeiras,3.1205264972798945,1.781428344603243,2.1793509396960262,2.5519319367431383,3.3335591953540447,3.52796027066197,4.098839169361431
Carnaiba,3.7445946431445263,1.972601849652915,2.848908447063257,3.4194053811633194,4.377293249052272,4.085544413839644,4.859906086305121
Carnaubeira da Penha,2.6294528615154804,1.0997539228021633,1.5992435585004972,1.9598648811620318,2.686354408490461,3.3073846266482696,3.6945428336238177
Carpina,5.015543545482599,1.9905682697910743,2.6245418304687065,3.328471627408819,3.7423983300525165,4.377643459957085,4.789710187961515
Caruaru,5.135658197295545,1.9648165337618124,2.7923114040920183,3.2680831114513085,3.9570282318266976,4.49511454685734,5.065410857363485
Casinhas,2.900988706635832,1.399039780544187,2.045369244557799,2.4569181584201383,3.058718461596413,3.590292393984575,4.178645870729329
Catende,4.119876156266378,1.7165117646005636,2.431645233068967,2.9634998055012884,3.3504337620609874,3.9881463245894113,4.24807583875286
Cedro,3.6726300569814136,2.0503687686317775,2.709907965890349,2.651423552318221,3.8340199658906076,4.220171601989603,4.840177343513666
Cha de Alegria,3.6237231770262053,1.8934862001935369,2.5395305316510433,2.9016817799063763,3.7806139631202167,4.06761401330608,4.743607925452054
Cha Grande,3.151434867580485,1.386801953369808,1.848573292760591,2.569815530990316,2.5964744191950127,3.4786632592621096,3.7842092350488845
Condado,4.06974349423381,1.5481054502543679,2.125616516598693,2.7436055824181373,3.495345257266395,4.201801703228949,4.2121499365811275
Correntes,3.2089986332104043,1.2661697368378624,2.2048374056381275,2.6324294782828623,2.757596088542708,3.2363932681919643,3.67834724771542
Cortes,3.132631310966591,1.4437848334736425,1.5167573539273433,2.471682877442585,3.2587560314405164,2.963891694514339,3.6979613313722917
Cumaru,3.1290886205597803,1.6719303137341244,2.323289940905724,2.622239897683332,3.43376930794885,3.9588640236760293,4.145949391121378
Cupira,3.184402855961644,1.6366128811656433,2.131756357971674,2.8997203101798386,3.7522930294985146,3.628689088432889,4.419151192522166
Custodia,3.529958512768983,1.7759388009166577,1.9486328985466148,2.844055497273707,3.295585307130383,3.44044592647574,3.884198249568776
Dormentes,2.989192769478406,1.8226336704667265,1.8908458549887486,3.027885006674015,3.201606916013889,3.8688258439882155,4.517972230745296
Escada,4.108128778729117,1.701576484655748,1.957634678909052,2.9476815881071716,3.4057995752984884,3.8993999958251475,4.072298712332488
