municipio,numero_medio_de_moradores_por_domicilio_particular_permanente_total,numero_medio_de_moradores_por_domicilio_particular_permanente_classes_de_salario_minimo_ate_um_quarto,numero_medio_de_moradores_por_domicilio_particular_permanente_classes_de_salario_minimo_de_um_quarto_a_meio,numero_medio_de_moradores_por_domicilio_particular_permanente_classes_de_salario_minimo_de_meio_a_um,numero_medio_de_moradores_por_domicilio_particular_permanente_classes_de_salario_minimo_de_um_a_dois,numero_medio_de_moradores_por_domicilio_particular_permanente_classes_de_salario_minimo_de_2_a_3,numero_medio_de_moradores_por_domicilio_particular_permanente_classes_de_salario_minimo_mais_de_3
Abreu e Lima,3.87107752142867,4.521774843312,4.14320788991132,3.79749195538499,3.45658199336584,3.47224574502024,2.80727736040834
Afogados da Ingazeira,3.70978536810952,4.84193055367827,3.82734175137573,3.08841839225519,3.15871938875163,2.7988869454605,3.05987825885879
Afranio,4.37110649675713,5.19099580543786,4.52990734293475,3.46043356402709,3.31655662776878,2.63823425911507,2.36942923007139
Agrestina,3.71538673933581,4.64248636531517,4.50243719901966,2.78756187152536,2.84469942022395,2.80349986173317,3.17696179554487
Agua Preta,4.58599448856446,5.39416156168828,4.69166083510928,3.53854122788581,3.27029919755379,3.62784048529809,2.8228590368465
Aguas Belas,4.12402656894655,5.02645930605211,3.95168481832641,2.91486451880599,3.25359135382355,3.22560016187177,2.79044643463238
Alagoinha,3.67038264543041,4.78738334002441,4.105805918152,2.78189580192193,2.80319597948546,3.33974385997418,2.11153285657942
Alianca,4.45502450980938,5.35846685376098,4.52012110409758,3.63180604964082,3.37977210859654,2.97545758983975,3.1042069407448
Altinho,3.55336639583482,4.46544389256207,3.8929009214073,2.64188504528992,2.81843075577978,3.23557852534837,2.45784544159982
Amaraji,4.18813660870593,4.90604224004221,4.36480414122466,3.51155152124089,3.44131402170286,3.1156346565022,3.18009410216114
Angelim,3.86182772180512,4.90258208283756,3.99503185355365,2.86459662255387,2.69383726588506,2.98149928443066,3.02783317756737
Aracoiaba,4.34323449738324,5.06795618126082,4.80521329251527,3.68650753605714,2.96894449183168,2.09806452731172,2.15839284090055
Araripina,4.27458278800708,5.28419762376369,4.41432539098224,3.41077149171122,3.3648891513915,3.45235681926848,3.3695478980065
Arcoverde,3.75149775337697,4.82767726077952,4.25218077209187,3.36514054491794,3.30664996779263,3.0303876882664,2.93629045403887
Barra de Guabiraba,3.99621928172395,5.32845117381081,4.04320294988402,2.87681248603844,3.0027603218907,3.14032357238603,2.32494175680268
Barreiros,4.38058163496462,5.30889955133821,4.79971053618471,3.40285336604032,3.69920956579253,3.03775139303875,2.95608534407837
Belem de Maria,3.82339707543726,4.72631460058037,3.72007114678471,2.85497187433201,2.48183915190501,3.16246372935397,3.10243304514779
Belem de Sao Francisco,4.5643930635627,5.39643793194465,5.34549999937622,3.97985913063923,3.10066311459523,3.64998271240591,3.047061607465
Belo Jardim,3.68246083302495,4.68478161538712,3.96796728967297,3.16041876915292,3.05399434130182,3.08962260132406,3.10103656135324
Betania,4.14372063544615,5.06062325163193,4.25738405745749,2.95362131985478,2.51862965494277,4.58012346111768,1.95901043350449
Bezerros,3.45101890499675,4.21993480226912,3.78565179908006,2.90968476770577,3.03984435869263,3.2660304412291,3.08843869209689
Bodoco,4.56004703808485,5.47711695973359,4.53517327314874,3.59623449300331,3.43198240027418,2.97915961220126,2.60303051586337
Bom Conselho,4.06585892421272,5.20034496953717,4.20080268087647,2.93255575830674,3.25098653677424,2.92071849938483,2.56549929345588
Bom Jardim,4.11075100579298,5.33971398987124,4.11492621744892,3.00291315323322,2.9286655909462,3.27934565074308,3.63713122603182
Bonito,4.13029534073122,5.53113996022074,4.27095850720595,2.8962462637303,2.95316943547633,2.9313006196853,3.40557764413147
Brejao,4.08159777744001,5.15842557563602,4.21850832344544,2.82087638819909,3.14687180793333,3.46362804860907,2.91448652842154
Brejinho,3.92329071704323,4.62514027280059,3.8233547696104,3.27091948030836,2.51701630844154,3.21535507822597,1.6612003314421
Brejo da Madre de Deus,3.8834803026613,5.08678811125891,4.34564756397214,3.26001915652812,3.10927198817252,2.82505413837258,2.60470959286499
Buenos Aires,4.26458715613546,5.1359880096284,4.40222048050713,3.65510721508114,3.17182362082994,2.13589804794313,2.93556956748224
Buique,4.54417070404644,5.61276743118294,4.2456781169587,3.01340279110005,3.29050774791839,3.78708354307502,3.32829192610793
Cabo de Santo Agostinho,4.0548637186025,4.69794947528907,4.45564490715813,3.88195397808374,3.50941425388548,3.35337512762546,2.95189777732161
Cabrobo,4.27492171412694,5.36114560133311,4.53647650150693,3.4981360855872,3.75787138929388,3.23155597289014,3.06410220430337
Cachoeirinha,3.55632508820376,4.98156036711462,3.80496681354582,3.08977128062248,3.06149955058146,2.84923398390984,2.35378895262866
Caetes,4.33535576385545,5.41064995607439,4.33335587544081,2.62731442264177,3.17105885115379,2.85557807827245,2.82592833463979
Calcado,3.97055730792973,5.02597069838979,4.43421239699612,3.05828705569826,2.76794280990028,2.21608716390062,2.07314147399262
Calumbi,3.90095855206414,4.69604957575842,3.87319770118057,2.77829227477266,2.97486832814562,2.27044397365464,3.9483502425164
