municipio,pessoas_de_60_anos_ou_mais_de_idade_(%)_aposentadas_total,pessoas_de_60_anos_ou_mais_de_idade_(%)_aposentadas_por_sexo_masculino,pessoas_de_60_anos_ou_mais_de_idade_(%)_aposentadas_por_sexo_feminino,pessoas_de_60_anos_ou_mais_de_idade_(%)_pensionistas_total,pessoas_de_60_anos_ou_mais_de_idade_(%)_pensionistas_por_sexo_masculino,pessoas_de_60_anos_ou_mais_de_idade_(%)_pensionistas_por_sexo_feminino
Abreu e Lima,64.1433568593003,74.5207814673476,56.40625706132,11.3218181594781,5.71382252662461,15.5029732646068
Afogados da Ingazeira,83.9369116427652,84.2729907299026,83.6614140845803,7.5739748250764,3.8990406329563,10.5864663342705
Afranio,87.3410993478713,83.9679766566601,90.8178551194746,8.55542620917715,9.65373987588955,7.42336884591478
Agrestina,74.5089519044876,73.2248044232732,75.7360492148388,13.2480763608437,13.4081717397583,13.0950934583814
Agua Preta,70.4549694591248,77.9981551745932,62.5232344691615,9.70517296536513,3.44240591782051,16.2905349594538
Aguas Belas,83.5647570918624,82.5691338513934,84.3949311762411,4.87031146426228,1.28072730447404,7.86339119766465
Alagoinha,89.6173910994446,89.5898693183376,89.6421395240727,6.2734202852602,3.4610297709301,8.80240757714397
Alianca,67.3401007877019,81.9205216094539,52.6420959270656,8.1375515662106,4.01092704597326,12.2974553164496
Altinho,85.7902989925978,85.2872716950836,86.281582597341,6.58096540902774,4.08849135488738,9.01525007727205
Amaraji,72.3402202147506,71.9448182963024,72.7740573135954,7.39193860113353,5.56100681161548,9.40084674923933
Angelim,85.3489314306939,83.9062607545934,86.5342140849675,5.98840637109484,1.73338056943796,9.4842896379697
Aracoiaba,69.40828458341,70.7018357240449,68.0862515828225,9.61085663676196,8.9687206820652,10.2671313647608
Araripina,74.2597307836751,73.7684051802236,74.7116610402922,11.2664776822652,8.03570621103266,14.2382002422298
Arcoverde,73.5241614437305,77.5698351418297,70.596401564783,10.3514737644903,5.08910975416726,14.159724099924
Barra de Guabiraba,86.5186072715168,84.7748391910061,88.1790448419633,4.02163858074127,1.36616531399943,6.55021312496812
Barreiros,64.7353113692959,77.0070900661753,51.9408458021485,13.5763862988818,4.62832981471065,22.905563707266
Belem de Maria,71.9879307064063,71.9310877834051,72.047861899902,3.97757677284648,3.87850038520199,4.08203597102411
Belem de Sao Francisco,84.0612348196997,88.3612602381762,80.5898679969137,8.1515297275472,1.31282985746011,13.6723426367005
