municipio,"pessoas_de_60_anos_ou_mais_de_idade,_com_rendimento_total","pessoas_de_60_anos_ou_mais_de_idade,_com_rendimento_por_classes_de_contribuicao_no_rendimento_medio_mensal_familiar_ate_10%","pessoas_de_60_anos_ou_mais_de_idade,_com_rendimento_por_classes_de_contribuicao_no_rendimento_medio_mensal_familiar_mais_de_10_a_30%","pessoas_de_60_anos_ou_mais_de_idade,_com_rendimento_por_classes_de_contribuicao_no_rendimento_medio_mensal_familiar_mais_de_30_a_50%","pessoas_de_60_anos_ou_mais_de_idade,_com_rendimento_por_classes_de_contribuicao_no_rendimento_medio_mensal_familiar_mais_de_50_a_90%","pessoas_de_60_anos_ou_mais_de_idade,_com_rendimento_por_classes_de_contribuicao_no_rendimento_medio_mensal_familiar_mais_de_90%"
Abreu e Lima,6020.74470185,14.09206445756282,14.396102010830516,29.02075018914382,13.756896064460234,28.734187278002622
Afogados da Ingazeira,3456.4651708599963,3.7759036899980503,10.020445334729775,42.58933381248956,17.725408283155428,25.888908879627344
Afranio,1492.8608025699994,1.4099392477694217,11.996538310985795,56.988857999713446,9.853024502805443,19.7516399387259
Agrestina,2354.0022587500016,5.350051015961028,7.0504745134837234,40.700157134460504,16.91269476739621,29.986622568698472
Agua Preta,2086.064152399999,9.64147296805828,6.130314092827516,25.25351888885659,16.081983540824123,42.89271050943352
Aguas Belas,3595.5773287700013,4.370219308668119,11.478850176229969,41.26463567639516,13.164342001842613,29.721952836864162
Alagoinha,1549.3144075899993,1.8599577747956915,9.49966714044453,48.47483771278191,16.247620829368515,23.91791654260944
Alianca,2849.1033053599976,18.34840548485996,6.0111281390816425,31.29519613952145,8.778799559126426,35.56647067741062
Altinho,3098.1721172500006,3.990465319587789,8.919166700308343,43.64588036058701,15.810958529147227,27.633529090369635
Amaraji,1704.9571953500006,11.289337942028935,5.698976017990501,36.836726760818834,11.763548378634077,34.41141090052761
Angelim,1182.1360919199994,3.913840187795492,5.333295356679344,38.98952473157312,21.41794689465708,30.345392829295044
