municipio,populacao_total,populacao_sexo_(%)_masculino,populacao_sexo_(%)_feminino,populacao_situacao_do_domicilio_(%)_urbana,populacao_situacao_do_domicilio_(%)_rural,populacao_proporcao_de_pessoas_naturais_dos_municipios_(%)
Abreu e Lima,89038.9999999006,48.41137029844,51.5886297015593,87.2606385968585,12.7393614031409,48.5042683472615
Afogados da Ingazeira,32922.0000000602,48.17143551434,51.8285644856595,70.3146831896841,29.6853168103157,69.5321877193921
Afranio,15268.8413605501,50.3474912465333,49.6525087534663,26.0989023719637,73.9010976280359,89.4366466162439
Agrestina,20035.9999998299,48.682371730599,51.3176282694014,64.3591535212092,35.6408464787913,73.5316962011631
Agua Preta,28814.49438725,50.0546697304256,49.9453302695744,51.040284803913,48.9597151960866,77.0097183833939
Aguas Belas,36641.00000014,48.6968150435082,51.3031849564919,54.4117245705734,45.5882754294261,83.2928376147578
Alagoinha,12534.99999951,49.7407259674807,50.259274032519,53.7534902275501,46.2465097724497,76.1396407557483
Alianca,37188.9999998702,50.0201672535292,49.9798327464705,45.9571378636416,54.0428621363581,83.3532795337824
Altinho,22130.9999998301,49.9887036279649,50.0112963720343,45.5347594102272,54.4652405897722,87.4607020265174
Amaraji,21308.9999999901,50.9033741608946,49.0966258391048,67.4879159050951,32.5120840949046,79.8224312588949
Angelim,9082.00000024001,49.1962122883938,50.8037877116062,50.0220215764143,49.9779784235856,78.8987769586064
Aracoiaba,15108.0000007299,50.0926661373734,49.9073338626272,82.3868149314839,17.6131850685162,72.0105420886577
Araripina,70897.9999988006,49.0084346527094,50.9915653472899,48.8744393354485,51.1255606645509,77.3960236276038
Arcoverde,61599.9999995601,47.124999999931,52.8750000000694,89.7743506497969,10.2256493502029,60.5235078147019
Barra de Guabiraba,10938.99999972,50.2148276801406,49.785172319859,81.7653817603886,18.2346182396111,72.1927778685631
Barreiros,39139.0000000199,49.4723932653368,50.5276067346636,79.2764250489134,20.7235749510869,77.7550758325315
Belem de Maria,10625.99999983,50.4705439489532,49.5294560510463,61.7918313580373,38.2081686419626,85.4700000828656
Belem de Sao Francisco,20208.0000003901,48.4065716551918,51.5934283448076,54.9959897051933,45.0040102948063,76.1522256231833
Belo Jardim,68697.9999994796,48.4759381641855,51.5240618358147,73.3529360389115,26.6470639610886,76.9283774728377
Betania,11304.99999984,49.5179124289184,50.4820875710815,25.8381247240277,74.1618752759723,91.2042404341966
Bezerros,57370.9999999303,48.0748113158451,51.9251886841545,77.680361157474,22.3196388425259,78.7349661523505
Bodoco,31731.0000000799,50.4301786892305,49.5698213107699,29.3151807384783,70.6848192615223,85.8051168541219
Bom Conselho,42657.2482738201,47.7698499861651,52.2301500138339,59.1271144293885,40.8728855706112,87.6302973234483
Bom Jardim,37544.37821976,48.4617682684752,51.5382317315247,34.7135859431561,65.2864140568436,88.3496125760098
Bonito,38908.3168696399,49.8391745882517,50.1608254117486,59.1004747818659,40.8995252181343,84.7545741499077
Brejao,8915.99999967999,49.6971736210074,50.3028263789924,36.0812023290203,63.9187976709792,79.9419902635239
Brejinho,7278.00000025001,49.4778785385587,50.5221214614412,32.8249519088752,67.1750480911248,81.2152718251851
Brejo da Madre de Deus,38108.9999995899,49.5237345506393,50.476265449361,64.8481985886955,35.1518014113048,82.2274984760217
Buenos Aires,12006.99999969,49.5460981103821,50.4539018896176,53.3688681624506,46.6311318375492,81.111261362134
Buique,45047.1380553797,49.2442877521068,50.7557122478938,34.3462441068713,65.6537558931293,90.307725568198
Cabo de Santo Agostinho,152977.00000112,49.1877863992169,50.8122136007842,87.9125620192749,12.0874379807256,69.9170248714105
Cabrobo,26740.9999995999,48.7378931230882,51.2621068769123,58.9693728738113,41.0306271261888,74.7805243597072
Cachoeirinha,17042.00000005,48.4567539016885,51.5432460983112,68.6403619982729,31.3596380017269,70.9801321465465
Caetes,24136.99999996,48.7301653059596,51.2698346940402,22.8197373334678,77.1802626665317,90.4867249649754
Calcado,11709.00000056,49.7053548554245,50.2946451445757,27.8845332653843,72.1154667346158,84.0103369174099
Calumbi,7192.37238401999,47.8284468079405,52.1715531920597,26.611525347499,73.3884746525011,83.2149275090059
Camaragibe,128701.999999841,48.6231760189644,51.3768239810355,100,0,53.1533150462192
Camocim de Sao Felix,15114.99999998,48.5610320875933,51.4389679124069,73.9464108489897,26.0535891510103,74.9168108433675
Camutanga,7844.00000013002,49.9235084135021,50.0764915864979,76.6955634871278,23.3044365128723,79.2620177848924
Canhotinho,24920.0000001201,50.0882825041326,49.9117174958671,49.201444622917,50.7985553770827,85.4092962558086
Capoeiras,19555.99999945,50.076702801623,49.9232971983767,24.7647780737687,75.2352219262314,88.2314587561631
Carnaiba,17696.0000001598,49.4631555153197,50.5368444846816,37.0705244134875,62.9294755865135,84.6987407639274
Carnaubeira da Penha,10403.9999997199,51.0668973476837,48.9331026523169,10.7843137248193,89.2156862751808,96.7779923063341
Carpina,63810.9999997608,48.06694770509,51.9330522949089,95.6042061710667,4.39579382893312,70.5209348986677
Caruaru,253633.999999874,47.4289724563974,52.5710275436005,85.7168202998658,14.2831797001339,70.3428619525255
Casinhas,13345.0000003299,49.3068565003171,50.6931434996833,10.6781566123999,89.3218433876003,89.5390992570589
Catende,31257.0000005001,48.5459257127594,51.4540742872402,75.0263940875159,24.9736059124839,78.679394325292
Cedro,9550.99999966003,50.0471154851862,49.9528845148134,52.5285310443785,47.4714689556211,76.7939755790084
Cha de Alegria,11102.00000004,49.6487119438853,50.3512880561148,72.7976941091775,27.2023058908225,76.3786269418074
Cha Grande,18729.0327758001,51.4720422450549,48.5279577549445,58.4623635321833,41.5376364678161,82.9417822301634
Condado,21796.99999983,49.8508969118904,50.1491030881096,84.7501949815297,15.2498050184701,70.4447342080089
Correntes,17043.99999945,49.0025815542685,50.9974184457316,51.8892278806349,48.1107721193653,84.9393449133255
Cortes,12680.99999996,49.2626764456249,50.7373235543748,65.5581987400537,34.4418012599461,84.2849244128519
Cumaru,28607.29512398,51.018641981869,48.9813580181313,23.7631693961572,76.2368306038428,93.9876958575916
Cupira,22382.99999986,47.6522360720488,52.3477639279509,80.7979269976457,19.2020730023539,66.9873087421871
Custodia,30198.7537679799,49.3219121334172,50.6780878665836,55.118168544256,44.8818314557444,81.5327405298985
Dormentes,14410.99999963,51.2247588646835,48.7752411353166,26.6116161280166,73.3883838719835,82.2166542451892
Escada,57340.9999994004,49.3922324340806,50.6077675659188,79.5172738526308,20.4827261473689,76.2809507858906
Exu,32422.9999998297,49.5913394811231,50.4086605188782,35.5272491742296,64.4727508257712,86.9389984330501
Feira Nova,18856.99999957,48.9526435806356,51.0473564193642,64.4641247287861,35.5358752712138,76.6168706842522
Fernando de Noronha,2051.0000001,51.6333495854884,48.3666504145116,100,0,48.9503911575353
Ferreiros,10726.99999947,50.0326279483096,49.9673720516902,64.8550386892301,35.1449613107697,79.2476586544235
Flores,20822.99999975,49.28684627548,50.7131537245199,39.0865869468266,60.9134130531733,82.7510324859861
Floresta,24729.0000002299,48.7120384974241,51.2879615025763,62.8695054400317,37.1304945599686,84.6437281784358
Frei Miguelinho,12978.00000048,48.8827246115377,51.1172753884622,18.2154415154305,81.7845584845692,86.5363618045507
Gameleira,24002.9999996099,50.5686789152492,49.4313210847512,69.4204891048232,30.5795108951767,70.9119139495755
Garanhuns,117749.00000022,47.2649449251846,52.735055074815,87.7633961498157,12.2366038501839,70.2746738661608
Gloria do Goita,27553.99999968,49.3322203676341,50.6677796323661,45.5178921386576,54.4821078613426,87.4238241000209
Goiana,71176.9999997998,49.2518650687704,50.7481349312301,61.1588012993551,38.8411987006448,75.0992019049837
Granito,6109.99999969001,49.6399345329604,50.3600654670394,26.2029459897091,73.7970540102907,74.9927905355558
Gravata,67272.9999995792,48.4696683660515,51.5303316339493,82.5933138105883,17.4066861894122,79.6606491713688
Iati,17690.99999969,50.161098863295,49.8389011367053,37.3523260414663,62.6476739585339,73.5459276231305
Ibimirim,24340.0000003799,49.186524239824,50.8134757601766,55.447822514459,44.5521774855415,70.2180810116405
Ibirajuba,7438.00000009002,50.228556063791,49.7714439362085,32.6431836489731,67.3568163510267,81.808601659806
Igarassu,82277.0000003892,48.8958032014776,51.1041967985235,92.0536723504034,7.94632764959718,66.0144310313734
Iguaraci,11569.5213764901,49.5935471622828,50.4064528377164,43.2077781366837,56.7922218633155,79.0089505507544
Ilha de Itamaraca,15858.00000025,54.3385042255274,45.6614957744724,81.5361331808939,18.463866819106,53.724836946372
Inaja,13279.99999972,49.3298192770944,50.6701807229057,48.7876506040407,51.2123493959592,79.7525206748741
Ingazeira,4567.00000000998,49.8357784095692,50.1642215904312,46.5951390419389,53.4048609580616,67.0052175275523
Ipojuca,59281.0000002601,49.5302036064862,50.4697963935133,68.143469804765,31.8565301952346,77.3262106099063
Ipubi,23042.0000003301,49.2535370195183,50.7464629804811,58.323930214597,41.6760697854023,75.5868259086471
Itacuruba,3668.99999979,48.0784955028881,51.9215044971118,88.4146954782141,11.585304521786,63.8823032380526
Itaiba,26799.00000043,50.0764953920468,49.9235046079529,32.5944997949917,67.4055002050082,84.6531323169372
Itambe,34982.0000002198,49.8570693499241,50.1429306500768,75.2529872511707,24.7470127488297,76.517847320513
Itapetim,14765.9999998899,49.2956792625916,50.7043207374091,51.4086414722102,48.5913585277901,81.8959085371807
Itapissuma,20116.0000006599,48.9311990458694,51.0688009541309,81.1791608662471,18.8208391337532,67.8687386558068
Itaquitinga,14949.99999998,50.3277591969905,49.6722408030097,72.1003344481901,27.89966555181,75.7677158121415
Jaboatao dos Guararapes,581555.999996119,47.7950532708537,52.2049467291469,97.750517576995,2.24948242300438,53.860998672097
