municipio,populacao_residente_por_grupos_de_idade_(%)_0_a_3_anos,populacao_residente_por_grupos_de_idade_(%)_4_a_6_anos,populacao_residente_por_grupos_de_idade_(%)_7_a_14_anos,populacao_residente_por_grupos_de_idade_(%)_15_a_17_anos,populacao_residente_por_grupos_de_idade_(%)_18_a_24_anos,populacao_residente_por_grupos_de_idade_(%)_25_a_59_anos,populacao_residente_por_grupos_de_idade_(%)_60_a_64_anos,populacao_residente_por_grupos_de_idade_(%)_65_anos_ou_mais
Abreu e Lima,7.42557093763114,5.6265007992515494,15.69038943174966,6.63351889414369,14.696460103880968,42.846393153317806,2.3579660695901157,4.723200610434406
Afogados da Ingazeira,7.719887072369097,6.19620151557096,18.041265157764283,6.729517184545145,13.977001252419644,36.695826498778686,3.2210795071018232,7.419221811449901
Afranio,8.933961192133694,6.741292268445699,18.67250101658848,6.778418486710347,14.145757856326254,34.87196598058169,3.305446482691194,6.550656716522251
Agrestina,8.553600315055652,6.66081887418312,17.58154806967413,6.900747135365029,13.113227709783922,35.106807745955884,3.2871212487302404,8.79612890125256
Agua Preta,9.930714706575468,7.169240456338096,20.292180655986925,7.756846358543065,14.522459055785516,32.58936956698825,2.7307149566648845,5.008474243117653
Aguas Belas,9.815758062788296,7.509631204741922,19.798003546525177,7.183516003247581,12.505797953446937,32.977419044523366,3.2192329079869353,6.990641276739757
Alagoinha,8.208190287676251,5.785113595040643,17.638128106872134,6.316684194662541,12.606331361322448,37.016354208307746,3.467801281906592,8.961396964211477
Alianca,8.134690344727105,7.184566853799048,17.612523704248233,8.024681087903465,15.183794536636427,35.825109575483324,2.7527576450121662,5.28187625218978
Altinho,8.131816289836953,5.675451337624341,17.054419598477143,6.775214059967973,12.374395084862966,35.768831051650466,4.017526983041101,10.202345594538592
Amaraji,9.325701837772426,6.384372880288304,19.85236368812223,7.780624413913248,14.599590518473192,33.957482753875716,2.587665065419576,5.512198842135003
Angelim,8.579499967291436,6.566046767278581,17.490436529487123,7.183738687103701,13.681709452071827,33.12045804856312,3.6426099942882337,9.735500553915802
Aracoiaba,9.313046405030583,6.974617901436912,19.315989387470196,7.067380134620141,14.801828231876838,35.23298914437927,2.086899683245742,5.207249111940623
