municipio,proporcao_de_pessoas_de_15_anos_ou_mais_de_idade_com_menos_de_4_anos_de_estudo_(%)_total,proporcao_de_pessoas_de_15_anos_ou_mais_de_idade_com_menos_de_4_anos_de_estudo_(%)_por_sexo_homem,proporcao_de_pessoas_de_15_anos_ou_mais_de_idade_com_menos_de_4_anos_de_estudo_(%)_por_sexo_mulher
Abreu e Lima,24.213293050455405,23.676763404748055,24.701390814412374
Afogados da Ingazeira,42.51699920709333,47.70209013873922,37.86710098041075
Afranio,60.22976392858605,64.65091981342876,55.792153140879996
Agrestina,56.60754091230819,61.15434719075537,52.396981071656725
Agua Preta,57.72085876267163,60.59923653219417,54.78515911624465
Aguas Belas,65.18034495902643,69.3746506826213,61.32499154836854
Alagoinha,53.45515422360493,60.182544819608474,46.98040664507596
Alianca,52.11690357794231,56.11921464800928,48.217599236869
Altinho,59.90822339960735,63.96278378200988,55.99887769593326
Amaraji,56.607165929565774,59.41592762444,53.661360803768076
Angelim,55.06710452719712,59.372133779135595,51.0818697050472
Aracoiaba,53.82546462329203,57.55265908665077,50.07289940562744
Araripina,53.58765810089692,58.194835283630454,49.252455958035135
Arcoverde,35.4156403812732,38.25817241562018,33.01289538471566
Barra de Guabiraba,62.77451588214805,66.98480866935228,58.53875761458216
Barreiros,45.45240219330029,48.446250718395305,42.5786945799078
Belem de Maria,59.3180089928146,62.737978532187654,55.977007651599344
Belem de Sao Francisco,49.60510213049474,55.09967515117003,44.64090578740649
Belo Jardim,51.27057982284794,55.94259358786966,47.0520329875957
Betania,56.66813824716073,62.47557407134236,50.914761001068655
Bezerros,52.565958232255106,55.31727832751887,50.09459880352516
Bodoco,59.97291340981113,65.0742434499594,54.9578277629376
Bom Conselho,54.972987708660405,60.483405259977005,50.14347820102446
Bom Jardim,56.60927990786513,61.09379347195666,52.563504117999074
Bonito,58.55622623839276,62.14946601334647,55.03217258961096
Brejao,57.808935982151176,59.897995938083135,55.70672139378028
Brejinho,58.806487258248005,68.11945202302047,49.94594902218937
Brejo da Madre de Deus,60.484908347477884,65.93201740491395,55.231107734550065
Buenos Aires,50.00238583881688,55.82415264093552,44.525294975394374
Buique,66.61247859597637,70.17069118518701,63.19022106558679
Cabo de Santo Agostinho,32.16143773262131,32.85037913567284,31.51418322164169
Cabrobo,48.74556485226357,54.499868272123166,43.43966535022615
Cachoeirinha,56.01583673200352,59.32344308947604,53.0866488632153
Caetes,66.61431661329404,73.87312711407822,59.83433421804742
Calcado,54.82857719688534,60.65717150451029,49.31161660887241
Calumbi,57.24796273350816,61.6408638016108,53.09465251527372
Camaragibe,27.59934947869765,27.810494608922475,27.40557599027041
Camocim de Sao Felix,56.97022708888628,58.73920277147992,55.33564996944948
Camutanga,51.98371010520435,54.509481138866434,49.5182559918126
Canhotinho,61.759967565776485,65.20955063100251,58.32450171576603
Capoeiras,56.679396995706824,63.01860809604412,50.434513356645674
Carnaiba,50.50599932256938,57.447118472170736,43.894799003932725
Carnaubeira da Penha,63.30168899668123,67.97068433126633,58.50428974098064
Carpina,37.299657044826986,39.62608664713605,35.23253014410566
Caruaru,35.26599674929491,37.7446830897885,33.13653988253182
Casinhas,59.373163460594746,65.94665433086541,53.209958316271035
Catende,47.62991369679326,49.23558447100903,46.16259834559829
Cedro,51.85004707361397,55.94165489535846,47.9461526425652
Cha de Alegria,51.14117498374496,52.18884387594785,50.14002475932647
Cha Grande,56.779439220927244,62.46790882539195,51.160817042411246
Condado,46.7559476496004,51.98579132785789,41.60550372090069
Correntes,53.96241651149484,57.57338276262902,50.5597995932374
Cortes,58.981305078468836,62.47161009090261,55.55957051706611
Cumaru,54.65745448854445,61.07799348446134,47.86226347991164
Cupira,56.05592622271658,60.41942617088575,52.20514692370026
Custodia,52.43257442642435,57.921549099961744,47.21504237271271
Dormentes,57.63812680434115,63.20520268391267,51.72015342860662
Escada,46.845969360754204,48.99687777035083,44.818568525458794
Exu,55.15681660212061,59.28728231019461,51.177670533335075
Feira Nova,55.99432025541964,59.526853333489896,52.72894002057578
Fernando de Noronha,13.89497396511796,16.40128902226983,11.008694048199969
Ferreiros,50.5256982179337,55.69077711902387,45.43833141199693
Flores,57.837613646363195,62.4670853414729,53.40336450580414
Floresta,40.133755142109514,46.74126365033987,33.86320438712388
Frei Miguelinho,59.39878136683372,64.96084885816357,54.30223599405666
Gameleira,56.09801487866297,58.684063578028415,53.505243931587096
Garanhuns,36.222962201414894,38.443753794798916,34.3586253954653
Gloria do Goita,52.82071159079099,56.63390459892823,49.09036929829542
Goiana,39.8082531323126,41.888172889736566,37.85302821225282
Granito,59.19767862269219,64.30543479615368,54.19437554079426
Gravata,44.96007678255271,47.98123449625389,42.20713832422908
Iati,70.39362180026393,74.1562241901136,66.66788089973393
Ibimirim,59.05366764492976,63.245042212308164,55.09740556965789
Ibirajuba,60.62746527710833,69.06273079917138,52.12417341998544
Igarassu,31.87557458701278,33.05593302473883,30.782067412779483
Iguaraci,53.1251625257275,59.82889331391159,46.67692592315804
Ilha de Itamaraca,30.542394821322095,35.149710463442226,24.71451878759452
Inaja,57.015179286784836,62.06660624637907,52.08009276974971
Ingazeira,47.24378463346699,57.417618231396794,36.948673549006614
Ipojuca,47.11477006802989,50.15153573822976,44.1516367072222
Ipubi,59.48976358106093,67.46226970405135,51.859420411124844
Itacuruba,42.662595588406994,46.91804800824884,38.895855282248874
Itaiba,68.97904253855953,72.33799757221423,65.65426408827689
Itambe,56.53817977758065,61.6416259226225,51.5528567622114
Itapetim,49.48650514543841,57.07925978879359,42.134055034298015
Itapissuma,38.00541076018939,39.744628541117805,36.3958163015648
Itaquitinga,47.08478684822721,52.74804400156632,41.431816135857005
Jaboatao dos Guararapes,23.36482285947269,22.718586513541002,23.930975644309626
Jaqueira,57.28299759777167,57.21858647720245,57.34766131096942
Jatauba,63.24100488824522,66.16992297010394,60.400711350152505
Jatoba,40.896600417404684,43.356628475128964,38.550635185347666
Joao Alfredo,63.028438819854685,66.94201530880912,59.49551173313371
Joaquim Nabuco,55.66873866398336,55.897613040300854,55.43958941851715
Jucati,60.24873700817298,66.77167612553946,53.93691773565534
Jupi,57.45969359948534,61.426476759887194,53.93973237818729
Jurema,67.04540869803598,70.43649259710416,63.7574269947765
Lagoa do Carro,45.668782471909886,48.53248759201676,42.84099180537431
Lagoa do Itaenga,50.13172169746082,54.45535124112938,46.04036616606862
Lagoa do Ouro,60.80452484916889,67.00096788726941,54.581815660335906
Lagoa dos Gatos,63.60882949019643,66.3618026094928,60.89202371482118
Lagoa Grande,50.325416531935204,52.483744896334784,48.119885187991905
Lajedo,51.40888303114076,55.947884830262204,47.39463694828623
Limoeiro,40.16233206163873,42.02047317371982,38.5442470862772
Macaparana,55.54227762412921,61.380327804969525,50.18870978935986
Machados,55.89128319390751,59.73140980400324,52.422818291517224
Manari,76.42022702120993,78.19996512799497,74.70945257704115
Maraial,62.077577927987825,66.40790794421258,57.481542649128556
Mirandiba,48.51848767167366,51.93549075620282,45.22547228568008
Moreilandia,51.5688258669047,56.7110068656551,46.4209566147379
Moreno,37.26546391763529,39.034606901417554,35.621251734234164
Nazare da Mata,40.29406895915561,44.537985746916966,36.398668428558814
Olinda,19.102665677625357,18.625942776710296,19.498471087800407
Orobo,56.66268180823353,63.26524794080238,50.682930625956246
Oroco,49.89116674125302,54.89993574413333,44.960798434360484
Ouricuri,58.023841661942214,63.14763126876943,53.085446759016854
Palmares,42.51919189552469,43.42071995940421,41.71131408458134
Palmeirina,56.12415706532619,60.06930325493096,52.31385594758893
Panelas,65.83792583318507,70.24277995428982,61.53317012217996
Paranatama,66.27994422980422,70.74967620765298,61.900549847852126
Parnamirim,52.05310851545314,57.86733742059438,46.07895046217575
Passira,56.97238938126742,60.40113766244188,53.725200715335966
Paudalho,45.061179354653305,48.45898697271588,41.79621216370107
Paulista,16.664945187684882,15.894111294224517,17.334560064730997
Pedra,55.00460546818032,61.92254937965137,48.12217568821904
Pesqueira,47.21851156827717,50.16036218984573,44.58418614296925
Petrolandia,41.78006911217334,45.02301695438623,38.6687379155481
Petrolina,31.837906441039372,34.65551256205799,29.261484200553518
Pocao,63.64419984081031,67.88686127576138,59.88554192003712
Pombos,56.49893600565379,61.33288000061318,51.82027937183433
Primavera,55.917093203287514,61.22723318063168,50.264979037178946
Quipapa,62.791191677619196,66.39571613591279,59.43877988030874
Quixaba,56.0858336102659,63.49643801061921,48.695871562209845
Recife,18.729885239280556,17.929071583081583,19.38474941724733
Riacho das Almas,55.29809068177431,64.19455199235934,46.94002481051528
Ribeirao,50.024646619243974,53.43473657717929,46.883335060399034
Rio Formoso,51.13944415358661,51.79591173226569,50.46975507346873
Saire,60.411880677379074,64.35509924362877,56.53921011740282
Salgadinho,63.136337840035125,69.70381651728952,56.710377059284525
Salgueiro,38.26587504334152,42.90793740645486,34.13396024113922
Saloa,58.04723567923752,59.46962847108795,56.74742426097142
Sanharo,52.66849409099235,57.0487514709432,48.5619537792609
Santa Cruz,67.59987802193376,70.512568576856,64.61723021998404
Santa Cruz da Baixa Verde,45.442945345471806,51.062613333189546,39.9927224628334
Santa Cruz do Capibaribe,41.79474908582921,48.28416241576745,36.07236856073754
Santa Filomena,70.09645540060806,75.0511224507032,64.85645499513362
Santa Maria da Boa Vista,46.85418507537607,51.27000711067663,42.37640736004606
Santa Maria do Cambuca,62.98514531287267,70.3813502990043,55.997640378737124
Santa Terezinha,50.28493020898149,58.325154146832325,42.76995000517656
Sao Benedito do Sul,66.86115432791654,70.11679713550683,63.6527523572779
Sao Bento do Una,55.117161894182445,60.58372184806664,49.872039571893474
Sao Caitano,55.45723539475102,59.58928451716747,51.55207083314281
Sao Joao,61.04178786636599,67.87021446785944,54.45025496980658
Sao Joaquim do Monte,65.59080091424208,71.54784542925978,59.86713508369556
Sao Jose da Coroa Grande,46.999000302015595,50.11396498496704,43.98168124383272
Sao Jose do Belmonte,54.55535697357284,60.33592961344354,48.98091671690916
Sao Jose do Egito,44.954875524730156,51.143205007261685,39.26105389778248
Sao Lourenco da Mata,34.587791086501156,34.995357575132516,34.20848793903289
Sao Vicente Ferrer,58.24827748375545,63.19009120648879,53.526121057560324
Serra Talhada,44.051107566823106,49.10233656106729,39.64155669756852
Serrita,56.861220377856206,62.10844262420312,51.67118457314991
Sertania,48.877560334881665,54.86328900183748,43.35764725640004
Sirinhaem,52.24344743144667,54.460268182561464,49.96014564781823
Solidao,54.855503720566276,63.32401305997026,46.519885653922245
Surubim,48.794576625907595,54.21458894991675,44.01193713034572
Tabira,42.66070332959139,48.05874058965494,37.67232793033829
Tacaimbo,59.25619284154517,64.68971680378291,54.17701811713661
Tacaratu,49.07232648896378,50.74424032412029,47.41895907022438
Tamandare,53.31324326000455,55.15770121924631,51.43304990111014
Taquaritinga do Norte,45.73855849790965,52.34393352292741,39.29748655308513
Terezinha,62.76899690362405,70.35027526988608,56.01192681197686
Terra Nova,48.09219438782857,53.849872812627076,42.368411244113034
Timbauba,45.07445432218401,48.89680182824405,41.63507659732377
Toritama,51.05651461688671,59.061362703749424,43.543741311245974
Tracunhaem,51.01823465012908,54.04880722827292,47.975380848266816
Trindade,52.476699813378616,59.44221297746011,46.04737030788552
Triunfo,38.99080167869766,43.97234426587982,34.73506006076425
Tupanatinga,69.63384399885751,74.05579041607133,65.44089246706947
Tuparetama,43.55794515769457,49.804173129517196,37.796624639009444
Venturosa,48.91430074303753,53.973093401477314,44.19934111892199
Verdejante,46.95826028708694,51.67818205102838,42.43901269408916
Vertente do Lerio,63.966687643863274,70.30282572638326,57.999306009043174
Vertentes,54.200243575039444,59.18983426891431,49.58032134031338
Vicencia,53.08023058728411,57.80142608639493,48.409383765778735
Vitoria de Santo Antao,42.596744577978555,45.573904213805655,39.897842300699935
Xexeu,63.09350839279866,65.97036884442578,60.19578600894131
