municipio,"proporcao_de_domicilios_com_criancas_de_ate_14_anos_de_idade,_com_rendimento_domiciliar_per_capita_de_ate_1/2_salario_minimo_e_com_responsavel_com_menos_de_4_anos_de_estudo_(%)_total","proporcao_de_domicilios_com_criancas_de_ate_14_anos_de_idade,_com_rendimento_domiciliar_per_capita_de_ate_1/2_salario_minimo_e_com_responsavel_com_menos_de_4_anos_de_estudo_(%)_por_grupos_de_idade_das_criancas_0_a_6_anos","proporcao_de_domicilios_com_criancas_de_ate_14_anos_de_idade,_com_rendimento_domiciliar_per_capita_de_ate_1/2_salario_minimo_e_com_responsavel_com_menos_de_4_anos_de_estudo_(%)_por_grupos_de_idade_das_criancas_7_a_14_anos"
Abreu e Lima,19.181556195965417,18.34638567259423,19.945504521405645
Afogados da Ingazeira,43.98161873702935,42.279233301744036,45.41638121324555
Afranio,59.82847341337907,61.467182224948345,58.39072664305821
Agrestina,56.5679012345679,56.37148420646593,56.70417536655678
Agua Preta,61.81088625261689,59.4174153192972,64.06614889240304
Aguas Belas,66.62101593625498,66.19670943800222,67.01484767941453
Alagoinha,49.175713711298755,44.962296860836865,52.88014759511199
Alianca,55.640157924421885,55.341648438664336,55.93653039400315
Altinho,60.773739742086754,61.74462085889094,59.95060432139844
Amaraji,55.2046783625731,59.069726089215635,51.774321271611115
Angelim,54.61031833150384,54.84228266377513,54.345873725588525
Aracoiaba,59.071019858633456,57.10052040902968,60.88092873396172
Araripina,53.74722240926537,52.395034174092245,55.051688447432134
Arcoverde,32.923832923832926,32.56445316356366,33.26385231899761
Barra de Guabiraba,60.26726057906458,59.53305755296672,60.92429275359156
Barreiros,48.620236530880426,48.25231244769829,48.94444218095263
Belem de Maria,65.06256015399423,62.58702348506365,67.43032637910107
Belem de Sao Francisco,51.3733468972533,50.60413185102441,52.15322387477832
Belo Jardim,47.36516235553109,46.90724890868779,47.774317930722695
Betania,65.70669029685423,66.83757285207432,64.72684816718528
Bezerros,46.099419448476056,44.505857534559695,47.526979348647345
Bodoco,64.90116191338464,64.9588129768054,64.85717431150441
Bom Conselho,59.37536553982922,58.21081666438545,60.5258803179727
Bom Jardim,59.34593023255814,61.092963262882435,57.74035299706269
Bonito,61.71699525829798,62.67165010190803,60.79389047900189
Brejao,60.39763567974208,56.67900574756023,64.25758533948557
Brejinho,61.41785957736878,63.90959336632144,59.36610259219861
Brejo da Madre de Deus,50.55405072642206,48.55745409877046,52.45494040142664
Buenos Aires,54.47416974169742,54.47689527797771,54.5164698903394
Buique,67.47121346324181,68.61250556918968,66.41716745737354
Cabo de Santo Agostinho,30.328859060402685,29.40052601244267,31.168959196761303
Cabrobo,50.11029411764706,49.97440184473644,50.25121780119663
Cachoeirinha,42.86145487473589,42.64883738222491,43.058678442344075
Caetes,68.40945512820514,67.96787316626711,68.7854016139879
Calcado,53.503184713375795,50.94705693721265,55.7997067189691
Calumbi,61.250849762066615,59.90326220511398,62.38756342077374
Camaragibe,22.58750408897612,21.718982138785645,23.3917043205458
Camocim de Sao Felix,52.48811410459589,51.212753867258776,53.57599598098892
Camutanga,55.328376703841386,56.22510852625538,54.467707441603416
Canhotinho,63.39003164556962,63.899703341950286,62.89219842323075
Capoeiras,58.18901533894112,56.48358500116384,59.783741614673644
Carnaiba,59.66580236243158,57.631234727141624,61.629047829966545
Carnaubeira da Penha,74.47318007662835,72.8790608534593,76.02248179452621
Carpina,37.370876374541815,34.835305417170424,39.79835503400711
Caruaru,24.459622026465908,24.04284009620464,24.829407018993887
Casinhas,61.201360030222894,61.298285898788215,61.13313421338519
Catende,51.33714639047766,50.135617463419955,52.364954984752856
Cedro,58.231707317073166,56.544733987980365,59.854547087576584
Cha de Alegria,55.49597855227882,50.85285936183788,59.81685241436089
Cha Grande,51.10504774897681,54.47892756984951,48.18486021351468
Condado,49.46896388954449,50.16154302937601,48.730974055501676
Correntes,59.96398559423769,57.636333441791855,62.38240892869384
Cortes,59.56052428681573,58.80511087560857,60.24051405335681
Cumaru,64.22226422226423,64.20547548205018,64.2383827184392
Cupira,51.3604018417748,47.944310163074256,54.574191847671294
Custodia,48.732679959445754,46.899844080819,50.301670364729745
Dormentes,63.12754409769335,60.16231645803691,65.84933947079843
Escada,47.3679592911037,46.58607499200934,48.066945314413125
Exu,62.055091303002165,59.84639247140364,64.0653467325143
Feira Nova,56.201859229747676,55.352650445504494,56.93099873264716
Fernando de Noronha,4.40771349862259,2.1836767606220544,6.310602830960413
Ferreiros,54.95764823119084,55.968465300911255,54.071839278277736
Flores,62.95188232361008,61.54673837217269,64.11001701942965
Floresta,45.324176933952735,46.82268165722911,43.833130158742826
Frei Miguelinho,57.57180156657964,59.9313859796013,55.79793217252785
Gameleira,57.664080520025166,55.48162949895431,59.588125303315664
Garanhuns,34.98218402850555,34.668062730327534,35.26697515477483
Gloria do Goita,54.953413196425174,52.88802835291296,56.70129182928315
Goiana,41.22404371584699,41.11865726883189,41.31588315412832
Granito,67.19618745035743,65.39153731490183,68.76674078814926
Gravata,39.277972942671354,39.357390760775885,39.213629247752465
Iati,72.85166940339354,71.59759704177664,74.05330782669732
Ibimirim,60.790960451977405,60.159057820722595,61.348622874303395
Ibirajuba,64.61644782308224,64.79843073281783,64.4086857370903
Igarassu,28.252007411982703,26.86504472221211,29.53067913503842
Iguaraci,57.77072949705483,57.92619833879486,57.670878156477734
Ilha de Itamaraca,20.62543921293043,18.2985816236766,22.818149875651535
Inaja,61.39784946236559,61.14127097438811,61.58818453052213
Ingazeira,48.751357220412594,47.715680007426954,49.72787754664174
Ipojuca,48.07963500622148,47.09509060117017,49.01503455087544
Ipubi,68.30114992406162,69.10693870350593,67.51757486631394
Itacuruba,39.14835164835165,35.123320701798235,43.07043433294942
Itaiba,68.7097335887167,71.72788360476112,65.91697209319307
Itambe,61.0736286300968,59.05775640913558,62.89712492227376
Itapetim,50.900105894811155,49.88090397699232,51.63774224899084
Itapissuma,35.12336719883889,35.38250733634848,34.88583753190738
Itaquitinga,52.16337833160263,50.64276724555772,53.51233070248045
Jaboatao dos Guararapes,17.671147589859608,17.497632674558545,17.828672206365564
Jaqueira,65.44026457213725,61.918933909306276,68.35687822657418
Jatauba,62.638798171129984,65.74068598809397,59.75887960329837
Jatoba,45.24076147816349,45.405184522028776,45.13503117485015
Joao Alfredo,58.464528668610306,58.79624449228977,58.13913007064598
Joaquim Nabuco,57.43283582089552,56.82093032821561,58.03464954727271
Jucati,68.14516129032258,68.6764419546384,67.64043200246014
Jupi,56.804281345565755,57.603661868594656,56.07886957605661
Jurema,67.12089447938504,67.84585761450587,66.4194911534094
Lagoa do Carro,41.97579070675517,40.533676249422726,43.19395239052716
Lagoa do Itaenga,52.912116484659386,54.16681783304036,51.7521396774771
Lagoa do Ouro,67.06454465075154,64.35158202406595,69.63256950026923
Lagoa dos Gatos,63.85074626865672,62.838609131618576,64.7755546164928
Lagoa Grande,49.02564102564103,45.91875423331968,52.22012454593682
Lajedo,44.6393467412672,42.323338920527476,46.72246322627227
Limoeiro,38.052764998591684,36.224763067423,39.627914188195156
Macaparana,59.393410429849446,58.414441692709616,60.217553915188645
Machados,57.77659005879209,58.975934624414464,56.62737935524825
Manari,79.19439579684764,81.52716584516973,76.95669008124845
Maraial,69.87376322074378,68.05810311876542,71.60050066872915
Mirandiba,56.97852760736196,57.37638518374536,56.57189825002025
Moreilandia,61.32292145153882,60.00601438747768,62.4750460754115
Moreno,35.73795019771294,35.44241569071203,36.031622974695075
Nazare da Mata,41.46244271767284,39.59707771897255,42.959706184353394
Olinda,15.164657673556068,15.145601982088438,15.179417695539236
Orobo,60.26848798869524,58.479921613518314,61.80617568422975
Oroco,48.282180485570315,45.99608955921367,50.5324122477156
Ouricuri,60.367542166652676,58.516540631413086,62.08668877953954
Palmares,40.386730205278596,41.333361973147255,39.57862072117308
Palmeirina,58.91553701772679,61.30277670451122,56.777878119329294
Panelas,67.14343271555198,65.28414900498298,68.8529441120248
Paranatama,64.69719350073855,67.01781039035455,62.6161344947516
Parnamirim,50.805585392051555,49.896544228224485,51.57696039350789
Passira,54.48028673835126,54.03712125075239,54.84165362832874
Paudalho,45.95931212768349,43.84825745394683,47.99450231759502
Paulista,10.610939028366483,10.441603936382272,10.756440083981229
Pedra,56.138231029482846,53.93583640791619,58.149113839550296
Pesqueira,46.102863202545066,46.82550599836281,45.47627221452877
Petrolandia,38.62520458265139,36.58688056423166,40.57987118993901
Petrolina,28.8155409659142,27.72868113157273,29.906268174081596
Pocao,59.966708281315015,59.936528189693604,59.92861450274389
Pombos,50.61119450997212,50.1477014489751,50.99931857484214
Primavera,61.631419939577036,60.21117190498318,62.90275426713256
Quipapa,64.88728200765632,64.88472891542726,64.90829143364361
Quixaba,63.146551724137936,61.77242267457326,64.40196990438643
Recife,14.761192917201251,14.83450953214597,14.697133411696688
Riacho das Almas,57.43700894066649,58.25948951094081,56.65504198066335
Ribeirao,51.073694485114686,48.79019785449163,53.19379677569501
Rio Formoso,57.45454545454546,58.69877648912936,56.41255869605597
Saire,59.74842767295597,57.1583094906156,62.26671938591548
Salgadinho,58.59065716547902,59.743612059571745,57.56966586445436
Salgueiro,39.6489867157956,36.81131535824371,42.16171529562911
Saloa,55.753646677471636,55.21259780909064,56.23801858838656
Sanharo,51.2306289881495,53.19769700211281,49.243004715751674
Santa Cruz,75.1269035532995,73.26205259668312,76.87886952477612
Santa Cruz da Baixa Verde,51.776155717761554,50.0486142997128,53.38394501685255
Santa Cruz do Capibaribe,21.133412042502954,20.505223132670235,21.753355207694934
Santa Filomena,77.82169521299956,76.18412317969049,79.3541921099712
Santa Maria da Boa Vista,47.20265780730897,45.374768791546146,48.91090918982617
Santa Maria do Cambuca,62.015826738858806,63.81758787630891,60.49763155151717
Santa Terezinha,55.080213903743314,51.65954932431981,57.869935387200854
Sao Benedito do Sul,72.28464419475655,67.66186107692779,76.28726569274119
Sao Bento do Una,56.561804893549414,56.92172388022717,56.23677336400249
Sao Caitano,51.79794520547946,51.23366575844813,52.309446308741514
Sao Joao,68.37256908904811,67.12542651658875,69.6550902819846
Sao Joaquim do Monte,64.17341591233921,66.24500335671338,62.08779616732992
Sao Jose da Coroa Grande,47.771836007130126,48.227233653253045,47.346397035221315
Sao Jose do Belmonte,61.73628173628174,61.01426601612372,62.370577527840595
Sao Jose do Egito,42.81524926686217,41.706745282319666,43.78841034214931
Sao Lourenco da Mata,31.576044998345647,28.071575843273077,34.56087789353903
Sao Vicente Ferrer,54.696466324373304,53.73774673560219,55.55621040215696
Serra Talhada,44.64233362650249,43.404916560316,45.72340460538822
Serrita,63.23787258912916,62.691864220136836,63.71407017219974
Sertania,49.7870249017038,43.14099244915548,55.093746296881775
Sirinhaem,55.685670261941446,53.806137071185056,57.44197668269071
Solidao,66.66666666666666,67.39958068226416,66.15912334628024
Surubim,43.556623610693904,43.45225252799679,43.64491066858084
Tabira,48.42511249196486,43.456243115870215,52.935373591436004
Tacaimbo,57.70089285714286,61.61331634244702,54.77191416112479
Tacaratu,50.31129558256745,50.48790938093958,50.13497201079172
Tamandare,53.92072996863416,54.255664349469555,53.560010015104474
Taquaritinga do Norte,33.47309573724668,34.393360508320306,32.64045306897068
Terezinha,72.2809667673716,76.7953157013588,68.6588912562754
Terra Nova,40.280701754385966,34.00192130711318,46.29106619887672
Timbauba,45.7756606147762,45.01372695519329,46.50289572242782
Toritama,17.47532894736842,17.859887456346115,17.104762131123728
Tracunhaem,56.629597946963216,51.08038603648745,61.13556008760979
Trindade,47.51629579680827,47.35797883032741,47.65261519406352
Triunfo,39.499304589707926,38.17325299913125,40.62884164501296
Tupanatinga,68.45158411423472,71.21808281051425,65.75659600603082
Tuparetama,49.87684729064039,49.72856544844363,49.973727911177335
Venturosa,50.59612518628912,51.965170613848265,49.4684649850246
Verdejante,55.91954022988506,56.440264706679066,55.52246756693291
Vertente do Lerio,70.02301495972382,68.83840352171754,70.91516577908212
Vertentes,49.98175848230573,50.4720959182688,49.600935053868284
Vicencia,58.33036032821977,58.03853017516125,58.623531865551
Vitoria de Santo Antao,38.19212952941686,37.59286376593074,38.70746080003346
Xexeu,64.33164128595601,67.47003480764641,61.33511775525382
