municipio,"proporcao_de_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_(%)_total","proporcao_de_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_(%)_por_grupos_de_idade_10_a_17_anos","proporcao_de_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_(%)_por_grupos_de_idade_18_a_24_anos","proporcao_de_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_(%)_por_grupos_de_idade_25_a_59_anos","proporcao_de_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_(%)_por_grupos_de_idade_60_anos_ou_mais"
Abreu e Lima,35.99718383807641,5.351779943373967,36.715787428639146,51.55301192166195,12.7317575123234
Afogados da Ingazeira,47.21113719203406,22.64203937455791,52.77957250300839,63.99412941397236,24.25614312148857
Afranio,39.88757942578219,15.815071761235073,42.53787118325606,56.38914652849347,23.423726892560104
Agrestina,48.169332109568806,21.377515427254437,52.04235251381365,65.86283298667456,32.903417695172585
Agua Preta,23.10893790783807,4.74201133405893,25.490580989899886,36.301835521995116,12.66289985166942
Aguas Belas,46.069270697581686,26.849196904036397,51.50683254922745,61.65966197603294,27.12034658618421
Alagoinha,51.76798142478258,28.5971769296768,57.66958378355882,68.45085255099917,29.958576989283547
Alianca,30.374510637269363,6.478060154326566,33.2430005413725,45.934686091189725,14.125289508941604
Altinho,45.015567708513885,20.91849935131821,52.71648706446101,62.32363901329545,24.811764123299195
Amaraji,38.500900917100765,15.773517347214023,42.5758200219065,54.48722571018661,21.941444105842123
Angelim,49.470839348753934,26.642316990759912,52.478329490603656,65.97529404577843,37.18323232531388
Aracoiaba,31.86254287788034,9.666641914302568,36.88892573278453,45.791500054912525,13.793571222854991
Araripina,44.849806205488804,20.863998126791596,48.757362317212404,60.396793886195155,28.81195193833802
Arcoverde,42.27374122843733,14.510255192076826,45.7610699748041,59.16940128573175,21.363323369005784
