municipio,"pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_contribui_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_contribui_por_sexo_masculino","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_contribui_por_sexo_feminino","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_nao_contribui_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_nao_contribui_por_sexo_masculino","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_nao_contribui_por_sexo_feminino"
Abreu e Lima,54.3407373307247,56.8002863278454,49.9086316242073,42.5442129896037,40.610832736817,46.0281629581855
Afogados da Ingazeira,27.3587193790929,21.3428018076178,37.4351211072664,48.8236720834344,54.2801807617818,39.6842560553633
Afranio,12.1635939817758,8.86998784933171,19.7617379117029,53.7401991947447,61.3001215066829,36.2999299229152
Agrestina,18.0665610142631,15.7581107923196,21.5060835251562,53.9091389329107,60.1633193555506,44.5905951989477
Agua Preta,49.4941479865106,46.6150315547906,55.9485530546624,41.975798452688,42.8571428571429,40
Aguas Belas,11.5612802498048,9.56247727548176,15.1787672735249,48.9539422326308,53.6662222760878,40.4255319148936
Alagoinha,14.5769230769231,10.5611601513241,20.8579881656805,55.4615384615385,61.2862547288777,46.3510848126233
Alianca,51.6201620162016,54.8579207078442,45.3005645964796,40.3240324032403,36.8385230559809,47.1272002656925
Altinho,15.7029976169572,11.864073855824,22.4843858431645,50.4201680672269,55.1758004321351,42.0194309507287
Amaraji,31.4700773724933,27.9689993161614,39.3627954779034,58.5030791094268,62.8903578755414,48.6125385405961
Angelim,16.841211435041,15.878679750223,18.5127807900852,34.4183413529578,41.8822479928635,21.4562354763749
Aracoiaba,41.9870059556037,42.2053231939164,41.4473684210526,52.490525175961,52.3574144486692,52.8195488721805
Araripina,20.8054805895786,18.5762297586312,25.5310880829016,55.4660577122691,58.4540177207455,49.1321243523316
Arcoverde,36.7623642943305,33.4267638343878,41.8184025248847,51.956574185766,55.930167374069,45.9334789997572
Barra de Guabiraba,26.1356155365372,19.3518083607327,42.024202420242,66.6886109282423,74.025364020667,49.5049504950495
Barreiros,48.8876772082879,46.3013233797082,53.5409035409035,46.1286804798255,47.8113335595521,43.1013431013431
Belem de Maria,24.72,17.6570458404075,41.7462482946794,58.56,69.4397283531409,32.3328785811733
