municipio,"pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_por_posicao_na_ocupacao_(%)_empregado_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_por_posicao_na_ocupacao_(%)_empregado_com_carteira","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_por_posicao_na_ocupacao_(%)_empregado_sem_carteira","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_por_posicao_na_ocupacao_(%)_trabalhador_domestico_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_por_posicao_na_ocupacao_(%)_trabalhador_domestico_com_carteira","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_por_posicao_na_ocupacao_(%)_trabalhador_domestico_sem_carteira"
Abreu e Lima,26071.320366540025,61.12112935588446,43.86493915117234,17.25619020471213,6.893335832950403,1.7787603307394155,5.114575502210988
Afogados da Ingazeira,12373.094835259963,31.355500932830992,12.6077849023229,18.747716030508094,5.147195539996191,0.5340281990056509,4.61316734099054
Afranio,4725.817132949996,27.431606921082214,4.075506289634459,23.356100631447756,3.42785157873594,0.03890230997686496,3.3889492687590748
Agrestina,7576.0725541400025,33.62830040464419,9.932750136200635,23.695550268443554,4.252084943721448,0.6653840642332957,3.586700879488153
Agua Preta,5043.408856670002,61.78863939156345,37.624652546470315,24.163986845093127,5.626785172982622,1.1421176828410555,4.484667490141566
Aguas Belas,12814.628337289983,25.973092677566306,6.0827683198718825,19.89032435769442,4.161908581757498,0.05087183419147554,4.111036747566022
Alagoinha,5205.270532059998,36.95645777470662,6.628463505305149,30.327994269401476,3.2857837300977493,0.07889832074443008,3.2068854093533194
Alianca,8893.35296948002,55.82591268555359,39.103894509466826,16.722018176086756,13.334714635635772,3.8513095008757534,9.48340513476002
Altinho,7978.559220629987,25.338356130799905,6.6386202586609055,18.699735872139,3.3546428643148696,0.5690062793870612,2.7856365849278086
Amaraji,6338.403317989999,51.01362823856049,18.551339297116268,32.46228894144422,4.365260048294652,0.6378563600591595,3.7274036882354924
Angelim,3537.165013520005,27.89810192168516,9.623794374276082,18.274307547409077,3.4479799546764984,0.18331619687562334,3.264663757800875
Aracoiaba,3699.559853709998,59.244596384946355,31.493551581320943,27.75104480362541,10.422174962336062,3.724119022478721,6.6980559398573405
Araripina,24089.727908719884,36.62443501110026,12.44315596451786,24.181279046582404,4.554461585690457,0.11421741197849053,4.440244173711966
Arcoverde,20729.77448610008,44.21509252826584,20.18670176728615,24.028390760979697,6.553623389733201,0.8992094263494734,5.654413963383728
Barra de Guabiraba,3041.6301123000035,47.975978266685104,9.273175300619203,38.7028029660659,6.273115860748699,0.8296382021585885,5.44347765859011
Barreiros,9175.207467269995,60.5844278263929,32.861467853512416,27.722959972880478,6.379611026541331,1.2037752028386897,5.1758358237026405
Belem de Maria,2506.4652311000027,34.53451769885991,12.461195070036007,22.073322628823895,1.7571587590174231,0.0,1.7571587590174231
Belem de Sao Francisco,7236.0829806000065,31.13130120576938,6.818240849818036,24.313060355951347,4.078319218577145,0.2810781738480494,3.797241044729096
Belo Jardim,24250.14187095997,43.34575418545331,20.959682222258262,22.386071963195054,5.348548852298551,0.260596380863558,5.087952471434994
Betania,4355.231427850007,16.70276895134154,3.3579861259450094,13.344782825396532,2.572730863014403,0.10246805029607935,2.4702628127183237
Bezerros,17302.321220509937,44.10888944139641,13.221881845761827,30.887007595634575,5.161100988123268,0.7378014279302444,4.423299560193024
Bodoco,9740.047229669986,28.75511474398566,6.135346820286902,22.61976792369876,3.2833489147345287,0.0,3.2833489147345287
Bom Conselho,15638.19423712997,32.27500222139651,8.90885341059485,23.366148810801665,4.235848209553702,0.07669024343952024,4.159157966114183
Bom Jardim,11843.422412599997,26.872087923201306,12.332408109214416,14.539679813986886,3.209963496324717,0.43931334767428826,2.770650148650429
Bonito,11398.018700239987,37.649716369123425,11.028848736083683,26.62086763303974,3.9191864329946613,0.4754891170590804,3.44369731593558
Brejao,3495.9907173499982,48.27038861330746,4.562652990134665,43.707735623172795,3.032282232441268,0.14655584995041784,2.88572638249085
Brejinho,2936.015749009999,18.193298412997738,5.7887876717728455,12.404510741224891,3.509424233325157,0.0,3.509424233325157
Brejo da Madre de Deus,14295.02114580001,45.14781983149568,5.2480719615473825,39.8997478699483,3.621599676066984,0.30786434053600736,3.313735335530977
Buenos Aires,3452.9162159399993,50.47729958908123,27.353062508436253,23.12423708064497,11.767198617629601,4.379588884662,7.3876097329676025
Buique,14424.863782520006,21.62119219988324,4.832671537631783,16.78852066225146,2.0997254389814892,0.11609717639270728,1.9836282625887818
Cabo de Santo Agostinho,42782.180008919946,65.52474068307234,45.56107772337921,19.963662959693117,7.7440501000398605,2.4106274437043016,5.333422656335559
Cabrobo,10129.611478099987,40.716272842219745,5.662125091273305,35.05414775094645,3.6238125964022956,0.11418464760476207,3.5096279487975335
Cachoeirinha,6441.301067650006,35.07696867916017,6.835497007759549,28.241471671400614,3.916736546240075,0.14309105649928316,3.773645489740792
Caetes,10424.31084581001,9.563875479123164,1.2816529845107327,8.282222494612432,1.2772508271231826,0.07098707808559213,1.2062637490375905
Calcado,6195.172022680002,9.604656005057876,1.055784934309297,8.548871070748579,1.3059239802190548,0.05675393350060671,1.2491700467184481
Calumbi,2826.0499713399954,14.17130358633061,4.941399439719938,9.229904146610673,2.3133081153197645,0.0,2.3133081153197645
Camaragibe,40704.130122710056,58.6297677247379,38.66783191211962,19.961935812618282,12.689759363751024,4.700515237451322,7.989244126299703
Camocim de Sao Felix,4460.2158536199995,46.99210544482699,9.915853976238532,37.07625146858846,5.176348584399033,0.9320535214962674,4.244295062902765
Camutanga,1910.69034556,43.298697882807765,25.747737333430276,17.550960549377493,6.796156562561241,0.8172318327920113,5.97892472976923
Canhotinho,9358.381016740012,26.622345113470114,7.962575823714206,18.65976928975591,3.9364382278413297,0.14800559386526202,3.7884326339760674
Capoeiras,7453.778579539992,21.693887579764855,1.8519736334657695,19.841913946299087,1.5468654509873527,0.0,1.5468654509873527
Carnaiba,6644.791482900012,19.184096147343045,7.384787716857599,11.799308430485443,2.710659089807744,0.2598803486074696,2.4507787412002746
Carnaubeira da Penha,3286.110423120006,8.489189069767681,0.5965235733432361,7.892665496424445,0.7460486396778852,0.0,0.7460486396778852
Carpina,18132.818158960014,57.00995580448096,35.00089361522613,22.00906218925483,9.41619828055413,2.065622503002491,7.350575777551639
Caruaru,99033.00865083965,47.554196048814745,22.49430442026777,25.059891628546975,5.128403257540474,0.9160538017566411,4.2123494557838335
Casinhas,4812.751553449996,28.559505093187244,13.46081098463523,15.09869410855201,2.210048687714898,0.35737370418945935,1.8526749835254386
Catende,7241.039268870013,62.682914579585024,39.08658823696274,23.596326342622298,6.03148543700903,1.6410914262110352,4.390394010797995
Cedro,3221.769392659992,24.72100722554891,4.804554387184095,19.91645283836482,6.612591107711332,0.40266452339995557,6.209926584311377
Cha de Alegria,2696.1891705899975,51.97305875549376,30.296107227196273,21.676951528297494,7.718271090913939,2.251163138776282,5.467107952137655
Cha Grande,6431.970106639986,36.48409379324481,10.173773318760656,26.310320474484154,6.4606248706133655,1.0579459092907246,5.402678961322641
Condado,5700.370742910002,58.15943466999056,33.21411133030039,24.94532333969018,9.209232856879252,2.4842689580521515,6.7249638988271006
Correntes,6827.938898270007,28.46540049153704,6.315507507972249,22.149892983564794,2.6110967386537656,0.247617028973176,2.3634797096805893
Cortes,3166.67213091,58.845681943223596,33.262762138160106,25.582919805063487,7.3659741907972505,1.0971142992948963,6.268859891502354
Cumaru,7236.718549659981,22.329369094724907,10.587943379475515,11.741425715249393,4.231461409873232,0.838943011993365,3.3925183978798676
Cupira,7898.6400941600095,28.488356226582816,5.791722001211778,22.696634225371042,5.948605242912612,0.3218462794474683,5.626758963465144
Custodia,9537.566299940001,35.07413839430974,10.106097699850988,24.968040694458754,4.434169195161039,0.32446751180324346,4.109701683357795
Dormentes,7149.105085150002,13.576383848044044,3.0988261228692195,10.477557725174822,1.6957473102727008,0.059851262487215506,1.6358960477854851
Escada,13834.13262262,62.716689231990465,42.93773866311995,19.778950568870513,8.278388485501639,1.7764377645778078,6.50195072092383
Exu,10751.774626660022,25.51518063108994,3.512005662708913,22.003174968381025,2.7128241615738533,0.072136194156902,2.640687967416951
Feira Nova,7340.984959779988,42.44415275512816,6.950014296927409,35.494138458200744,4.288195993381173,0.7472432743091199,3.5409527190720533
Fernando de Noronha,1158.22487731,49.702369423025495,24.631377644260596,25.0709917787649,3.951378206129718,1.761660050627531,2.189718155502187
Ferreiros,3037.3762610200038,50.38457760435895,34.03983866927282,16.344738935086134,6.075691891989296,0.46302024548243415,5.612671646506861
Flores,7923.3816321399745,15.90970644991559,2.8861846073699264,13.02352184254566,3.058580932375804,0.09327240619109235,2.965308526184712
Floresta,8016.471164640009,34.9192978925373,9.001437127010545,25.917860765526758,5.855788339146111,0.0,5.855788339146111
