municipio,taxa_de_escolarizacao_(%)_total,taxa_de_escolarizacao_(%)_por_grupos_de_idade_0_a_6_anos,taxa_de_escolarizacao_(%)_por_grupos_de_idade_7_a_14_anos,taxa_de_escolarizacao_(%)_por_grupos_de_idade_15_a_17_anos,taxa_de_escolarizacao_(%)_por_grupos_de_idade_18_a_24_anos,taxa_de_escolarizacao_(%)_por_grupos_de_idade_25_anos_ou_mais
Abreu e Lima,32.53062035265701,41.945897817355515,95.58406279913612,78.14379983648018,33.8120409005997,3.816415561515075
Afogados da Ingazeira,29.1430264670508,25.394765162187237,89.64551100618863,68.33746457308635,27.082395651612334,2.2219728458604298
Afranio,33.55766886411216,21.179424377451454,95.55520166624855,75.17048423952919,32.95623053382427,5.897674295280754
Agrestina,31.677326986344013,40.297103754858476,92.06782548243878,66.08691877708833,25.231703298981945,3.1579233200590044
Agua Preta,33.18378256757103,14.363834824842877,86.47490665452898,67.87038423231797,37.04550187126775,6.286883986999844
Aguas Belas,32.11282469993997,18.29484826842264,90.3992911829992,71.6716699835363,29.32970854547158,5.162296606920541
Alagoinha,31.13520159196287,41.41022171930231,90.63867148545725,63.669021157116475,27.24937380147884,3.8358578103108854
Alianca,31.784670039504288,35.03201562225159,89.04265872749696,65.26892608050868,25.754234253524217,3.6189744457114834
Altinho,30.75097772171274,36.97491226272271,92.65719793437918,68.97647683858777,28.386026947167398,3.3161536629909163
Amaraji,31.881956553114478,21.481227635944922,91.89636837650819,66.21744484409327,20.305299848469645,5.104975073487136
Angelim,33.74537934429649,33.569924829397884,96.73645304186816,75.71970627409006,35.37226479045512,3.1449708794174387
Aracoiaba,33.96718905826097,28.93024178414198,89.04479769529742,71.12748144921083,32.86576953733698,5.087717107530062
Araripina,30.91504101134125,20.91929387027186,86.51458474542663,61.28201518384676,30.937498031329675,4.481969777732491
Arcoverde,32.386101143656795,37.95942970348854,91.6926970865813,77.08936334498144,37.25316850179446,2.5049970665754087
Barra de Guabiraba,30.16718867459975,24.432060235455523,87.81476622927937,59.26054128449222,26.518220934458796,3.2397219521810157
Barreiros,35.73850433966852,35.29759478673566,92.8073981564113,71.21836265590827,35.49801364695725,5.510770021473402
Belem de Maria,32.383178776162694,22.24422262106242,89.04007852263896,80.50883719681735,36.852188487978914,5.065394902026327
Belem de Sao Francisco,36.25494191631316,32.262001375029016,93.58110515967405,70.18274558972375,39.967785890813786,4.962710989404949
Belo Jardim,30.784436584747944,35.45675517649287,88.54802938018703,69.64909960379511,29.987575910644594,3.268154560425122
Betania,36.25777395787711,39.93519881275544,92.51499334184751,74.33977683488342,30.04186242173099,6.1477318380068136
Bezerros,28.220667226525002,36.78279715401524,89.19613581416972,67.02941075472627,26.62412914014404,3.227125040456538
Bodoco,33.483089065592736,21.599689688202837,87.60277574133126,69.72934658467439,31.669192618999126,4.440135693358896
Bom Conselho,29.72805534210414,21.30115426633474,88.01085819518404,71.70556041430078,25.25391608665577,2.9882651246307654
Bom Jardim,30.150615616647062,25.125490258736,92.92859921868312,70.14732577149897,24.97921964161744,3.301287485003547
Bonito,31.103294175140555,25.307219587968145,85.79782470403654,69.1916090304874,27.608767325966404,4.076720164427919
Brejao,31.51435089603909,28.501844781002955,94.14672871698379,64.8252283169076,31.027121875436016,1.5510527624514623
Brejinho,32.9669044911731,31.052098644532443,89.68512167842754,75.00507810352049,27.091283153463635,4.010963721547662
Brejo da Madre de Deus,27.13703327865151,26.91582631042858,80.10378004740211,52.5284957146507,22.380938160371254,2.2377544827263827
Buenos Aires,30.997521373499403,27.950864086903387,92.52707755076598,70.38415123418503,24.271252691719113,3.4922603546631277
Buique,35.71858126704783,27.595330147426715,90.08873507144378,75.78757529268876,33.53041129442528,4.6071924162951605
Cabo de Santo Agostinho,33.566986984281385,38.49447175467634,93.86791612202957,77.71606460994397,33.008180454630214,4.245605736562916
Cabrobo,34.043449225930914,23.24020862398784,92.16326387476983,78.17879432705946,31.665319557178872,5.774776704792277
Cachoeirinha,28.549496586291028,27.41490045668533,90.70296847395446,67.10128049080663,22.591354028147865,2.881678911471734
Caetes,30.145043604723305,14.77421617762816,85.55082732963672,63.63235160419997,23.99168595621738,4.001306811122207
Calcado,30.598149057465683,23.175445634097716,91.99178499775596,66.00033650169573,27.641380959656033,1.7260648801716711
Calumbi,35.85271955550109,39.5710476284528,93.37438210932503,70.1170717142018,26.21156739587035,3.7994348603317336
Camaragibe,33.92830363607742,45.33601423516526,96.47849631302553,81.0205972051542,38.126041946658205,5.217666636307791
Camocim de Sao Felix,30.781262844433805,33.751070074262415,92.29921325600729,65.06131760671015,26.680760484655426,4.303099192198549
Camutanga,30.613341002934696,31.006149095601227,87.99989988984669,72.58282134957953,29.862239168330557,2.90667718341349
Canhotinho,30.06542152220668,23.103189200841353,84.04505495743038,68.28460027230331,35.160630525275565,3.7253096704559736
Capoeiras,34.071921901091045,25.615153874152575,90.97890348661973,77.69956420041288,37.65528005371366,2.6268999926448564
Carnaiba,31.071662240677778,24.769954981935197,93.8104762336394,67.01691030474647,24.344467664366636,3.380806082949655
Carnaubeira da Penha,30.66742764730775,12.663569859989114,84.24314243712719,65.46830648860703,26.043414375301925,3.852899036819986
Carpina,31.91013150575344,36.742917308820125,91.81808931764031,78.70307143363866,33.64354971889754,4.753318965491042
Caruaru,29.515774034635434,36.30517835491751,90.70652953459451,70.0529613126657,27.861453738985283,3.2239973394762726
Casinhas,36.04271538636997,36.669331010299885,96.03950015207788,69.80905280189239,30.204140597153327,2.136353542826055
Catende,32.961320502623956,25.282497801714438,91.5690928620839,67.99662623157577,33.95540872625135,5.345011828078093
Cedro,40.75741316447024,32.30261186329758,97.67111023162245,81.08945428196519,43.02969875831234,7.829654537179133
Cha de Alegria,37.87467033664974,38.55907383065652,91.20594176816515,79.72156265097257,37.17912976178227,4.905873873535495
Cha Grande,34.47415749265329,32.199674426242886,90.83670445181694,73.1710168854433,32.78596836961521,6.539897475979769
Condado,29.829752941646603,32.49340978359999,85.15379353110673,62.54929132641702,30.00594254668204,4.05342673200478
Correntes,34.4230200956896,33.775087042208504,89.97892723175333,75.0057160504799,33.54700964591469,4.206571963954366
Cortes,38.431491861409626,27.8492453585928,91.24746912594101,72.7947533868693,37.995554719490215,9.020332843495142
Cumaru,29.329494086027,19.15367020878224,87.96075770816981,64.52942848971526,28.629946141169494,3.6940106869032223
Cupira,29.187458020421133,30.592118831915993,88.70988294264156,66.00494680944018,26.912491554870037,3.089846720539097
Custodia,32.81448102264818,41.45976362199303,93.01435916776975,70.44949812748602,29.30328638516031,2.673446048127574
Dormentes,33.49890824067699,21.035768636915886,89.74861204110081,76.53852990303386,34.061074495102844,5.196326887513591
Escada,32.135661554686365,32.36131378510084,90.73473139345884,69.24803705735533,30.328876542989107,3.290385009412813
Exu,33.71619128500582,23.022615976974574,89.23310108123084,73.56655569353924,31.210159370355527,4.3405338145516135
Feira Nova,31.830292527797926,30.352868266158033,90.97345436361967,68.77102969088301,30.609822849325933,3.1521442379534492
Fernando de Noronha,37.170002713936135,77.02794093179466,93.58732902699752,93.71485017937037,33.1480074861152,3.6793209802191242
Ferreiros,31.948926791640886,34.69640935375652,93.64599559986566,69.8810431130867,30.074269325093866,3.3198291710746077
Flores,30.68331193678475,22.315382401989943,93.86237168377384,70.75059549790427,27.348911096563196,3.681774307423086
Floresta,36.85635485161246,43.78049871352042,90.39110134651503,79.02518321909227,33.82486173058787,5.16798436267756
Frei Miguelinho,28.148663277815416,33.792088071419165,88.09864593022925,65.28667258589063,27.146235660778466,2.1144472360542594
Gameleira,34.44975063773013,32.88733603160881,91.16387132945098,70.75117765359005,27.459382500293678,4.3887217747850995
Garanhuns,32.26103562216134,30.14634397699698,91.36049381835886,71.64661198072456,36.47951322116718,4.557072019203592
Gloria do Goita,32.466787942418165,26.182110315317335,92.33561264953781,69.5110804078856,26.011975782394654,2.481480157741074
Goiana,33.99564621956265,35.12974965858972,93.15142682276232,74.97239565406126,34.926451704917696,5.633807923236271
Granito,32.853998856985946,28.410020889269223,84.64197610412113,71.72449713170734,30.922976695921108,3.5043529149717485
Gravata,29.292082950995464,35.26994703893146,89.99890375294125,65.57564975148125,26.395979270060284,2.7971027792672034
Iati,32.1551282134967,14.543294532009849,94.43958855408385,73.95265192272326,23.190850934559503,3.2190048165925953
Ibimirim,32.42636982989658,24.170781934146994,87.35037286954248,63.95966971711575,25.567214128831058,2.068020619691211
Ibirajuba,33.62844901881859,37.94354372927725,96.37453119746299,68.76525800027721,33.83533226304508,2.938818864545885
Igarassu,33.19514629209949,36.79849480241741,93.23767570479885,76.90697220381195,32.68080291914226,5.168665693694496
Iguaraci,31.368998149524487,33.117364226107156,91.7617564603767,67.23859923949217,26.964544194361768,2.410716455379889
Ilha de Itamaraca,32.67822410145227,43.291078720389564,94.87703680041868,87.18270488926463,30.685425709425928,6.52109806080841
Inaja,34.66946224523403,27.106028402528004,87.53501569689051,69.25229790927489,31.906104426087794,4.212662823480266
Ingazeira,35.077820940803534,44.48887324024484,95.96899549666502,67.79501148187968,24.38161901005402,5.308227445291613
Ipojuca,30.79848811496071,23.625112360461507,87.41188373966871,69.86046739733149,27.182765398183832,3.0743178762495607
Ipubi,31.849420813014774,19.270857463253808,87.88130327981858,67.66028264437955,22.360427806660702,5.8393391209081855
Itacuruba,39.32144036992572,56.903535999095055,85.9216623666937,72.93231367853544,44.48290633972162,5.655283042631602
Itaiba,31.077274489071893,16.45183131147951,90.67355583557372,72.68192723164378,26.587538641925946,2.8044182661609915
Itambe,32.168654451430214,24.82339566868712,88.66870301098947,69.97429252568111,31.28151687928145,4.423742223199954
Itapetim,30.107713949432057,29.237754727817965,94.20476042107514,70.10918782654589,23.755618719493242,2.505908403374087
Itapissuma,34.215422557984695,36.63141153193934,91.80823259632336,72.47770311420297,30.467058653320027,5.465096791009802
Itaquitinga,33.426709001315785,37.477650872128415,88.86758663863202,69.8592529359416,30.239210653462816,2.612292560460511
Jaboatao dos Guararapes,33.037644050606055,45.69238245612649,93.80988951716499,79.0487676766172,33.666153992996875,4.568265592743314
Jaqueira,37.89162945667546,21.2053277159802,91.44091507107017,78.43369554272523,36.011605819127226,8.370911477014747
Jatauba,35.24654797074339,32.48855560257995,94.5351675800076,73.46134509786336,37.623247512639914,5.486551946601007
Jatoba,37.438083454344984,33.91144610698408,92.2552967484301,83.6507262608329,34.74535809735134,8.400693476688124
Joao Alfredo,31.79683045495743,33.460214382961034,92.73873496451218,65.33165178691792,26.132047741994295,4.3837258344144
Joaquim Nabuco,32.8309582900662,24.939630270841338,90.1010567007287,62.3392086079421,25.324777075680878,4.339731829794352
Jucati,32.80762517877806,32.201278090463774,93.35953515508484,69.79664866686768,31.59898212171045,2.4555478059919005
Jupi,32.711680173041486,33.780903094466204,90.80892673153781,63.63736896169748,32.33487055387164,2.7516701673195016
Jurema,32.22208598069762,23.815302451970926,93.76273610792043,73.87672811949024,34.86244126756249,2.698448512071553
Lagoa do Carro,33.04117481451443,35.781599338667306,94.56673164217764,71.49004672511741,26.802941542357907,5.465713180283403
Lagoa do Itaenga,34.220275280740935,28.39599823781016,92.01110214025226,67.61183869602786,29.811505145355895,5.259370556866536
Lagoa do Ouro,32.61297898666913,20.40851533677576,89.21001083284972,75.65031768195968,34.107520659056604,2.9995373972779444
