municipio,"pessoas_de_10_anos_ou_mais_de_idade,_por_sexo___total","pessoas_de_10_anos_ou_mais_de_idade,_por_sexo___homens","pessoas_de_10_anos_ou_mais_de_idade,_por_sexo___mulheres","pessoas_de_10_anos_ou_mais_de_idade,_economicamente_ativas_na_semana_de_referencia,_por_sexo___total","pessoas_de_10_anos_ou_mais_de_idade,_economicamente_ativas_na_semana_de_referencia,_por_sexo___homens","pessoas_de_10_anos_ou_mais_de_idade,_economicamente_ativas_na_semana_de_referencia,_por_sexo___mulheres","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_sexo___total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_sexo___homens","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_sexo___mulheres",codigo
Abreu e Lima,72426.0,34745.0,37681.0,35610.0,21714.0,13896.0,26071.0,16766.0,9306.0,2600054.0
Afogados da Ingazeira,26208.0,12474.0,13734.0,14494.0,8814.0,5681.0,12373.0,7747.0,4626.0,2600104.0
Afranio,11848.0,5947.0,5900.0,5008.0,3444.0,1565.0,4726.0,3295.0,1430.0,2600203.0
Agrestina,15728.0,7600.0,8128.0,8418.0,5053.0,3365.0,7576.0,4532.0,3044.0,2600302.0
Agua Preta,21824.0,11000.0,10824.0,7643.0,5325.0,2318.0,5043.0,3487.0,1557.0,2600401.0
Aguas Belas,27816.0,13469.0,14347.0,14942.0,9336.0,5606.0,12815.0,8253.0,4562.0,2600500.0
Alagoinha,10055.0,4963.0,5092.0,5897.0,3525.0,2371.0,5205.0,3175.0,2030.0,2600609.0
Alianca,29279.0,14583.0,14696.0,11595.0,7702.0,3894.0,8893.0,5880.0,3013.0,2600708.0
Altinho,17724.0,8737.0,8987.0,8808.0,5517.0,3291.0,7979.0,5093.0,2885.0,2600807.0
Amaraji,16463.0,8440.0,8023.0,7515.0,5093.0,2422.0,6338.0,4390.0,1949.0,2600906.0
Angelim,7150.0,3482.0,3668.0,3928.0,2470.0,1459.0,3537.0,2245.0,1293.0,2601003.0
Aracoiaba,11611.0,5805.0,5806.0,5083.0,3502.0,1581.0,3700.0,2633.0,1066.0,2601052.0
Araripina,53712.0,26148.0,27564.0,26752.0,17623.0,9130.0,24090.0,16368.0,7721.0,2601102.0
Arcoverde,49037.0,22752.0,26285.0,25243.0,14674.0,10569.0,20730.0,12490.0,8240.0,2601201.0
Barra de Guabiraba,8272.0,4166.0,4106.0,3657.0,2545.0,1113.0,3042.0,2131.0,911.0,2601300.0
Barreiros,30694.0,15101.0,15593.0,13446.0,8548.0,4899.0,9175.0,5897.0,3278.0,2601409.0
Belem de Maria,8279.0,4150.0,4129.0,3194.0,2141.0,1054.0,2506.0,1770.0,737.0,2601508.0
Belem de Sao Francisco,15293.0,7332.0,7961.0,8509.0,4775.0,3733.0,7236.0,4231.0,3005.0,2601607.0
Belo Jardim,53894.0,25744.0,28150.0,28512.0,17181.0,11331.0,24250.0,15126.0,9124.0,2601706.0
Betania,8915.0,4434.0,4481.0,4643.0,3060.0,1583.0,4355.0,2939.0,1417.0,2601805.0
Bezerros,46803.0,22258.0,24545.0,21220.0,13522.0,7697.0,17302.0,11303.0,6000.0,2601904.0
Bodoco,23875.0,11946.0,11929.0,10681.0,7366.0,3315.0,9740.0,6846.0,2894.0,2602001.0
Bom Conselho,32715.0,15460.0,17255.0,16970.0,10559.0,6411.0,15638.0,9878.0,5760.0,2602100.0
Bom Jardim,29635.0,14167.0,15469.0,12880.0,8128.0,4751.0,11843.0,7518.0,4325.0,2602209.0
Bonito,29274.0,14592.0,14682.0,13456.0,9052.0,4404.0,11398.0,7793.0,3605.0,2602308.0
Brejao,6761.0,3328.0,3433.0,3693.0,2340.0,1353.0,3496.0,2257.0,1239.0,2602407.0
Brejinho,5773.0,2836.0,2937.0,3168.0,1990.0,1179.0,2936.0,1866.0,1070.0,2602506.0
Brejo da Madre de Deus,29010.0,14322.0,14688.0,15639.0,9461.0,6178.0,14295.0,8765.0,5530.0,2602605.0
Buenos Aires,9641.0,4696.0,4945.0,4227.0,2825.0,1401.0,3453.0,2396.0,1057.0,2602704.0
Buique,33719.0,16513.0,17206.0,15950.0,10326.0,5623.0,14425.0,9476.0,4949.0,2602803.0
Cabo de Santo Agostinho,121971.0,59446.0,62525.0,59876.0,37836.0,22040.0,42782.0,28393.0,14389.0,2602902.0
Cabrobo,20443.0,9887.0,10556.0,11638.0,7189.0,4448.0,10130.0,6460.0,3669.0,2603009.0
Cachoeirinha,13688.0,6491.0,7197.0,7078.0,4621.0,2457.0,6441.0,4364.0,2077.0,2603108.0
Caetes,18276.0,8827.0,9449.0,10742.0,6708.0,4034.0,10424.0,6591.0,3834.0,2603207.0
Calcado,9045.0,4400.0,4645.0,6420.0,3624.0,2796.0,6195.0,3538.0,2657.0,2603306.0
Calumbi,5555.0,2687.0,2868.0,2939.0,1740.0,1199.0,2826.0,1676.0,1150.0,2603405.0
Camaragibe,104542.0,50397.0,54145.0,52319.0,31358.0,20961.0,40704.0,25349.0,15355.0,2603454.0
Camocim de Sao Felix,11937.0,5764.0,6173.0,5522.0,3664.0,1858.0,4460.0,3046.0,1414.0,2603504.0
Camutanga,6191.0,3068.0,3123.0,2358.0,1716.0,642.0,1911.0,1318.0,593.0,2603603.0
Canhotinho,19510.0,9730.0,9780.0,10498.0,6464.0,4034.0,9358.0,5863.0,3496.0,2603702.0
Capoeiras,15035.0,7499.0,7536.0,7787.0,5167.0,2620.0,7454.0,5005.0,2448.0,2603801.0
Carnaiba,13877.0,6836.0,7041.0,7173.0,4666.0,2507.0,6645.0,4403.0,2242.0,2603900.0
Carnaubeira da Penha,7571.0,3885.0,3686.0,3691.0,2468.0,1223.0,3286.0,2256.0,1030.0,2603926.0
