municipio,"pessoas_de_10_anos_ou_mais_de_idade,_empregadas_no_trabalho_principal_da_semana_de_referencia_total_(1)","pessoas_de_10_anos_ou_mais_de_idade,_empregadas_no_trabalho_principal_da_semana_de_referencia_subgrupo_do_emprego_no_trabalho_principal_trabalhadores_domesticos_total","pessoas_de_10_anos_ou_mais_de_idade,_empregadas_no_trabalho_principal_da_semana_de_referencia_subgrupo_do_emprego_no_trabalho_principal_trabalhadores_domesticos_categoria_do_emprego_no_trabalho_principal__com_carteira_de_trabalho_assinada","pessoas_de_10_anos_ou_mais_de_idade,_empregadas_no_trabalho_principal_da_semana_de_referencia_subgrupo_do_emprego_no_trabalho_principal_trabalhadores_domesticos_categoria_do_emprego_no_trabalho_principal__sem_carteira_de_trabalho_assinada","pessoas_de_10_anos_ou_mais_de_idade,_empregadas_no_trabalho_principal_da_semana_de_referencia_subgrupo_do_emprego_no_trabalho_principal_demais_empregados_total_(1)__sem_carteira_de_trabalho_assinada","pessoas_de_10_anos_ou_mais_de_idade,_empregadas_no_trabalho_principal_da_semana_de_referencia_subgrupo_do_emprego_no_trabalho_principal_demais_empregados_categoria_do_emprego_no_trabalho_principal__com_carteira_de_trabalho_assinada","pessoas_de_10_anos_ou_mais_de_idade,_empregadas_no_trabalho_principal_da_semana_de_referencia_subgrupo_do_emprego_no_trabalho_principal_demais_empregados_categoria_do_emprego_no_trabalho_principal__militares_e_funcionarios_publicos_estatutarios","pessoas_de_10_anos_ou_mais_de_idade,_empregadas_no_trabalho_principal_da_semana_de_referencia_subgrupo_do_emprego_no_trabalho_principal_demais_empregados_categoria_do_emprego_no_trabalho_principal__outros_sem_carteira_de_trabalho_assinada_(1)",codigo
Abreu e Lima,18923.0,1797.0,464.0,1333.0,17126.0,11436.0,1072.0,4617.0,2600054.0
Afogados da Ingazeira,5557.0,637.0,66.0,571.0,4920.0,1560.0,1012.0,2347.0,2600104.0
Afranio,1505.0,162.0,2.0,160.0,1343.0,193.0,46.0,1104.0,2600203.0
Agrestina,3087.0,322.0,50.0,272.0,2765.0,744.0,199.0,1822.0,2600302.0
Agua Preta,3793.0,284.0,58.0,226.0,3510.0,1898.0,393.0,1219.0,2600401.0
Aguas Belas,4291.0,533.0,7.0,527.0,3757.0,779.0,416.0,2562.0,2600500.0
Alagoinha,2415.0,171.0,4.0,167.0,2244.0,345.0,287.0,1611.0,2600609.0
Alianca,6605.0,1186.0,343.0,843.0,5419.0,3478.0,446.0,1495.0,2600708.0
Altinho,2561.0,268.0,45.0,222.0,2293.0,530.0,272.0,1492.0,2600807.0
Amaraji,4067.0,277.0,40.0,236.0,3790.0,1176.0,499.0,2116.0,2600906.0
Angelim,1320.0,122.0,6.0,115.0,1198.0,340.0,197.0,660.0,2601003.0
Aracoiaba,2731.0,386.0,138.0,248.0,2345.0,1165.0,153.0,1027.0,2601052.0
Araripina,11031.0,1097.0,28.0,1070.0,9934.0,2998.0,1041.0,5896.0,2601102.0
Arcoverde,12392.0,1359.0,186.0,1172.0,11033.0,4185.0,1839.0,5010.0,2601201.0
Barra de Guabiraba,1975.0,191.0,25.0,166.0,1785.0,282.0,325.0,1177.0,2601300.0
Barreiros,6740.0,585.0,110.0,475.0,6154.0,3015.0,586.0,2553.0,2601409.0
Belem de Maria,1079.0,44.0,0.0,44.0,1035.0,312.0,160.0,563.0,2601508.0
