municipio,"valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__total","valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__posicao_na_ocupacao_no_trabalho_principal_empregados_total_(1)","valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__posicao_na_ocupacao_no_trabalho_principal_empregados_categoria_do_emprego_no_trabalho_principal_com_carteira_de_trabalho_assinada_(1)","valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__posicao_na_ocupacao_no_trabalho_principal_empregados_categoria_do_emprego_no_trabalho_principal_militares_e_funcionarios_publicos_estatutarios","valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__posicao_na_ocupacao_no_trabalho_principal_empregados_categoria_do_emprego_no_trabalho_principal_outros_sem_carteira_de_trabalho_assinada_(1)","valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__posicao_na_ocupacao_no_trabalho_principal_empregadores_categoria_do_emprego_no_trabalho_principal_outros_sem_carteira_de_trabalho_assinada_(1)","valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__posicao_na_ocupacao_no_trabalho_principal_conta_propria_categoria_do_emprego_no_trabalho_principal_outros_sem_carteira_de_trabalho_assinada_(1)",codigo
Abreu e Lima,224.0,226.0,260.0,500.0,151.0,600.0,200.0,2600054.0
Afogados da Ingazeira,151.0,151.0,151.0,236.0,120.0,1000.0,140.0,2600104.0
Afranio,150.0,150.0,186.0,200.0,150.0,450.0,150.0,2600203.0
Agrestina,150.0,150.0,180.0,170.0,120.0,1000.0,150.0,2600302.0
Agua Preta,151.0,151.0,151.0,160.0,150.0,151.0,160.0,2600401.0
Aguas Belas,100.0,120.0,200.0,170.0,80.0,800.0,100.0,2600500.0
Alagoinha,100.0,80.0,202.0,193.0,60.0,300.0,100.0,2600609.0
Alianca,151.0,151.0,170.0,158.0,151.0,400.0,151.0,2600708.0
Altinho,120.0,131.0,200.0,200.0,100.0,500.0,120.0,2600807.0
Amaraji,150.0,150.0,177.0,166.0,120.0,400.0,130.0,2600906.0
Angelim,140.0,140.0,189.0,151.0,100.0,800.0,150.0,2601003.0
Aracoiaba,151.0,151.0,180.0,210.0,140.0,800.0,160.0,2601052.0
Araripina,151.0,151.0,220.0,260.0,120.0,1500.0,150.0,2601102.0
Arcoverde,190.0,168.0,230.0,400.0,150.0,800.0,200.0,2601201.0
Barra de Guabiraba,150.0,140.0,200.0,100.0,130.0,200.0,150.0,2601300.0
Barreiros,151.0,151.0,176.0,225.0,150.0,1500.0,160.0,2601409.0
Belem de Maria,150.0,151.0,170.0,151.0,120.0,1000.0,100.0,2601508.0
Belem de Sao Francisco,151.0,151.0,210.0,200.0,151.0,500.0,151.0,2601607.0
Belo Jardim,151.0,151.0,240.0,227.0,120.0,890.0,151.0,2601706.0
Betania,100.0,136.0,225.0,200.0,100.0,50.0,70.0,2601805.0
Bezerros,151.0,151.0,200.0,209.0,150.0,1000.0,151.0,2601904.0
Bodoco,120.0,120.0,200.0,160.0,100.0,600.0,100.0,2602001.0
Bom Conselho,120.0,120.0,208.0,220.0,100.0,1400.0,120.0,2602100.0
Bom Jardim,151.0,160.0,230.0,194.0,144.0,300.0,151.0,2602209.0
Bonito,150.0,150.0,170.0,151.0,120.0,500.0,150.0,2602308.0
Brejao,100.0,100.0,200.0,180.0,90.0,600.0,130.0,2602407.0
