municipio,pessoas_que_frequentavam_escola_ou_creche_total,pessoas_que_frequentavam_escola_ou_creche_grupos_de_idade_0_a_3_anos,pessoas_que_frequentavam_escola_ou_creche_grupos_de_idade_4_anos,pessoas_que_frequentavam_escola_ou_creche_grupos_de_idade_5_anos,pessoas_que_frequentavam_escola_ou_creche_grupos_de_idade_6_anos,pessoas_que_frequentavam_escola_ou_creche_grupos_de_idade_7_a_9_anos,pessoas_que_frequentavam_escola_ou_creche_grupos_de_idade_10_anos,pessoas_que_frequentavam_escola_ou_creche_grupos_de_idade_11_a_14_anos,pessoas_que_frequentavam_escola_ou_creche_grupos_de_idade_15_a_17_anos,pessoas_que_frequentavam_escola_ou_creche_grupos_de_idade_18_ou_19_anos,pessoas_que_frequentavam_escola_ou_creche_grupos_de_idade_20_a_24_anos,pessoas_que_frequentavam_escola_ou_creche_grupos_de_idade_25_a_29_anos,pessoas_que_frequentavam_escola_ou_creche_grupos_de_idade_30_a_34_anos,pessoas_que_frequentavam_escola_ou_creche_grupos_de_idade_35_a_39_anos,pessoas_que_frequentavam_escola_ou_creche_grupos_de_idade_40_anos_ou_mais,codigo
Abreu e Lima,28988.72066499,1437.36908935,985.35436201,1204.07019331,1259.64485117,4795.71409492,1536.37210889,6596.75913336,4231.49687698,1442.34381689,1592.68786009,1192.74015664,848.73962705,631.81078953,1233.6177048,2600054.0
Afogados da Ingazeira,10253.32246007,393.10731012,375.55203342,515.94722613,555.31897589,1836.76715947,679.37545468,2631.33320387,1571.44991771,471.99710363,506.22504886,312.9925335,193.7903804,103.34392948,106.12218291,2600104.0
Afranio,5907.12669111,73.69149085,232.29366105,340.70983904,270.34717328,1098.94166845,431.52352592,1451.52701916,866.36060029,305.77488594,422.1907755,102.06014772,130.44390983,89.73572733,91.52626675,2600203.0
Agrestina,7617.70898668,249.30188292,377.01436612,382.70018043,340.02301856,1246.05549503,462.04105712,1809.1502856,1100.30101176,475.2927323,478.09656319,219.0362708,99.51815612,123.94443707,255.23352966,2600302.0
Agua Preta,11012.73117353,235.07986673,282.88067081,508.83804397,535.05246195,1920.60795861,832.17491963,2769.5998406,1758.5403275,712.35111724,821.55536732,269.06347148,99.62651591,97.94696022,169.41365156,2600401.0
Aguas Belas,13917.4177128,178.33425002,358.81321871,624.49077414,923.46931093,2462.43535192,1041.34583348,3343.16481682,1947.40121272,794.4566513,1017.65788372,486.02400578,267.67330166,226.51587538,245.63522622,2600500.0
Alagoinha,4509.88340908,181.04230876,214.8810301,209.32299745,271.53512033,703.85064199,255.48147676,1016.22576569,715.23662506,189.32424132,292.21373216,134.02702021,142.81593833,59.71256443,124.21394649,2600609.0
Alianca,12183.67256283,341.39501068,514.41338091,647.96458469,594.16824654,2009.22148253,756.31768444,2904.27451627,1956.21377584,679.97004103,602.02691916,346.7045505,238.44101218,184.30975628,408.25160178,2600708.0
Altinho,6785.54297203,127.43794223,378.71543859,344.05827478,497.50308234,967.56085211,437.6647145,1704.94824271,1097.49481511,323.39435204,445.23318001,226.67684882,110.80021607,35.37336714,88.68164558,2600807.0
Amaraji,7081.53488781,226.63100105,317.01319414,293.4017056,371.99643416,1333.52994911,547.45685041,1672.9106165,1151.8989283,365.24037443,372.82670425,198.66871162,62.16765136,28.67442461,139.11834227,2600906.0
Angelim,3496.11796334,105.48620004,162.94248941,149.81785927,210.89480623,632.8442019,197.13497322,836.50577059,478.42262366,196.06567299,237.60665609,158.53708144,60.96368481,9.3398947,59.55604899,2601003.0
Aracoiaba,6234.49304536,307.65031099,208.10969531,329.09071585,287.37592281,1065.67856761,359.88053953,1511.72293116,995.71012472,323.96214882,326.1644157,199.92031765,94.59838584,71.85416451,152.77480486,2601052.0
Araripina,26821.76117607,771.0714993,1160.89376409,1262.86514744,1517.36182799,4668.37600867,1923.46102374,6595.10246112,3149.48362813,1319.76890085,1630.1016581,749.0167134,616.35117358,505.21572748,952.69164218,2601102.0
Arcoverde,21866.99509424,988.88095464,897.77416336,1289.92021624,1040.33475964,3779.38733162,1294.31647326,5125.95799039,3079.6814829,1036.23150967,1463.06660361,679.79154969,404.55179642,238.27813598,548.82212682,2601201.0
Barra de Guabiraba,4246.112149,69.541838,163.50831295,216.28395044,237.92813489,746.04909907,336.51463213,924.48412846,580.31903701,270.30706281,271.17984912,131.48625066,110.98622283,61.90592859,125.61770204,2601300.0
Barreiros,14270.85206921,463.74809365,498.80439245,609.02033329,704.3150449,2435.09875574,859.27686354,3195.13117446,2117.09937094,865.46681143,950.50160424,440.28343785,401.05927577,212.69263878,518.35427217,2601409.0
Belem de Maria,4177.56112972,20.96866994,104.22820795,158.5785096,181.0025192,846.13112899,333.4138984,1084.70828344,715.18499862,262.86434781,148.10414009,62.37287137,94.54745285,46.48842633,118.96767513,2601508.0
Belem do Sao Francisco,7762.00352181,489.90798487,237.27085604,407.58326796,436.9305423,1137.81267167,541.00105871,1716.36497385,981.7243398,480.138018,574.58438492,243.18322907,163.02419102,121.13206501,231.34593859,2601607.0
Belo Jardim,24742.03769856,841.86670671,792.91125477,987.23811897,1045.50912437,3962.59530352,1265.27395606,5787.56703878,3774.33522461,1393.13471877,1706.44914615,1055.67694919,724.30291792,473.04506259,932.13217615,2601706.0
Betania,3802.16267946,149.66134191,174.87496951,197.12846334,270.09976038,648.3224466,185.01828468,985.92432845,508.26624568,164.94525726,173.23755679,90.86705157,83.36308513,34.06474576,136.3891424,2601805.0
Bezerros,17368.53241516,644.64992086,644.24152995,673.94302947,837.49209404,2863.20482952,950.24015168,4174.5393797,2475.15061876,1039.4297965,1135.86573359,653.76240393,447.0240082,272.69215411,556.29676485,2601904.0
Bodoco,13457.25720338,531.43046758,463.66538274,426.37795357,587.66140049,2217.37458794,980.15911699,3065.67426142,1666.45538241,681.51920523,789.63591402,515.95155725,403.08538655,230.4009208,897.86566639,2602001.0
Bom Conselho,14818.95052757,312.46566827,383.20434326,702.64116393,680.54336849,2801.93666126,1045.76749935,3913.06267144,2335.45193383,766.39155014,819.20411263,416.85726471,244.23013896,94.57444112,302.61971018,2602100.0
Bom Jardim,11833.23228681,316.70729052,416.33410044,638.66375658,572.68663825,1773.47447212,915.96687566,2984.75670781,2024.29496859,581.61164506,580.3832253,286.48646572,108.73221837,198.67534063,434.45858176,2602209.0
Bonito,12669.48787642,352.07062033,428.54882732,547.70405783,607.55494352,2330.26074549,809.34833917,3197.02609988,1812.79570352,745.18487395,817.90914172,291.76261619,179.56129261,194.0861511,355.67446379,2602308.0
Brejao,2939.42650332,99.93285606,125.32435872,142.05062274,117.67503073,470.90965878,224.63054716,761.69215217,447.94292777,198.03899183,219.14215242,70.08046962,36.42696107,-,25.57977425,2602407.0
Brejinho,2156.80401045,54.90370343,94.79767898,121.76603557,130.69815689,385.55555614,161.02663419,533.40397703,303.58021142,116.84264656,115.86455794,35.48054397,17.40053447,13.44892695,72.03484691,2602506.0
Brejo da Madre de Deus,15945.04190328,735.42928477,668.25792606,650.01628094,993.5263731,2458.61460244,955.31484415,3684.04112705,2045.9981469,770.93307044,904.44295535,577.25513132,394.42083324,320.52487269,786.26645483,2602605.0
Buenos Aires,3812.34978897,173.13010575,223.54022882,171.30517505,230.78321402,708.27981565,249.91328025,900.30720377,483.86568349,200.8355777,188.10598532,91.64594077,59.36424458,47.0098339,84.2634999,2602704.0
Buique,17847.14997013,318.09063606,351.49652028,784.69510432,1215.23442742,3498.93134574,1354.07008026,4816.54742242,2743.55638951,961.03870741,857.06445028,361.069296,173.5815877,97.94687967,313.82712306,2602803.0
Cabo de Santo Agostinho,56355.93017417,2473.92729869,2428.82360457,2545.87481935,3024.34962273,9053.32299667,3475.28722062,13216.31555592,8244.22140703,2564.88573609,2802.98164589,1927.62244919,1291.28836817,1077.104727,2229.92472225,2602902.0
Cabrobo,10844.44177891,463.8671212,471.94641463,680.85384517,638.67640578,1788.40598061,613.27009798,2606.02425647,1612.68445683,493.20566309,591.1644151,261.5266531,192.08498312,152.16605485,278.56543098,2603009.0
Cachoeirinha,5483.76834387,169.51776358,183.06244797,269.77457507,315.75903298,984.82584036,390.52186966,1254.17246834,798.38601664,260.83136563,313.15476615,158.46128401,117.11549362,64.70039643,203.48502343,2603108.0
Caetes,9044.1588409,164.89090021,364.25647193,436.99786121,488.34523446,1489.19236192,531.77715208,2280.38011329,1260.33562777,503.40403129,731.96021474,423.53319114,130.02301889,96.45236198,142.61029999,2603207.0
Calcado,3593.96662907,136.10401157,196.16433115,194.44153321,207.66810856,606.7419673,268.89962224,899.74647368,577.63035935,158.35710916,154.29699426,74.67712856,34.56073672,26.67401695,58.00423636,2603306.0
Calumbi,1688.52345515,26.70790931,63.42328169,87.73281645,105.59032059,322.94934211,89.3715966,421.23395516,306.73194973,52.92243009,93.03576424,34.49238372,31.92930687,14.05031476,38.35208383,2603405.0
Camaragibe,43598.9091048,2274.56777903,1572.35471107,2016.329528,2201.3973959,6614.48811762,2849.61228904,9291.07972416,6447.68315328,2547.0362182,2769.20368009,1424.50612963,1114.881768,820.40261242,1655.36599836,2603454.0
Camocim de Sao Felix,5389.22630096,192.03297019,205.39562285,311.7673311,270.19219941,887.90279616,374.31822737,1307.96880033,831.21083963,339.03047578,294.78887593,123.65021671,112.25297986,32.50220008,106.21276556,2603504.0
Camutanga,2892.57894288,118.93315869,102.08635372,114.87297291,104.85278732,475.61598452,170.84793495,662.95118596,414.62142657,151.72356652,144.86911924,119.28594679,71.57302089,54.92751806,185.41796674,2603603.0
Canhotinho,6949.0564867,95.32226296,236.73076964,326.43794484,330.85128144,1309.2689389,569.7861294,1817.73903838,1076.69318031,289.33789307,345.93639687,169.69698947,122.72742043,75.17568012,183.35256087,2603702.0
Capoeiras,6274.09316192,135.83234343,160.5802997,265.03659928,293.76346707,1117.6862555,427.75179357,1737.57914635,1084.62942163,322.03376089,351.19427914,127.67360711,84.65558838,77.31160691,88.36499296,2603801.0
Carnaiba,6056.76287892,111.79003229,243.46348631,306.87627959,252.75380432,1078.73676615,339.3624681,1448.17611534,869.58266863,282.31853767,248.38310338,152.70382555,141.45030849,149.10733229,432.05815081,2603900.0
Carnaubeira da Penha,5322.97087401,250.89704776,212.51275656,240.52020539,235.80076788,872.00935338,317.31031137,1126.65575089,680.92977147,286.42919747,320.38119849,230.55679835,143.57719723,78.75536607,326.6351517,2603926.0
Carpina,22136.2117373,1082.35504178,1035.95309243,985.76370132,1218.94644036,3505.27043493,1498.99517935,4996.61466649,2940.57461545,1396.14302011,1488.36444357,634.30737618,459.19086866,338.1862212,555.54663547,2604007.0
Caruaru,93954.11666861,4468.69411778,3424.02433224,4287.85457301,4633.62990331,15161.02327875,5834.13424486,20611.95502604,13141.90279442,4928.79981236,6707.19906508,3292.85214815,2203.44810778,1597.38357525,3661.21568958,2604106.0
Casinhas,4485.65943252,43.26149847,137.58385966,250.639355,254.95234406,786.82565197,295.90022451,1087.68248732,733.72346897,257.30763425,254.91977532,154.77381605,80.32038042,26.86075149,120.90818503,2604155.0
Catende,13102.37632336,448.02278107,456.49138681,630.98403742,498.52137414,2332.82095755,796.46257196,3125.61896301,1711.88354992,825.3084442,819.71859892,380.73017689,330.70733714,237.15592723,507.9502171,2604205.0
Cedro,3925.78052295,159.93807115,134.15223758,201.77943282,187.6089915,581.58286086,199.88818705,919.68993225,606.195758,174.96102596,276.08234743,115.62273416,70.40576019,59.60138057,238.27180343,2604304.0
Cha de Alegria,4200.31736184,129.25434974,186.00832026,195.26799897,248.96733509,675.07885925,285.54289354,927.97654548,643.60816823,227.62245169,198.11161814,102.81678647,87.50625738,64.96671302,227.58906458,2604403.0
Cha Grande,6440.42113396,262.2348741,260.95816433,392.20826712,285.2305161,1063.19119985,500.18821763,1480.51585195,923.48119274,340.84882397,428.3492112,185.25950366,113.74630608,104.76737464,99.44163059,2604502.0
Condado,8541.03097653,264.84341993,332.93717983,388.0131203,440.665245,1362.05059589,715.10069987,1766.98381612,1315.01364467,457.0495642,411.75879681,391.31059766,185.10605421,139.03194873,371.16629331,2604601.0
Correntes,5626.07233453,210.490187,167.95294713,238.23461056,271.89903664,949.04828221,290.3464211,1362.01022548,892.82550207,365.37498133,439.53785581,208.44293913,104.16940471,32.21081361,93.52912775,2604700.0
Cortes,4471.30197794,174.46725325,168.38659498,213.87880412,240.65034014,808.44126679,211.82884126,1137.14748226,587.13509211,311.78924963,201.92561735,143.16986809,110.69851014,43.64586982,118.137188,2604809.0
Cumaru,5399.61712198,167.19585857,283.31036152,255.41799287,206.28073954,856.16110488,362.68028928,1267.42357253,802.00212353,283.50468719,327.95996628,81.45655469,92.64542008,80.71463662,332.8638144,2604908.0
Cupira,7421.94846934,230.97634864,221.4038793,190.68187893,346.02824564,1289.14280523,383.45092838,1963.26578146,1304.36571564,261.73318369,400.61639822,156.54974686,214.95293574,112.18385106,346.59677055,2605004.0
Custodia,10822.01722967,325.26759832,379.73759407,618.44411376,509.09276968,1701.24172265,585.47217265,2498.39756915,1447.88492876,604.26066235,920.48491028,294.9398918,316.51215789,164.81685208,455.46428623,2605103.0
Dormentes,5485.05428256,186.45112235,214.35071251,289.78021029,250.72180964,963.33539667,384.45002777,1362.97954921,760.51774227,294.56395254,302.91970711,139.733114,113.64547011,85.1455231,136.45994499,2605152.0
Escada,20331.79902674,692.72708214,972.07448155,983.34095776,1109.37500769,3324.40654579,1209.22273631,4728.69735792,2914.57171078,1294.78174768,1090.55149522,604.41261311,396.37107013,307.26188709,704.00433357,2605202.0
