municipio,pessoas_que_frequentavam_escola_ou_creche_da_rede_particular_total,pessoas_que_frequentavam_escola_ou_creche_da_rede_particular_curso_que_frequentavam_creche,pessoas_que_frequentavam_escola_ou_creche_da_rede_particular_curso_que_frequentavam_pre-escolar,pessoas_que_frequentavam_escola_ou_creche_da_rede_particular_curso_que_frequentavam_classe_de_alfabetizacao,pessoas_que_frequentavam_escola_ou_creche_da_rede_particular_curso_que_frequentavam_alfabetizacao_de_jovens_e_adultos,pessoas_que_frequentavam_escola_ou_creche_da_rede_particular_curso_que_frequentavam_fundamental,pessoas_que_frequentavam_escola_ou_creche_da_rede_particular_curso_que_frequentavam_medio,pessoas_que_frequentavam_escola_ou_creche_da_rede_particular_curso_que_frequentavam_superior_de_graduacao,"pessoas_que_frequentavam_escola_ou_creche_da_rede_particular_curso_que_frequentavam_especializa-cao_de_nivel_superior,_mestrado_ou_doutorado",codigo
Abreu e Lima,10192.45098776,482.07953343,2068.81033251,528.24748474,9.9058379,4249.30030478,918.4959682,1757.74179232,177.86973388,2600054.0
Afogados da Ingazeira,1570.78122257,86.80230721,188.5686232,133.44773055,-,503.50247246,151.23939759,450.21984072,57.00085084,2600104.0
Afranio,465.50945131,8.88135109,52.8701473,-,5.34546034,106.10819253,15.64993721,249.84941779,26.80494505,2600203.0
Agrestina,920.44681868,24.26029433,162.73214685,25.8509923,6.74178953,414.34114059,61.18491547,202.29507742,23.04046219,2600302.0
Agua Preta,965.18081255,32.25913571,164.47654845,100.63166393,6.57620475,382.6455495,61.71031637,198.08375442,18.79763942,2600401.0
Aguas Belas,1549.51205571,23.8038027,234.50788494,154.90281729,-,721.79012384,27.87148063,340.20214925,46.43379706,2600500.0
Alagoinha,394.75737998,46.96809181,137.43459334,9.30943938,-,83.55317184,-,101.7613099,15.73077371,2600609.0
Alianca,1654.88394181,26.65490609,343.82814973,153.91301356,25.22378788,743.82610753,106.06173605,241.56815514,13.80808583,2600708.0
Altinho,1074.43766749,5.35337215,187.57718415,124.64812965,-,465.25895567,101.44773661,171.6837673,18.46852196,2600807.0
Amaraji,931.14669633,26.74736146,199.49868948,70.12692527,-,434.22009221,83.69818048,103.22951476,13.62593267,2600906.0
Angelim,187.76237313,10.92370748,33.17991965,-,-,58.26020658,28.44865043,46.04705736,10.90283163,2601003.0
Aracoiaba,789.2106703,72.37560195,312.40227877,69.00063133,-,217.73536268,27.55285074,74.40100377,15.74294106,2601052.0
Araripina,3685.18697541,53.8676803,501.90824946,105.18824583,13.40917317,1419.55930419,241.73964301,1237.31319778,112.20148167,2601102.0
Arcoverde,5993.64240126,266.31468529,1090.21922388,465.69046072,-,2244.81101801,531.05969968,1292.60773869,102.93957499,2601201.0
Barra de Guabiraba,279.8498079,5.42296639,86.08311282,12.13164149,-,68.88429043,24.78049655,76.90328999,5.64401023,2601300.0
Barreiros,2384.30619506,74.35258536,437.45976614,184.99114066,52.53151194,1055.33833749,95.55912475,455.74446268,28.32926604,2601409.0
Belem de Maria,190.93815849,5.64617847,31.01297501,5.40233112,5.00552392,30.4177642,5.46440348,107.98898229,-,2601508.0
