municipio,pessoas_que_frequentavam_escola_ou_creche_da_rede_publica_total,pessoas_que_frequentavam_escola_ou_creche_da_rede_publica_curso_que_frequentavam_creche,pessoas_que_frequentavam_escola_ou_creche_da_rede_publica_curso_que_frequentavam_pre-escolar,pessoas_que_frequentavam_escola_ou_creche_da_rede_publica_curso_que_frequentavam_classe_de_alfabetizacao,pessoas_que_frequentavam_escola_ou_creche_da_rede_publica_curso_que_frequentavam_alfabetizacao_de_jovens_e_adultos,pessoas_que_frequentavam_escola_ou_creche_da_rede_publica_curso_que_frequentavam_fundamental,pessoas_que_frequentavam_escola_ou_creche_da_rede_publica_curso_que_frequentavam_medio,pessoas_que_frequentavam_escola_ou_creche_da_rede_publica_curso_que_frequentavam_superior_de_graduacao,"pessoas_que_frequentavam_escola_ou_creche_da_rede_publica_curso_que_frequentavam_especializa-cao_de_nivel_superior,_mestrado_ou_doutorado",codigo
Abreu e Lima,18796.26967715,113.1535777,823.44885934,936.06038628,459.57688577,11541.44953845,4385.96214965,524.10310682,12.51517314,2600054.0
Afogados da Ingazeira,8682.54123757,228.20966542,943.64010086,551.22211558,79.78985192,5016.03698933,1761.65206274,91.25556754,10.73488418,2600104.0
Afranio,5441.61723967,26.62616661,625.88397713,183.94094939,29.02819703,3477.3331713,1013.7515132,85.05326501,-,2600203.0
Agrestina,6697.26216798,127.62801803,701.49057403,329.220293,120.87334571,4169.65236839,1197.86162329,50.53594553,-,2600302.0
Agua Preta,10047.55036096,74.28280073,629.05123827,530.76923638,195.21756908,6841.52204662,1730.47065145,46.23681843,-,2600401.0
Aguas Belas,12367.90565709,19.78100008,915.62072776,991.56052743,265.43155916,8411.87076532,1523.38564384,223.76949384,16.48593966,2600500.0
Alagoinha,4115.12602916,51.68143513,378.45375124,246.80844203,149.61916872,2561.65438808,625.61309531,101.29574865,-,2600609.0
Alianca,10528.78862094,243.05168977,916.50895541,465.82304961,272.50073704,6744.83963974,1680.39827073,186.37639596,19.28988268,2600708.0
Altinho,5711.10530443,110.27904654,516.81762652,217.62077115,54.29216389,3775.63247397,990.13054464,46.33267772,-,2600807.0
Amaraji,6150.38819147,121.91847067,340.20430402,452.24998713,79.60068062,4257.75619014,879.85064507,18.80791382,-,2600906.0
