municipio,pessoas_que_nao_frequentavam_escola_ou_creche_total,pessoas_que_nao_frequentavam_escola_ou_creche_grupos_de_idade_0_a_3_anos,pessoas_que_nao_frequentavam_escola_ou_creche_grupos_de_idade_4_anos,pessoas_que_nao_frequentavam_escola_ou_creche_grupos_de_idade_5_anos,pessoas_que_nao_frequentavam_escola_ou_creche_grupos_de_idade_6_anos,pessoas_que_nao_frequentavam_escola_ou_creche_grupos_de_idade_7_a_9_anos,pessoas_que_nao_frequentavam_escola_ou_creche_grupos_de_idade_10_anos,pessoas_que_nao_frequentavam_escola_ou_creche_grupos_de_idade_11_a_14_anos,pessoas_que_nao_frequentavam_escola_ou_creche_grupos_de_idade_15_a_17_anos,pessoas_que_nao_frequentavam_escola_ou_creche_grupos_de_idade_18_ou_19_anos,pessoas_que_nao_frequentavam_escola_ou_creche_grupos_de_idade_20_a_24_anos,pessoas_que_nao_frequentavam_escola_ou_creche_grupos_de_idade_25_a_29_anos,pessoas_que_nao_frequentavam_escola_ou_creche_grupos_de_idade_30_a_34_anos,pessoas_que_nao_frequentavam_escola_ou_creche_grupos_de_idade_35_a_39_anos,pessoas_que_nao_frequentavam_escola_ou_creche_grupos_de_idade_40_anos_ou_mais,codigo
Abreu e Lima,65440.27933499,4055.57192321,168.01516806,97.24106682,33.4061701,115.92362368,52.16752461,211.70123313,565.31219872,1689.84710741,6676.31213991,7501.25984336,7385.26037295,6965.18921047,29923.07175256,2600054.0
Afogados da Ingazeira,24834.67753993,1898.99568628,111.46509584,79.93866515,-,19.02797336,7.57670963,132.71463182,608.82772621,684.72525245,2598.77495114,2551.0074665,2511.2096196,2235.65607052,11394.75769143,2600104.0
Afranio,11678.87330889,1122.06481895,115.70917783,20.954602,12.42064107,6.62607617,-,22.94945492,150.8396032,319.02491057,1236.8092245,1350.93985228,1235.55609017,1095.26427267,4989.71458456,2600203.0
Agrestina,15061.29101331,990.68147726,44.27181842,22.51232898,11.7220573,16.9869197,9.81797168,106.99068559,274.63091651,367.77533943,1533.90343681,1659.9637292,1607.48184388,1373.05556293,7041.49692562,2600302.0
Agua Preta,22082.26882647,2041.8708989,289.04165185,169.68504324,80.3302598,75.48623242,28.65070967,204.5745301,403.27628575,674.83226951,2593.44463268,2680.93652852,2385.37348409,2041.05303978,8413.71326016,2600401.0
Aguas Belas,26317.58228721,3005.55528565,475.29047319,189.1847408,30.84910079,101.57072143,36.73536823,147.75398147,516.18251254,746.95962344,2608.34211628,2520.97599422,2523.32669834,2022.48412462,11392.37154621,2600500.0
Alagoinha,9249.11659092,698.55056268,50.35528152,4.81623109,4.50727356,2.96773558,4.28672768,74.00602987,146.69344604,199.74568758,913.78626784,934.97297979,842.18406167,830.28743557,4541.95687045,2600609.0
Alianca,25231.32743718,1920.96525301,103.81110629,50.44875869,37.16487958,36.03204797,28.52401256,93.88378673,523.75710768,601.05907545,2798.97308084,3059.2954495,2644.55898782,2263.69024372,11069.16364734,2600708.0
Altinho,15567.45702797,879.19700086,57.11958215,28.26731295,22.33748544,19.27299239,-,73.38704279,178.6266558,464.48417704,1483.76681999,1477.32315118,1414.19978393,1382.62663286,8086.84839059,2600807.0
Amaraji,14857.46511221,1162.69004818,141.10852526,76.28418389,21.90044338,17.88728387,8.0149314,90.61760169,251.44503743,463.41565984,1775.17329575,1736.33128838,1674.83234864,1498.32557539,5939.43888911,2600906.0
Angelim,6705.88203666,550.88085587,43.31906969,11.79743855,18.52135343,13.12434062,5.82661907,33.53263712,107.87213675,183.63956661,607.39334391,639.46291856,696.03631519,627.6601053,3166.81533599,2601003.0
Aracoiaba,11921.50695463,998.31725987,39.93588358,18.41981145,17.24725014,16.18773213,22.19822779,45.19830151,170.13973681,401.18798966,1471.8355843,1481.07968235,1328.40161416,1199.14583549,4712.21204539,2601052.0
Araripina,50480.23882393,5261.95116865,189.4070596,173.79028823,81.42854158,183.17818609,76.42851371,400.00800144,1299.67886117,1618.06860984,5973.8983419,5569.9832866,5043.64882642,4454.78427252,20153.98486618,2601102.0
Arcoverde,46926.00490578,3549.40776962,262.61919884,169.50156973,41.61639205,24.23973073,39.3454467,201.38008965,866.64375623,1292.4432512,4907.93339639,5190.20845031,4891.44820358,4358.72186402,21130.49578673,2601201.0
Barra de Guabiraba,8529.88785102,773.34786901,86.81989412,34.32058717,15.87993735,21.53829109,40.43280064,74.56843877,224.55110081,281.82279938,947.82015088,1002.51374934,910.01377717,755.09407141,3361.16438388,2601300.0
Barreiros,26461.1479308,2386.50137722,198.46990825,92.17668139,50.49219945,42.89698523,108.79678083,209.79518117,480.98478478,764.44903286,2866.49839576,3160.71656215,2794.94072423,2467.30736122,10837.12195626,2601409.0
Belem de Maria,7175.43887026,720.76350313,87.91369848,22.10146128,15.67385492,10.2715238,-,10.91217835,77.4725862,220.46367641,717.96033004,739.01544537,687.24883264,681.61928279,3184.02249685,2601508.0
Belem do Sao Francisco,12490.9964782,1141.43712982,70.19696616,25.56014574,12.5293103,18.58406203,-,74.63396744,171.01898835,325.11865386,1360.41561508,1467.81677093,1316.97580898,1177.86793499,5328.84112452,2601607.0
Belo Jardim,47689.96230144,3590.08759965,269.39380936,75.45500368,30.26035095,65.94209851,34.10790762,232.05109754,742.50548284,1263.02457379,4895.55085385,5112.32305081,4697.69708208,4517.95493741,22163.60845335,2601706.0
Betania,8200.83732055,668.00012682,73.68209697,22.56771148,21.93648414,38.94513406,3.45925,74.59813687,173.17669764,259.61179943,917.76244321,906.13294843,827.63691487,667.93525424,3545.39232239,2601805.0
Bezerros,41299.46758483,2427.93889133,169.72937245,36.95334799,45.70243479,47.70426419,66.87730529,218.34316333,604.57439961,1071.84518512,3841.13426641,4367.23759607,4259.9759918,4005.30784589,20136.14352056,2601904.0
Bodoco,21700.74279664,2102.39259042,283.53476777,166.33996072,131.75822482,40.48787247,46.7757338,86.39088779,418.3890574,803.63635497,2641.36408598,2354.04844275,2091.91461345,1821.5990792,8712.1111251,2602001.0
Bom Conselho,30684.04947243,2993.4193661,372.1537288,142.76290502,93.41395719,76.7019441,19.47194332,141.6978859,569.48192597,747.67459006,3164.79588737,3151.14273529,3046.76986104,2672.42555888,13492.13718339,2602100.0
Bom Jardim,25992.76771319,1770.87923459,117.43698275,75.95646359,34.53025874,39.68841072,25.90553603,90.3708805,437.05609639,835.03728996,2606.6167747,2826.51353428,2633.26778163,2397.32465937,12102.18380994,2602209.0
Bonito,24896.51212359,2099.79854101,231.42325152,91.19833081,29.65159998,19.63032237,10.77396583,177.85159512,571.82701088,725.19241165,2445.09085828,2551.23738381,2547.43870739,2310.9138489,11084.48429604,2602308.0
Brejao,5904.57349669,484.47043916,41.54836266,41.45743685,8.00830503,11.89894588,8.94272859,31.73457208,113.77051453,158.24756586,543.85784758,657.91953038,586.57303893,593.0,2623.14420916,2602407.0
Brejinho,5150.19598955,388.61722991,34.12583927,2.99562681,4.91076521,3.07385938,2.80380134,10.76558744,111.71051585,192.86662617,596.13544206,548.51945603,523.59946553,428.55107305,2301.5207015,2602506.0
Brejo da Madre de Deus,29234.95809671,2504.74264397,224.30207704,79.80085636,27.10706428,78.93482288,36.89209537,224.75193344,901.80545298,1029.26332967,3687.55704465,3347.74486868,2959.57916676,2611.47512731,11521.00161332,2602605.0
Buenos Aires,8724.65021102,583.17046392,19.00066802,3.65451978,9.84453318,4.13274232,10.24407675,31.53543922,155.22234168,294.07639713,996.89401468,1069.35405923,941.63575542,751.9901661,3853.89503359,2602704.0
Buique,34257.85002987,4075.30474648,636.82295984,251.44376616,106.00465216,140.6907042,65.03122476,298.35127256,730.59511418,1227.8097889,3518.93554972,3456.930704,3237.4184123,2843.05312033,13669.45801428,2602803.0
Cabo de Santo Agostinho,128669.06982579,8554.24867506,575.73778793,240.35447316,100.34041668,317.7576714,79.98225312,557.41497033,1641.13884289,4616.75401398,14927.01835411,16273.37755081,15906.71163183,13650.895273,51227.33791149,2602902.0
Cabrobo,20028.55822108,1984.09071771,52.91739383,21.26827183,9.54903224,10.24646436,8.09488329,111.61076225,426.20988638,579.8999937,2316.8355849,2466.4733469,2260.91501688,1874.83394515,7905.61292166,2603009.0
Cachoeirinha,13335.23165613,900.94233102,105.24925448,50.66657979,18.33659138,26.63738042,17.93970755,81.36595445,263.37139722,443.41122051,1398.84523385,1473.53871599,1204.88450638,1186.29960357,6163.74317952,2603108.0
Caetes,17532.84115912,1773.28772307,110.31714667,53.71657077,57.67558455,109.0723871,18.46565847,197.37707617,410.38982534,672.8705156,1844.03978526,1806.46680886,1611.97698111,1375.54763802,7491.63745813,2603207.0
Calcado,7531.03337091,630.53835776,38.33600859,7.65258388,6.29857422,3.19723282,5.52502286,43.82888122,160.46420707,227.54832441,800.70300574,824.32287144,774.43926328,647.32598305,3360.85305457,2603306.0
Calumbi,3959.47654485,309.63701535,39.01901034,18.70087189,11.55005869,3.47659027,7.05612608,24.33832216,97.51435526,115.83126492,395.96423576,407.50761628,354.07069313,369.94968524,1804.86069948,2603405.0
Camaragibe,100867.0908952,5635.52861038,301.78054528,125.00811509,111.38948371,130.38735969,38.66336722,270.64461958,939.15062485,2481.13000366,10143.79631991,11865.49387037,12301.118232,11498.59738758,45024.40235588,2603454.0
Camocim de Sao Felix,11714.77369903,789.44060474,57.45874601,15.37500226,13.9903108,14.77236026,-,59.7129723,194.83540851,341.92327608,1170.21112407,1273.34978329,1169.74702014,1109.49779992,5504.45929065,2603504.0
Camutanga,5263.42105711,390.35653241,10.88398838,-,-,8.65825524,-,22.20087909,53.88024057,174.77476633,524.13088076,555.71405321,513.42697911,507.07248194,2502.32200007,2603603.0
Canhotinho,17571.94351329,1429.89981275,231.33909096,122.58112767,56.21093513,99.64977203,12.65164562,189.82318659,393.2375271,656.73139952,1831.06360313,1932.30301053,1733.27257957,1498.82431988,7384.35550281,2603702.0
Capoeiras,13318.90683807,1225.68821066,138.9107092,43.33713576,34.45233608,30.72420631,-,65.66906007,257.25365641,400.08316107,1492.80572086,1402.32639289,1222.34441162,1079.68839309,5925.62344405,2603801.0
