municipio,microrregiao
Abreu e Lima,Recife
Afogados da Ingazeira,Vale do Pajeu
Afranio,Petrolina
Agrestina,Brejo
Agua Preta,Mata Meridional
Aguas Belas,Vale do Ipanema
Alagoinha,Vale do Ipojuca
Alianca,Mata Setentrional
Altinho,Brejo
Amaraji,Mata Meridional
Angelim,Garanhuns
Aracoiaba,Itamaraca
Araripina,Araripina
Arcoverde,Moxoto
Barra de Guabiraba,Brejo
Barreiros,Mata Meridional
Belem de Maria,Mata Meridional
Belem de Sao Francisco,Itaparica
Belo Jardim,Vale do Ipojuca
Betania,Moxoto
Bezerros,Vale do Ipojuca
Bodoco,Araripina
Bom Conselho,Garanhuns
Bom Jardim,Medio Capibaribe
Bonito,Brejo
Brejao,Garanhuns
Brejinho,Vale do Pajeu
Brejo da Madre de Deus,Vale do Ipojuca
Buenos Aires,Mata Setentrional
Buique,Vale do Ipanema
Cabo de Santo Agostinho,Suape
Cabrobo,Petrolina
Cachoeirinha,Vale do Ipojuca
Caetes,Garanhuns
Calcado,Garanhuns
Calumbi,Vale do Pajeu
Camaragibe,Recife
Camocim de Sao Felix,Brejo
Camutanga,Mata Setentrional
Canhotinho,Garanhuns
Capoeiras,Vale do Ipojuca
Carnaiba,Vale do Pajeu
Carnaubeira da Penha,Itaparica
Carpina,Mata Setentrional
Caruaru,Vale do Ipojuca
Casinhas,Alto Capibaribe
Catende,Mata Meridional
Cedro,Salgueiro
Cha de Alegria,Vitoria
Cha Grande,Vitoria
Condado,Mata Setentrional
Correntes,Garanhuns
Cortes,Mata Meridional
Cumaru,Medio Capibaribe
Cupira,Brejo
Custodia,Moxoto
Dormentes,Petrolina
Escada,Mata Meridional
Exu,Araripina
Feira Nova,Medio Capibaribe
Fernando de Noronha,Fernando de Noronha
Ferreiros,Mata Setentrional
Flores,Vale do Pajeu
Floresta,Itaparica
Frei Miguelinho,Alto Capibaribe
Gameleira,Mata Meridional
Garanhuns,Garanhuns
Gloria do Goita,Vitoria
Goiana,Mata Setentrional
Granito,Araripina
Gravata,Vale do Ipojuca
Iati,Garanhuns
Ibimirim,Moxoto
Ibirajuba,Brejo
Igarassu,Itamaraca
Iguaraci,Vale do Pajeu
Ilha de Itamaraca,Itamaraca
Inaja,Moxoto
Ingazeira,Vale do Pajeu
Ipojuca,Suape
Ipubi,Araripina
Itacuruba,Itaparica
Itaiba,Vale do Ipanema
Itambe,Mata Setentrional
Itapetim,Vale do Pajeu
Itapissuma,Itamaraca
Itaquitinga,Mata Setentrional
Jaboatao dos Guararapes,Recife
Jaqueira,Mata Meridional
Jatauba,Vale do Ipojuca
Jatoba,Itaparica
Joao Alfredo,Medio Capibaribe
Joaquim Nabuco,Mata Meridional
Jucati,Garanhuns
Jupi,Garanhuns
Jurema,Garanhuns
Lagoa do Itaenga,Lagoa do Itaenga
Lagoa do Carro,Mata Setentrional
Lagoa do Ouro,Garanhuns
Lagoa dos Gatos,Brejo
Lagoa Grande,Petrolina
Lajedo,Garanhuns
Limoeiro,Medio Capibaribe
Macaparana,Mata Setentrional
Machados,Medio Capibaribe
Manari,Moxoto
Maraial,Mata Meridional
Mirandiba,Salgueiro
Moreilandia,Araripina
Moreno,Recife
Nazare da Mata,Mata Setentrional
Olinda,Recife
Orobo,Medio Capibaribe
Oroco,Petrolina
Ouricuri,Araripina
Palmares,Mata Meridional
Palmeirina,Garanhuns
Panelas,Brejo
Paranatama,Garanhuns
Parnamirim,Salgueiro
Passira,Medio Capibaribe
Paudalho,Mata Setentrional
Paulista,Recife
Pedra,Vale do Ipanema
Pesqueira,Vale do Ipojuca
Petrolandia,Itaparica
Petrolina,Petrolina
Pocao,Vale do Ipojuca
Pombos,Vitoria
Primavera,Mata Meridional
Quipapa,Mata Meridional
Quixaba,Vale do Pajeu
Recife,Recife
Riacho das Almas,Vale do Ipojuca
Ribeirao,Mata Meridional
Rio Formoso,Mata Meridional
Saire,Brejo
Salgadinho,Medio Capibaribe
Salgueiro,Salgueiro
Saloa,Garanhuns
Sanharo,Vale do Ipojuca
Santa Cruz,Araripina
Santa Cruz da Baixa Verde,Vale do Pajeu
Santa Cruz do Capibaribe,Alto Capibaribe
Santa Filomena,Araripina
Santa Maria da Boa Vista,Petrolina
Santa Maria do Cambuca,Alto Capibaribe
Santa Terezinha,Vale do Pajeu
Sao Benedito do Sul,Mata Meridional
Sao Bento do Una,Vale do Ipojuca
Sao Caitano,Sao Caitano
Sao Joao,Garanhuns
Sao Joaquim do Monte,Brejo
Sao Jose da Coroa Grande,Mata Meridional
Sao Jose do Belmonte,Salgueiro
Sao Jose do Egito,Vale do Pajeu
Sao Lourenco da Mata,Recife
Sao Vicente Ferrer,Medio Capibaribe
Serra Talhada,Vale do Pajeu
Serrita,Salgueiro
Sertania,Moxoto
Sirinhaem,Mata Meridional
Solidao,Vale do Pajeu
Surubim,Alto Capibaribe
Tabira,Vale do Pajeu
Tacaimbo,Vale do Ipojuca
Tacaratu,Itaparica
Tamandare,Mata Meridional
Taquaritinga do Norte,Alto Capibaribe
Terezinha,Garanhuns
Terra Nova,Petrolina
Timbauba,Mata Setentrional
Toritama,Alto Capibaribe
Tracunhaem,Mata Setentrional
Trindade,Araripina
Triunfo,Vale do Pajeu
Tupanatinga,Vale do Ipanema
Tuparetama,Vale do Pajeu
Venturosa,Vale do Ipanema
Verdejante,Salgueiro
Vertente do Lerio,Alto Capibaribe
Vertentes,Alto Capibaribe
Vicencia,Mata Setentrional
Vitoria de Santo Antao,Vitoria
Xexeu,Mata Meridional
